"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","week","year"
"Corey Bojorquez",27626,"P","GB",1,3,3,4.48,45.67,56,5.5,0,0,0,0,12,65.7,1,82,0,0,66.7,11,2,3,13.45,137,1,168,6,2021
"Logan Cooke",29214,"P","JAX",1,4,4,3.97,38,38,,0,0,1,2,15,53.8,1,45,1,0,0,0,0,4,15.89,152,0,152,6,2021
"Ryan Winslow",30026,"P","CAR",1,6,6,4.2,39.5,40.67,2.3,0,0,1,2,5,53.3,3,44,0,0,50,7,3,6,25.17,237,0,244,6,2021
"Tommy Townsend",33007,"P","KC",1,2,2,3.73,26.5,26.5,,0,0,0,1,16,57.5,1,34,1,0,0,0,0,2,7.45,53,0,53,6,2021
"Jake Bailey",33963,"P","NE",1,4,4,4.05,40.5,40.25,-0.5,1,0,0,2,19,59.2,3,44,0,0,50,-1,2,5,16.21,162,0,161,6,2021
"Jack Fox",34735,"P","DET",1,6,6,4.45,47.83,55.5,8.7,0,0,1,1,11,66.8,1,64,0,0,50,26,3,6,26.71,287,1,333,6,2021
"Michael Dickson",35381,"P","SEA",1,8,8,4.23,36.88,45.5,7.3,0,0,1,0,29,59.8,2,65,1,0,50,29,4,8,33.86,295,2,364,6,2021
"A.J. Cole III",36038,"P","LV",1,4,4,4.67,47,57,,0,0,0,2,23,66.2,2,71,0,0,0,0,0,4,18.67,188,2,228,6,2021
"Pressley Harvin III",62973,"P","PIT",1,7,7,4.12,42.14,47.86,6.7,0,0,0,1,25,63.5,4,58,2,0,42.9,20,3,7,28.81,295,1,335,6,2021
"Jamie Gillan",63303,"P","CLV",1,2,2,4.2,49,53,4,0,0,0,0,8,59.7,0,54,0,0,100,8,2,2,8.39,98,0,106,6,2021
"Arryn Siposs",82019,"P","PHI",1,5,5,4.21,39.8,44,7,0,0,0,1,24,63.1,0,55,1,0,60,21,3,5,21.07,199,0,220,6,2021
"Andy Lee",1906,"P","ARZ",1,4,4,4.29,37,49.75,12.8,0,0,0,0,1,59.7,0,55,0,0,100,51,4,4,17.14,148,0,199,7,2021
"Dustin Colquitt",2316,"P","ATL",1,3,3,4.31,36.67,42,8,0,0,0,1,2,58.7,1,50,0,0,66.7,16,2,3,12.93,110,0,126,7,2021
"Sam Koch",3148,"P","BLT",1,6,6,4.23,37.33,44,6.7,0,0,0,1,3,62,2,50,1,0,50,20,3,6,25.37,224,1,264,7,2021
"Brett Kern",4580,"P","TEN",1,2,2,4.28,47,47,,0,0,1,0,31,61.2,2,49,1,0,0,0,0,2,8.55,94,0,94,7,2021
