"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","week","year"
"Bradley Pinion",9598,"P","TB",1,5,5,4.5,37.4,39.2,4.5,0,0,2,0,30,56.6,2,55,1,0,40,9,2,5,22.51,187,0,196,14,2021
"Ty Long",9728,"K","LAC",1,3,3,3.81,26,26,0,0,0,0,0,27,43.7,1,38,2,0,33.3,0,1,3,11.44,78,0,78,14,2021
"Jordan Berry",10236,"P","MIN",1,3,3,4.17,46,48.67,8,0,0,1,1,18,60.1,1,51,0,0,33.3,8,1,3,12.52,138,0,146,14,2021
"Riley Dixon",10862,"P","NYG",1,5,5,4.52,41.6,45.6,,0,0,2,2,21,65.9,1,63,0,0,0,0,0,5,22.61,208,1,228,14,2021
"Lachlan Edwards",10869,"P","CAR",1,2,2,3.64,43.5,43.5,,0,0,1,1,5,59.5,1,54,0,0,0,0,0,2,7.27,87,0,87,14,2021
"Matt Haack",12212,"P","BUF",1,6,6,4.24,46,47.67,10,0,0,1,1,4,65,4,63,3,0,16.7,10,1,6,25.43,276,0,286,14,2021
"Cameron Johnston",12255,"P","HST",1,5,5,3.97,35.6,45.8,15.5,0,0,1,1,13,59.5,2,58,0,0,40,31,2,5,19.86,178,1,229,14,2021
"Corey Bojorquez",27626,"P","GB",1,4,4,4.19,10,42.75,43.7,0,0,0,0,12,53.8,1,57,1,0,75,131,3,4,16.74,40,0,171,14,2021
"Logan Cooke",29214,"P","JAX",1,5,5,3.91,42.4,45,4.3,0,0,0,1,15,54.7,3,54,1,0,60,13,3,5,19.53,212,0,225,14,2021
"Tommy Townsend",33007,"P","KC",1,1,1,4.77,46,52,6,0,0,0,0,16,60,1,52,0,0,100,6,1,1,4.77,46,0,52,14,2021
"Jack Fox",34735,"P","DET",1,2,2,4.25,46.5,53,6.5,0,0,0,0,11,60.6,0,54,0,0,100,13,2,2,8.49,93,0,106,14,2021
"Michael Dickson",35381,"P","SEA",1,4,4,4.34,41.75,42.25,2,0,0,1,1,29,56.1,2,48,1,0,25,2,1,4,17.35,167,0,169,14,2021
"A.J. Cole III",36038,"P","LV",1,3,3,4.2,39.67,50,11,0,0,0,0,23,61.3,1,60,1,0,33.3,11,1,3,12.61,119,1,150,14,2021
"Mitch Wishnowsky",44663,"P","SF",1,7,7,4.05,38.57,41.57,4.2,0,0,0,1,28,49.8,1,50,1,0,71.4,21,5,7,28.37,270,0,291,14,2021
"Braden Mann",44664,"P","NYJ",1,6,6,4.38,43.17,52.17,13.5,0,0,0,1,22,68.3,1,60,1,0,66.7,54,4,6,26.26,259,0,313,14,2021
"Blake Gillikin",45045,"P","NO",1,5,5,4.34,42.8,51.6,14.7,0,0,1,1,20,65.8,2,62,0,0,60,44,3,5,21.7,214,0,258,14,2021
"Pressley Harvin III",62973,"P","PIT",1,6,6,4.28,37.83,43,10.3,0,0,0,1,25,59.1,1,49,2,0,50,31,3,6,25.69,227,0,258,14,2021
"Andy Lee",1906,"P","ARZ",1,3,3,4.38,36,44,12,0,0,1,0,1,63,1,49,0,0,66.7,24,2,3,13.13,108,0,132,15,2021
"Dustin Colquitt",2316,"P","CLV",1,7,7,3.87,40.29,44.71,7.8,0,0,0,1,8,57.3,2,51,2,0,57.1,31,4,7,27.11,282,0,313,15,2021
"Sam Koch",3148,"P","BLT",1,1,1,4.3,42,42,,0,0,0,1,3,60,0,42,0,0,0,0,0,1,4.3,42,0,42,15,2021
"Brett Kern",4580,"P","TEN",1,3,3,3.99,34.67,47.67,13,0,0,0,0,31,62.9,0,54,0,0,100,39,3,3,11.96,104,0,143,15,2021
"Kevin Huber",5066,"P","CIN",1,7,7,4.2,50,52.57,9,0,0,1,1,7,72.6,4,61,3,0,28.6,18,2,7,29.41,350,0,368,15,2021
"Thomas Morstead",5088,"P","ATL",1,2,2,4.43,45.5,49.5,4,0,0,0,0,2,60.6,1,53,0,0,100,8,2,2,8.85,91,0,99,15,2021
"Bryan Anger",7072,"P","DAL",1,4,4,4.6,40,40,,0,0,0,4,9,69.5,4,50,0,0,0,0,0,4,18.39,160,0,160,15,2021
"Johnny Hekker",7252,"P","LA",1,3,3,4.36,38.67,43.33,7,0,0,0,1,26,64.5,1,51,0,0,66.7,14,2,3,13.09,116,0,130,15,2021
"Sam Martin",7947,"P","DEN",1,6,6,4.04,44.5,51.5,7.3,0,0,0,1,10,64.2,2,63,1,0,50,22,3,6,24.22,267,1,309,15,2021
"Tress Way",8358,"P","WAS",1,5,5,4.38,43.6,48,7.3,0,0,0,2,32,59.9,1,60,0,0,60,22,3,5,21.88,218,0,240,15,2021
"Pat O'Donnell",8826,"P","CHI",1,3,3,3.75,48.33,53.67,5.3,0,0,0,0,6,58,1,72,0,0,100,16,3,3,11.25,145,0,161,15,2021
"Michael Palardy",9277,"P","MIA",1,3,3,4.45,45.33,53,11.5,0,0,0,1,17,65.7,1,56,0,0,66.7,23,2,3,13.36,136,0,159,15,2021
"Bradley Pinion",9598,"P","TB",1,8,8,4.45,37.25,42,12.7,0,0,1,3,30,58.8,3,53,1,0,37.5,38,3,8,35.58,298,0,336,15,2021
"Ty Long",9728,"K","LAC",1,1,1,4.21,33,41,8,0,0,0,0,27,60,0,41,0,0,100,8,1,1,4.21,33,0,41,15,2021
"Jordan Berry",10236,"P","MIN",1,7,7,3.29,38.57,42.14,1.7,0,0,2,0,18,50.5,2,61,1,0,42.9,5,3,7,23.06,270,1,295,15,2021
"Riley Dixon",10862,"P","NYG",1,2,2,4.76,50.5,50.5,,0,0,0,1,21,61.6,1,51,1,0,0,0,0,2,9.51,101,0,101,15,2021
"Lachlan Edwards",10869,"P","CAR",1,4,4,4.23,37.75,45.5,15.5,0,0,0,1,5,61.3,1,54,1,0,50,31,2,4,16.92,151,0,182,15,2021
"Rigoberto Sanchez",12130,"P","IND",1,2,2,4.21,43,43.5,1,0,0,0,1,14,60.2,1,46,0,0,50,1,1,2,8.42,86,0,87,15,2021
"Matt Haack",12212,"P","BUF",1,5,5,3.85,34.4,37.6,16,0,0,0,4,4,52.1,1,43,0,0,20,16,1,5,19.25,172,0,188,15,2021
"Cameron Johnston",12255,"P","HST",1,4,4,4.2,36,48.25,16.3,0,0,1,0,13,53.8,3,55,0,0,75,49,3,4,16.81,144,0,193,15,2021
"Corey Bojorquez",27626,"P","GB",1,3,3,4.31,42,48.67,,0,0,1,0,12,61.7,0,59,1,0,0,0,0,3,12.92,126,1,146,15,2021
"Logan Cooke",29214,"P","JAX",1,5,5,4.19,41.2,47.4,10.3,0,0,1,0,15,56.7,1,54,1,0,60,31,3,5,20.95,206,0,237,15,2021
"Tommy Townsend",33007,"P","KC",1,1,1,4.65,32,32,,0,0,0,0,16,60,0,32,1,0,0,0,0,1,4.65,32,0,32,15,2021
"Jake Bailey",33963,"P","NE",1,2,2,4.6,40,40,,1,0,0,1,19,60.3,0,46,1,0,0,0,0,3,9.2,80,0,80,15,2021
"Jack Fox",34735,"P","DET",1,3,3,4.32,38.33,44.33,9,0,0,0,1,11,58,1,55,0,0,66.7,18,2,3,12.97,115,0,133,15,2021
"Michael Dickson",35381,"P","SEA",1,6,6,4.78,46.17,49.5,0,0,0,0,4,29,77,3,59,0,0,16.7,0,1,6,28.68,277,1,297,15,2021
"A.J. Cole III",36038,"P","LV",1,4,4,4.23,39.25,44.25,20,0,0,1,1,23,61.3,2,49,1,0,25,20,1,4,16.93,157,0,177,15,2021
"Mitch Wishnowsky",44663,"P","SF",1,4,4,4.09,38.25,49,23,0,0,0,1,28,59.7,0,60,1,0,25,23,1,4,16.35,153,1,196,15,2021
"Braden Mann",44664,"P","NYJ",1,6,6,4.82,45.67,46.5,5,0,0,1,2,22,65.6,4,63,2,0,16.7,5,1,6,28.9,274,0,279,15,2021
"Blake Gillikin",45045,"P","NO",1,9,9,4.05,41.22,45.78,5.9,0,0,1,1,20,51.7,4,58,0,0,77.8,41,7,9,36.45,371,0,412,15,2021
"Pressley Harvin III",62973,"P","PIT",1,5,5,4.6,30.2,39.8,24,0,0,0,1,25,51,2,51,2,0,40,48,2,5,23.02,151,0,199,15,2021
"Arryn Siposs",82019,"P","PHI",1,2,2,4.15,27.5,37.5,,0,0,0,1,24,60.6,1,41,0,0,0,0,0,2,8.29,55,1,75,15,2021
"Dustin Colquitt",2316,"P","CLV",1,1,1,3.37,28,37,9,0,0,0,0,8,60,1,37,0,0,100,9,1,1,3.37,28,0,37,16,2021
"Sam Koch",3148,"P","BLT",1,3,3,4.39,39,44.33,8,0,0,0,1,3,64.3,1,47,0,0,66.7,16,2,3,13.17,117,0,133,16,2021
"Brett Kern",4580,"P","TEN",1,5,5,4.11,39.6,46,12,0,0,2,1,31,59.2,2,59,0,0,20,12,1,5,20.57,198,1,230,16,2021
"Thomas Morstead",5088,"P","ATL",1,2,2,4,48,57.5,19,0,0,1,0,2,60.2,1,61,0,0,50,19,1,2,7.99,96,0,115,16,2021
"Bryan Anger",7072,"P","DAL",1,4,4,4.44,50,53.5,7,0,0,1,1,9,63.7,1,62,0,0,50,14,2,4,17.74,200,0,214,16,2021
"Johnny Hekker",7252,"P","LA",1,2,2,4.64,54,54,,0,0,0,2,26,61.6,1,55,0,0,0,0,0,2,9.27,108,0,108,16,2021
"Sam Martin",7947,"P","DEN",1,5,5,4.74,43.4,44.6,6,0,0,0,2,10,75.5,3,56,2,0,20,6,1,5,23.68,217,0,223,16,2021
"Tress Way",8358,"P","WAS",1,6,6,4.61,44.5,51.33,21,1,0,3,1,32,64.5,3,56,0,0,16.7,21,1,7,27.65,267,1,308,16,2021
"Pat O'Donnell",8826,"P","CHI",1,3,3,3.4,33.33,45,15,0,0,1,0,6,48.3,0,64,0,0,33.3,15,1,3,10.2,100,1,135,16,2021
"Michael Palardy",9277,"P","MIA",1,6,6,4.32,38,42.5,9,0,0,2,1,17,59.8,3,47,0,0,50,27,3,6,25.89,228,0,255,16,2021
"Jordan Berry",10236,"P","MIN",1,5,5,4.31,30.2,45.2,37.5,0,0,1,1,18,59.3,2,63,1,0,40,75,2,5,21.56,151,0,226,16,2021
"Riley Dixon",10862,"P","NYG",1,8,8,3.94,28,36.75,12.5,0,0,0,2,21,46.4,3,48,1,0,50,50,4,8,31.51,224,1,294,16,2021
"Lachlan Edwards",10869,"P","CAR",1,5,5,4.12,41.8,50.6,8.8,0,0,0,0,5,61.6,1,60,0,0,100,44,5,5,20.6,209,0,253,16,2021
"Rigoberto Sanchez",12130,"P","IND",1,3,3,4.33,22.33,38.33,48,0,0,0,2,14,65.7,2,44,0,0,33.3,48,1,3,13,67,0,115,16,2021
"Cameron Johnston",12255,"P","HST",1,1,1,4.38,53,53,,0,0,0,1,13,60,0,53,0,0,0,0,0,1,4.38,53,0,53,16,2021
"Johnny Townsend",22261,"P","KC",1,2,2,4.12,35.5,45.5,20,0,0,0,0,16,59.7,0,50,1,0,50,20,1,2,8.24,71,0,91,16,2021
"Corey Bojorquez",27626,"P","GB",1,5,5,4.06,41.8,47,8.7,0,0,1,1,12,53.9,1,56,0,0,60,26,3,5,20.3,209,0,235,16,2021
"Logan Cooke",29214,"P","JAX",1,1,1,5.14,47,59,12,0,0,0,0,15,60,0,59,0,0,100,12,1,1,5.14,47,0,59,16,2021
"Ryan Winslow",30026,"P","ARZ",1,1,1,4.64,39,39,,0,0,0,0,1,60,0,39,1,0,0,0,0,1,4.64,39,0,39,16,2021
"Sterling Hofrichter",33541,"P","TB",1,3,3,3.98,33.67,41,11,0,0,0,1,30,58,1,45,0,0,66.7,22,2,3,11.93,101,0,123,16,2021
"Jake Bailey",33963,"P","NE",1,3,3,3.77,41.33,52.67,11.3,0,0,0,0,19,55.9,1,63,0,0,100,34,3,3,11.31,124,0,158,16,2021
"Jack Fox",34735,"P","DET",1,2,2,4.94,48,54.5,13,0,0,0,1,11,62,1,57,0,0,50,13,1,2,9.88,96,0,109,16,2021
"Michael Dickson",35381,"P","SEA",1,4,4,3.97,25,37,14,0,0,0,1,29,53.6,1,41,0,0,50,28,2,4,15.88,100,1,148,16,2021
"A.J. Cole III",36038,"P","LV",1,2,2,4.29,42.5,42.5,,0,0,1,1,23,61.3,2,47,0,0,0,0,0,2,8.58,85,0,85,16,2021
"Corliss Waitman",39620,"P","PIT",1,2,2,4.33,41.5,60.5,18,0,0,0,0,25,59.4,0,63,0,0,50,18,1,2,8.66,83,1,121,16,2021
"Mitch Wishnowsky",44663,"P","SF",1,2,2,3.68,35,35,,0,0,1,0,28,59.9,1,40,1,0,0,0,0,2,7.36,70,0,70,16,2021
"Braden Mann",44664,"P","NYJ",1,1,1,4.2,51,55,4,0,0,0,0,22,60,1,55,0,0,100,4,1,1,4.2,51,0,55,16,2021
"Blake Gillikin",45045,"P","NO",1,7,7,4.29,43.86,45.14,3,0,0,0,4,20,54,2,54,0,0,42.9,9,3,7,30.06,307,0,316,16,2021
"Arryn Siposs",82019,"P","PHI",1,4,4,4.06,38.5,42.5,8,0,0,1,1,24,59.7,0,51,0,0,50,16,2,4,16.23,154,0,170,16,2021
"Andy Lee",1906,"P","ARZ",1,3,3,3.58,35.33,40.33,7.5,0,0,0,0,1,55.2,1,47,1,0,66.7,15,2,3,10.73,106,0,121,17,2021
"Dustin Colquitt",2316,"P","CLV",1,8,8,4.01,34.75,42.75,8.8,0,0,1,0,8,53.1,2,55,1,0,62.5,44,5,8,32.11,278,1,342,17,2021
"Sam Koch",3148,"P","BLT",1,3,3,4.18,40.33,46.33,18,0,0,1,1,3,64.3,2,61,0,0,33.3,18,1,3,12.55,121,0,139,17,2021
"Brett Kern",4580,"P","TEN",1,4,4,3.99,40.5,44.25,7.5,0,0,2,0,31,54.1,3,52,0,0,50,15,2,4,15.96,162,0,177,17,2021
"Kevin Huber",5066,"P","CIN",1,3,3,3.98,28.67,39.33,16,0,0,0,0,7,61.7,0,51,1,0,66.7,32,2,3,11.94,86,0,118,17,2021
"Thomas Morstead",5088,"P","ATL",1,4,4,3.69,32.5,39.75,4.5,0,0,0,0,2,56.5,1,48,1,0,50,9,2,4,14.77,130,1,159,17,2021
"Bryan Anger",7072,"P","DAL",1,4,4,4.73,50,48.75,-5,0,0,1,2,9,69.5,2,57,0,0,25,-5,1,4,18.91,200,0,195,17,2021
"Johnny Hekker",7252,"P","LA",1,2,2,4.41,46,46,,0,0,0,2,26,59.7,2,53,0,0,0,0,0,2,8.82,92,0,92,17,2021
"Sam Martin",7947,"P","DEN",1,3,3,4.53,44,45.67,2.5,0,0,0,1,10,63,1,56,0,0,66.7,5,2,3,13.58,132,0,137,17,2021
"Pat O'Donnell",8826,"P","CHI",1,5,5,3.59,38,45.4,8.5,0,0,1,0,6,62.8,1,56,1,0,40,17,2,5,17.94,190,1,227,17,2021
"Michael Palardy",9277,"P","MIA",1,4,4,4.05,29.75,36.75,9.3,0,0,0,1,17,55.4,1,42,0,0,75,28,3,4,16.21,119,0,147,17,2021
"Ty Long",9728,"K","LAC",1,3,3,3.92,37,38.33,2,0,0,0,0,27,50.6,2,48,1,0,66.7,4,2,3,11.75,111,0,115,17,2021
"Jordan Berry",10236,"P","MIN",1,6,6,4.04,43.83,49.33,11,0,0,1,1,18,61.2,1,64,1,0,50,33,3,6,24.21,263,0,296,17,2021
"Riley Dixon",10862,"P","NYG",1,4,4,3.53,38.75,39,1,0,0,3,0,21,49.1,1,46,0,0,25,1,1,4,14.13,155,0,156,17,2021
"Lachlan Edwards",10869,"P","CAR",1,5,5,3.64,45.4,47,2,0,0,0,1,5,58.1,2,62,0,0,80,8,4,5,18.19,227,0,235,17,2021
"Rigoberto Sanchez",12130,"P","IND",1,5,5,4.38,31.8,44.6,21.3,0,0,1,0,14,61.5,1,55,1,0,60,64,3,5,21.89,159,0,223,17,2021
"Cameron Johnston",12255,"P","HST",1,7,7,3.94,39.29,46.86,8.3,0,0,1,1,13,56.4,1,53,0,0,57.1,33,4,7,27.61,275,1,328,17,2021
"Corey Bojorquez",27626,"P","GB",1,2,2,3.65,21.5,31.5,,0,0,0,0,12,57.5,0,39,1,0,0,0,0,2,7.29,43,1,63,17,2021
"Ryan Winslow",30026,"P","WAS",1,2,2,4.37,38.5,42,7,0,0,0,1,32,60.2,0,46,0,0,50,7,1,2,8.74,77,0,84,17,2021
"Tommy Townsend",33007,"P","KC",1,3,3,4.08,35,36,3,0,0,0,2,16,59.3,1,42,0,0,33.3,3,1,3,12.24,105,0,108,17,2021
"Sterling Hofrichter",33541,"P","TB",1,3,3,4.7,34.67,34.67,,0,0,0,3,30,61.6,2,39,0,0,0,0,0,3,14.11,104,0,104,17,2021
"Jake Bailey",33963,"P","NE",1,1,1,4.31,37,40,3,0,0,0,0,19,60,1,40,0,0,100,3,1,1,4.31,37,0,40,17,2021
"Jack Fox",34735,"P","DET",1,3,3,3.76,42.33,44,2.5,0,0,0,0,11,57.4,1,57,1,0,66.7,5,2,3,11.29,127,0,132,17,2021
"Michael Dickson",35381,"P","SEA",1,1,1,4.76,45,45,,0,0,0,1,29,60,0,45,0,0,0,0,0,1,4.76,45,0,45,17,2021
"A.J. Cole III",36038,"P","LV",1,2,2,4.27,42,52,,0,0,0,0,23,60.5,1,60,1,0,0,0,0,2,8.53,84,1,104,17,2021
"J.K. Scott",38809,"P","JAX",1,4,4,4.74,39.75,39.75,,0,0,0,4,15,56.5,1,47,0,0,0,0,0,4,18.97,159,0,159,17,2021
"Corliss Waitman",39620,"P","PIT",1,5,5,4.03,43,48.8,7.3,0,0,1,0,25,55.7,1,53,0,0,80,29,4,5,20.16,215,0,244,17,2021
"Mitch Wishnowsky",44663,"P","SF",1,4,4,4.15,34,39.75,11.5,0,0,0,1,28,58.1,2,52,1,0,50,23,2,4,16.59,136,0,159,17,2021
"Braden Mann",44664,"P","NYJ",1,4,4,4.24,37.75,38.5,3,0,0,0,1,22,61.3,2,46,2,0,25,3,1,4,16.96,151,0,154,17,2021
"Blake Gillikin",45045,"P","NO",1,5,5,4.12,39,43,,0,0,1,2,20,60,3,63,1,0,0,0,0,5,20.6,195,1,215,17,2021
"Arryn Siposs",82019,"P","PHI",1,2,2,4.34,37,37,,0,0,1,1,24,61.3,2,39,0,0,0,0,0,2,8.67,74,0,74,17,2021
"Andy Lee",1906,"P","ARZ",1,3,3,4.52,44.67,51.33,10,0,0,0,1,1,57.4,0,57,0,0,66.7,20,2,3,13.55,134,0,154,18,2021
"Dustin Colquitt",2316,"P","CLV",1,4,4,4.13,34.75,37.5,11,0,0,1,1,8,55.7,1,56,1,0,25,11,1,4,16.5,139,0,150,18,2021
"Robbie Gould",2607,"K","SF",1,2,2,4.03,45,45,,0,0,1,1,28,58.6,1,47,0,0,0,0,0,2,8.05,90,0,90,18,2021
"Sam Koch",3148,"P","BLT",1,7,7,4.28,34.14,38.29,14.5,0,0,2,2,3,55.4,3,50,1,0,28.6,29,2,7,29.95,239,0,268,18,2021
"Brett Kern",4580,"P","TEN",1,4,4,4.19,43.25,49.25,8,0,0,0,1,31,59.9,1,53,0,0,75,24,3,4,16.75,173,0,197,18,2021
"Kevin Huber",5066,"P","CIN",1,7,7,4.26,38.71,44.43,5,0,0,0,1,7,57.6,1,57,1,0,57.1,20,4,7,29.8,271,1,311,18,2021
"Thomas Morstead",5088,"P","ATL",1,2,2,4.42,46.5,46.5,,0,0,0,2,2,59.7,1,48,0,0,0,0,0,2,8.83,93,0,93,18,2021
"Bryan Anger",7072,"P","DAL",1,1,1,3.92,44,44,0,0,0,0,0,9,60,0,44,0,0,100,0,1,1,3.92,44,0,44,18,2021
"Johnny Hekker",7252,"P","LA",1,4,4,4.12,46,49.5,14,0,0,1,2,26,57.2,2,59,0,0,25,14,1,4,16.49,184,0,198,18,2021
"Sam Martin",7947,"P","DEN",1,3,3,4.11,46.67,48.33,5,0,0,0,1,10,57.2,2,65,1,0,33.3,5,1,3,12.32,140,0,145,18,2021
"Tress Way",8358,"P","WAS",1,6,6,4.3,28.17,40.83,16,0,0,1,1,32,58.6,2,56,0,0,16.7,16,1,6,25.79,169,3,245,18,2021
"Pat O'Donnell",8826,"P","CHI",1,1,1,4.33,43,43,,0,0,0,1,6,60,1,43,0,0,0,0,0,1,4.33,43,0,43,18,2021
"Michael Palardy",9277,"P","MIA",1,4,4,4.04,47.25,52.25,10,0,0,2,0,17,64.4,2,63,0,0,50,20,2,4,16.16,189,0,209,18,2021
"Bradley Pinion",9598,"P","TB",1,3,3,4.61,44.33,44.33,,0,0,0,2,30,61.7,0,46,1,0,0,0,0,3,13.82,133,0,133,18,2021
"Ty Long",9728,"K","LAC",1,3,3,4.74,43.33,54,10.7,0,0,0,0,27,68.2,0,56,0,0,100,32,3,3,14.21,130,0,162,18,2021
"Jordan Berry",10236,"P","MIN",1,6,6,4.11,37.5,45.33,11.8,0,0,0,1,18,61.9,2,57,1,0,66.7,47,4,6,24.66,225,0,272,18,2021
"Riley Dixon",10862,"P","NYG",1,6,6,4.37,47.17,51,5.8,0,0,0,1,21,60,1,56,1,0,66.7,23,4,6,26.23,283,0,306,18,2021
"Lachlan Edwards",10869,"P","CAR",1,2,2,4.22,40.5,42.5,4,0,0,0,1,5,60.2,2,50,0,0,50,4,1,2,8.43,81,0,85,18,2021
"Rigoberto Sanchez",12130,"P","IND",1,2,2,4.4,39,39,,0,0,0,1,14,58.7,1,45,1,0,0,0,0,2,8.79,78,0,78,18,2021
"Matt Haack",12212,"P","BUF",1,7,7,3.34,30.29,33.86,2.5,0,0,3,0,4,35.4,2,53,1,0,28.6,5,2,7,23.35,212,1,237,18,2021
"Cameron Johnston",12255,"P","HST",1,5,5,3.88,38,42.6,5.8,0,0,0,1,13,62.6,4,50,0,0,80,23,4,5,19.41,190,0,213,18,2021
"Corey Bojorquez",27626,"P","GB",1,1,1,3.19,35,35,,0,0,0,1,12,60,1,35,0,0,0,0,0,1,3.19,35,0,35,18,2021
"Tommy Townsend",33007,"P","KC",1,2,2,4.39,30.5,50.5,,0,0,0,0,16,60.1,0,58,0,0,0,0,0,2,8.78,61,2,101,18,2021
"Joseph Charlton",33672,"P","JAX",1,3,3,4.13,41.67,50.67,7,0,0,0,0,15,60.3,0,57,1,0,33.3,7,1,3,12.39,125,1,152,18,2021
"Jake Bailey",33963,"P","NE",1,3,3,4.09,39.33,46,,0,0,0,1,19,63.3,2,47,1,0,0,0,0,3,12.27,118,1,138,18,2021
"Jack Fox",34735,"P","DET",1,2,2,2.41,37,48.5,23,0,0,1,0,11,60.9,0,67,0,0,50,23,1,2,4.81,74,0,97,18,2021
"Michael Dickson",35381,"P","SEA",1,2,2,4.32,39,39,,0,0,1,1,29,60.9,2,41,0,0,0,0,0,2,8.63,78,0,78,18,2021
"A.J. Cole III",36038,"P","LV",1,4,4,3.98,44.25,45.25,2,0,0,0,2,23,58.6,2,54,0,0,50,4,2,4,15.92,177,0,181,18,2021
"Mitch Wishnowsky",44663,"P","SF",1,2,2,4.7,22.5,42.5,20,0,0,0,0,28,60.2,0,43,0,0,100,40,2,2,9.4,45,0,85,18,2021
"Braden Mann",44664,"P","NYJ",1,10,10,3.94,46.9,49.7,5.6,1,0,3,0,22,42.3,3,60,2,0,50,28,5,11,39.43,469,0,497,18,2021
"Blake Gillikin",45045,"P","NO",1,2,2,4.4,44,50,12,0,0,0,0,20,60.6,1,52,1,0,50,12,1,2,8.8,88,0,100,18,2021
"Pressley Harvin III",62973,"P","PIT",1,8,8,4.27,37.25,37.25,0,0,0,1,5,25,51.8,5,49,1,0,12.5,0,1,8,34.15,298,0,298,18,2021
"Arryn Siposs",82019,"P","PHI",1,3,3,3.77,25.33,29,11,0,0,1,0,24,54.4,0,42,1,0,33.3,11,1,3,11.31,76,0,87,18,2021
"Andy Lee",1906,"P","ARZ",1,4,4,4.12,40.5,47.75,9.7,0,0,1,0,1,61.4,1,53,0,0,75,29,3,4,16.49,162,0,191,1,2020
"Dustin Colquitt",2316,"P","PIT",1,4,4,4.05,36,45.75,13,0,0,0,1,25,57.2,1,59,0,0,75,39,3,4,16.21,144,0,183,1,2020
"Sam Koch",3148,"P","BLT",1,3,3,4.43,41.33,41.67,1,0,0,1,0,3,61.6,2,49,1,0,33.3,1,1,3,13.3,124,0,125,1,2020
"Brett Kern",4580,"P","TEN",1,4,4,4.26,47,51,8,0,0,0,1,31,59.2,3,66,1,0,50,16,2,4,17.04,188,0,204,1,2020
"Kevin Huber",5066,"P","CIN",1,6,6,4.58,43.83,55,3.5,0,0,0,1,7,75.2,3,70,0,0,33.3,7,2,6,27.48,263,3,330,1,2020
"Thomas Morstead",5088,"P","NO",1,6,6,4.5,44,44,0,0,0,1,4,20,67.1,5,51,0,0,16.7,0,1,6,26.97,264,0,264,1,2020
"Britton Colquitt",5192,"P","MIN",1,2,2,4.21,40,40,0,0,0,0,1,18,60.1,1,40,0,0,50,0,1,2,8.41,80,0,80,1,2020
"Chris Jones",6798,"P","DAL",1,4,4,4.36,39,39,,0,0,0,4,9,58.1,2,54,0,0,0,0,0,4,17.43,156,0,156,1,2020
"Bryan Anger",7072,"P","HST",1,3,3,3.89,41,41,,0,0,0,2,13,60,2,42,1,0,0,0,0,3,11.67,123,0,123,1,2020
"Johnny Hekker",7252,"P","LA",1,3,3,4.52,40.67,47.33,20,0,0,0,2,26,65.7,2,58,0,0,33.3,20,1,3,13.57,122,0,142,1,2020
"Sam Martin",7947,"P","DEN",1,5,5,4.26,45,48.8,6.3,0,0,0,1,10,64.2,3,56,1,0,60,19,3,5,21.3,225,0,244,1,2020
"Tress Way",8358,"P","WAS",1,7,7,4.55,45,47,4.7,0,0,2,2,32,62.9,2,51,0,0,42.9,14,3,7,31.84,315,0,329,1,2020
"Pat O'Donnell",8826,"P","CHI",1,5,5,4.05,39.4,42.6,16,0,0,1,3,6,60.9,2,55,0,0,20,16,1,5,20.23,197,0,213,1,2020
"Bradley Pinion",9598,"P","TB",1,5,5,4.48,35.4,47.2,14.8,0,0,0,1,30,65.6,0,59,0,0,80,59,4,5,22.42,177,0,236,1,2020
"Ty Long",9728,"K","LAC",1,5,5,4.18,43,48.8,14.5,0,0,0,0,27,63.3,1,63,3,0,40,29,2,5,20.91,215,0,244,1,2020
"Riley Dixon",10862,"P","NYG",1,5,5,4.56,36,38.6,4.3,0,0,1,1,21,62.3,3,53,0,0,60,13,3,5,22.82,180,0,193,1,2020
"Matt Haack",12212,"P","MIA",1,3,3,4.67,44,50.67,0,0,0,0,1,17,64.3,1,58,0,0,33.3,0,1,3,14.01,132,1,152,1,2020
"Cameron Johnston",12255,"P","PHI",1,5,5,4.51,50.2,53.6,3.4,0,0,0,0,24,65.9,3,62,0,0,100,17,5,5,22.55,251,0,268,1,2020
"Corey Bojorquez",27626,"P","BUF",1,1,1,4.95,53,53,,0,0,0,1,4,60,0,53,0,0,0,0,0,1,4.95,53,0,53,1,2020
"Logan Cooke",29214,"P","JAX",1,3,3,4.29,45.33,45.33,,0,0,1,1,15,60.5,1,53,1,0,0,0,0,3,12.88,136,0,136,1,2020
"Tommy Townsend",33007,"P","KC",1,3,3,4,32.33,45.33,19,0,0,1,0,16,56.5,1,54,0,0,33.3,19,1,3,11.99,97,1,136,1,2020
"Sterling Hofrichter",33541,"P","ATL",1,2,2,4.8,42.5,50,15,0,0,0,1,2,61.2,0,55,0,0,50,15,1,2,9.59,85,0,100,1,2020
"Joseph Charlton",33672,"P","CAR",1,2,2,4.81,41.5,60,18.5,0,0,0,0,5,61.3,0,60,0,0,100,37,2,2,9.62,83,0,120,1,2020
