"player","player_id","position","team_name","player_game_count","declined_penalties","fifty_attempts","fifty_made","fifty_percent","forty_attempts","forty_made","forty_percent","franchise_id","grades_fgep_kicker","one_attempts","one_made","one_percent","pat_attempts","pat_made","pat_percent","penalties","thirty_attempts","thirty_made","thirty_percent","total_attempts","total_made","total_percent","twenty_attempts","twenty_made","twenty_percent","week","year"
"Dustin Hopkins",7958,"K","WAS",1,0,0,0,,2,2,100,32,59.4,0,0,,3,3,100,0,1,1,100,3,3,100,0,0,,2,2021
"Brandon McManus",8437,"K","DEN",1,0,0,0,,2,2,100,10,68.6,0,0,,2,2,100,0,1,1,100,3,3,100,0,0,,2,2021
"Cairo Santos",8932,"K","CHI",1,0,0,0,,0,0,,6,63.4,0,0,,2,2,100,0,0,0,,2,2,100,2,2,100,2,2021
"Chris Boswell",8990,"K","PIT",1,0,1,1,100,0,0,,25,73.9,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,2,2021
"Josh Lambo",10133,"K","JAX",1,0,1,0,0,1,0,0,15,35.3,0,0,,1,1,100,0,0,0,,2,0,0,0,0,,2,2021
"Jason Myers",10207,"K","SEA",1,0,0,0,,0,0,,29,40.9,0,0,,4,3,75,0,1,1,100,1,1,100,0,0,,2,2021
"Aldrick Rosas",11331,"K","NO",1,0,0,0,,0,0,,20,60.4,0,0,,1,1,100,0,0,0,,0,0,,0,0,,2,2021
"Jake Elliott",11908,"K","PHI",1,0,0,0,,2,1,50,24,61.2,0,0,,0,0,,0,0,0,,2,1,50,0,0,,2,2021
"Zane Gonzalez",11979,"K","CAR",1,0,1,0,0,1,1,100,5,49.8,0,0,,3,2,66.7,0,0,0,,3,2,66.7,1,1,100,2,2021
"Harrison Butker",11988,"K","KC",1,0,0,0,,0,0,,16,65.3,0,0,,5,5,100,0,0,0,,0,0,,0,0,,2,2021
"Younghoe Koo",12042,"K","ATL",1,0,0,0,,0,0,,2,63.8,0,0,,2,2,100,0,1,1,100,1,1,100,0,0,,2,2021
"Tristan Vizcaino",13076,"K","LAC",1,0,0,0,,2,1,50,27,51.6,0,0,,0,0,,0,1,1,100,4,3,75,1,1,100,2,2021
"Austin Seibert",13701,"K","DET",1,0,0,0,,1,1,100,11,65.5,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,2,2021
"Greg Joseph",22842,"K","MIN",1,0,2,2,100,0,0,,18,38.5,0,0,,4,3,75,0,1,0,0,3,2,66.7,0,0,,2,2021
"Daniel Carlson",28121,"K","LV",1,0,0,0,,3,3,100,23,71.4,0,0,,2,2,100,0,1,1,100,4,4,100,0,0,,2,2021
"Tyler Bass",33010,"K","BUF",1,0,1,0,0,0,0,,4,54.8,0,0,,5,5,100,0,0,0,,1,0,0,0,0,,2,2021
"Chase McLaughlin",33285,"K","CLV",1,0,0,0,,0,0,,8,65.1,0,0,,4,4,100,0,1,1,100,1,1,100,0,0,,2,2021
"Rodrigo Blankenship",34038,"K","IND",1,0,0,0,,2,2,100,14,70.4,0,0,,1,1,100,0,1,1,100,3,3,100,0,0,,2,2021
"Matt Ammendola",34039,"K","NYJ",1,0,1,0,0,0,0,,22,49.6,0,0,,0,0,,0,1,1,100,3,2,66.7,1,1,100,2,2021
"Joey Slye",39235,"K","HST",1,0,0,0,,1,0,0,13,63.5,0,0,,3,3,100,0,0,0,,1,0,0,0,0,,2,2021
"Matt Gay",57643,"K","LA",1,0,0,0,,0,0,,26,65.6,0,0,,3,3,100,0,2,2,100,2,2,100,0,0,,2,2021
"Evan McPherson",82583,"K","CIN",1,0,1,1,100,0,0,,7,68.4,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,2,2021
"Robbie Gould",2607,"K","SF",1,0,0,0,,0,0,,28,64.5,0,0,,4,4,100,0,0,0,,0,0,,0,0,,3,2021
"Matt Prater",3471,"K","ARZ",1,0,1,0,0,0,0,,1,65.3,0,0,,4,4,100,0,1,1,100,2,1,50,0,0,,3,2021
"Nick Folk",3794,"K","NE",1,0,0,0,,1,1,100,19,65.6,0,0,,1,1,100,0,0,0,,2,2,100,1,1,100,3,2021
"Mason Crosby",3809,"K","GB",1,0,2,2,100,0,0,,12,81.8,0,0,,3,3,100,0,1,1,100,3,3,100,0,0,,3,2021
"Ryan Succop",5180,"K","TB",1,0,1,0,0,0,0,,30,47.7,0,0,,3,3,100,0,0,0,,2,1,50,1,1,100,3,2021
"Graham Gano",5443,"K","NYG",1,0,0,0,,0,0,,21,61.7,0,0,,0,0,,0,1,1,100,2,2,100,1,1,100,3,2021
"Randy Bullock",7154,"K","TEN",1,0,0,0,,0,0,,31,63.5,0,0,,2,2,100,0,1,1,100,1,1,100,0,0,,3,2021
"Greg Zuerlein",7163,"K","DAL",1,0,0,0,,0,0,,9,50.8,0,0,,6,5,83.3,0,0,0,,0,0,,0,0,,3,2021
"Justin Tucker",7604,"K","BLT",1,0,2,2,100,1,0,0,3,92.7,0,0,,1,1,100,0,2,2,100,5,4,80,0,0,,3,2021
"Dustin Hopkins",7958,"K","WAS",1,0,0,0,,0,0,,32,63.5,0,0,,3,3,100,0,0,0,,0,0,,0,0,,3,2021
"Brandon McManus",8437,"K","DEN",1,0,0,0,,2,2,100,10,70,0,0,,2,2,100,0,1,1,100,4,4,100,1,1,100,3,2021
"Cairo Santos",8932,"K","CHI",1,0,0,0,,1,1,100,6,64.6,0,0,,0,0,,0,0,0,,2,2,100,1,1,100,3,2021
"Chris Boswell",8990,"K","PIT",1,0,0,0,,1,0,0,25,46.5,0,0,,1,1,100,0,0,0,,2,1,50,1,1,100,3,2021
"Josh Lambo",10133,"K","JAX",1,0,0,0,,0,0,,15,29.4,0,0,,3,1,33.3,0,0,0,,0,0,,0,0,,3,2021
"Jason Myers",10207,"K","SEA",1,0,1,1,100,1,0,0,29,54,0,0,,2,2,100,0,0,0,,2,1,50,0,0,,3,2021
"Aldrick Rosas",11331,"K","NO",1,0,1,0,0,0,0,,20,39.8,0,0,,4,4,100,0,1,0,0,2,0,0,0,0,,3,2021
"Jake Elliott",11908,"K","PHI",1,0,0,0,,0,0,,24,63.5,0,0,,3,3,100,0,0,0,,0,0,,0,0,,3,2021
"Zane Gonzalez",11979,"K","CAR",1,0,0,0,,0,0,,5,63.7,0,0,,3,3,100,0,0,0,,1,1,100,1,1,100,3,2021
"Harrison Butker",11988,"K","KC",1,0,0,0,,0,0,,16,64.5,0,0,,3,3,100,0,1,1,100,1,1,100,0,0,,3,2021
"Younghoe Koo",12042,"K","ATL",1,0,0,0,,1,1,100,2,73.7,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,3,2021
"Tristan Vizcaino",13076,"K","LAC",1,0,0,0,,0,0,,27,29.9,0,0,,3,1,33.3,0,0,0,,1,1,100,1,1,100,3,2021
"Greg Joseph",22842,"K","MIN",1,0,0,0,,1,1,100,18,66.9,0,0,,3,3,100,0,1,1,100,3,3,100,1,1,100,3,2021
"Ryan Santoso",26245,"P","DET",1,0,0,0,,0,0,,11,72.8,0,0,,2,2,100,0,1,1,100,1,1,100,0,0,,3,2021
"Daniel Carlson",28121,"K","LV",1,0,1,1,100,0,0,,23,61.8,0,0,,3,2,66.7,0,1,1,100,3,3,100,1,1,100,3,2021
"Jason Sanders",29578,"K","MIA",1,0,1,1,100,2,1,50,17,66.7,0,0,,2,2,100,0,0,0,,3,2,66.7,0,0,,3,2021
"Tyler Bass",33010,"K","BUF",1,0,0,0,,1,1,100,4,68.3,0,0,,4,4,100,0,0,0,,3,3,100,2,2,100,3,2021
"Chase McLaughlin",33285,"K","CLV",1,0,2,2,100,1,1,100,8,81.4,0,0,,2,2,100,0,0,0,,4,4,100,1,1,100,3,2021
"Rodrigo Blankenship",34038,"K","IND",1,0,1,0,0,1,1,100,14,54.1,0,0,,1,1,100,0,0,0,,4,3,75,2,2,100,3,2021
"Joey Slye",39235,"K","HST",1,0,1,1,100,0,0,,13,49.3,0,0,,1,0,0,0,0,0,,1,1,100,0,0,,3,2021
"Matt Gay",57643,"K","LA",1,0,0,0,,1,1,100,26,68.3,0,0,,4,4,100,0,0,0,,2,2,100,1,1,100,3,2021
"Evan McPherson",82583,"K","CIN",1,0,0,0,,1,1,100,7,66.3,0,0,,3,3,100,0,0,0,,1,1,100,0,0,,3,2021
"Matt Prater",3471,"K","ARZ",1,0,1,1,100,0,0,,1,71.7,0,0,,4,4,100,0,0,0,,3,3,100,2,2,100,4,2021
"Nick Folk",3794,"K","NE",1,0,1,0,0,0,0,,19,48.1,0,0,,2,2,100,0,0,0,,2,1,50,1,1,100,4,2021
"Mason Crosby",3809,"K","GB",1,0,0,0,,0,0,,12,64.6,0,0,,3,3,100,0,0,0,,2,2,100,2,2,100,4,2021
"Ryan Succop",5180,"K","TB",1,0,0,0,,2,2,100,30,62.6,0,0,,1,1,100,0,1,0,0,5,4,80,2,2,100,4,2021
"Graham Gano",5443,"K","NYG",1,0,0,0,,1,1,100,21,58.5,0,0,,1,1,100,0,1,0,0,3,2,66.7,1,1,100,4,2021
"Randy Bullock",7154,"K","TEN",1,0,0,0,,3,2,66.7,31,48.9,0,0,,1,1,100,0,1,1,100,4,3,75,0,0,,4,2021
"Greg Zuerlein",7163,"K","DAL",1,0,0,0,,0,0,,9,64.7,0,0,,3,3,100,0,1,1,100,1,1,100,0,0,,4,2021
"Justin Tucker",7604,"K","BLT",1,0,0,0,,2,2,100,3,67.9,0,0,,2,2,100,0,0,0,,3,3,100,1,1,100,4,2021
"Dustin Hopkins",7958,"K","WAS",1,0,0,0,,0,0,,32,29.9,0,0,,3,1,33.3,0,0,0,,1,1,100,1,1,100,4,2021
"Brandon McManus",8437,"K","DEN",1,0,0,0,,0,0,,10,60.4,0,0,,1,1,100,0,0,0,,0,0,,0,0,,4,2021
"Cairo Santos",8932,"K","CHI",1,0,0,0,,0,0,,6,64.5,0,0,,3,3,100,0,1,1,100,1,1,100,0,0,,4,2021
"Chris Boswell",8990,"K","PIT",1,0,1,1,100,0,0,,25,68.3,0,0,,2,2,100,0,0,0,,1,1,100,0,0,,4,2021
"Jason Myers",10207,"K","SEA",1,0,0,0,,0,0,,29,64.5,0,0,,4,4,100,0,0,0,,0,0,,0,0,,4,2021
"Aldrick Rosas",11331,"K","NO",1,0,1,0,0,0,0,,20,53.1,0,0,,3,3,100,0,0,0,,1,0,0,0,0,,4,2021
"Jake Elliott",11908,"K","PHI",1,0,0,0,,0,0,,24,65.3,0,0,,3,3,100,0,1,1,100,3,3,100,2,2,100,4,2021
"Zane Gonzalez",11979,"K","CAR",1,0,1,0,0,0,0,,5,53.6,0,0,,4,4,100,0,0,0,,1,0,0,0,0,,4,2021
"Harrison Butker",11988,"K","KC",1,0,0,0,,0,0,,16,65.9,0,0,,6,6,100,0,0,0,,0,0,,0,0,,4,2021
"Younghoe Koo",12042,"K","ATL",1,0,0,0,,0,0,,2,64,0,0,,3,3,100,0,0,0,,1,1,100,1,1,100,4,2021
"Tristan Vizcaino",13076,"K","LAC",1,0,0,0,,0,0,,27,64.5,0,0,,4,4,100,0,0,0,,0,0,,0,0,,4,2021
"Greg Joseph",22842,"K","MIN",1,0,0,0,,0,0,,18,60.4,0,0,,1,1,100,0,0,0,,0,0,,0,0,,4,2021
"Ryan Santoso",26245,"P","DET",1,0,0,0,,0,0,,11,62.3,0,0,,2,2,100,0,0,0,,0,0,,0,0,,4,2021
"Daniel Carlson",28121,"K","LV",1,0,1,0,0,0,0,,23,50.1,0,0,,2,2,100,0,0,0,,1,0,0,0,0,,4,2021
"Jason Sanders",29578,"K","MIA",1,0,0,0,,0,0,,17,63.9,0,0,,2,2,100,0,1,1,100,1,1,100,0,0,,4,2021
"Tyler Bass",33010,"K","BUF",1,0,0,0,,0,0,,4,65.8,0,0,,4,4,100,0,1,1,100,4,4,100,3,3,100,4,2021
"Chase McLaughlin",33285,"K","CLV",1,0,1,1,100,1,1,100,8,71.8,0,0,,0,0,,0,0,0,,2,2,100,0,0,,4,2021
"Rodrigo Blankenship",34038,"K","IND",1,0,0,0,,1,1,100,14,67,0,0,,3,3,100,0,1,1,100,2,2,100,0,0,,4,2021
"Matt Ammendola",34039,"K","NYJ",1,0,0,0,,0,0,,22,64.2,0,0,,3,3,100,0,0,0,,2,2,100,2,2,100,4,2021
"Matthew Wright",39675,"K","JAX",1,0,0,0,,0,0,,15,63.5,0,0,,3,3,100,0,0,0,,0,0,,0,0,,4,2021
"Mitch Wishnowsky",44663,"P","SF",1,0,0,0,,1,0,0,28,29.7,0,0,,2,1,50,0,0,0,,1,0,0,0,0,,4,2021
"Matt Gay",57643,"K","LA",1,0,0,0,,2,1,50,26,52.3,0,0,,2,2,100,0,0,0,,3,2,66.7,1,1,100,4,2021
"Evan McPherson",82583,"K","CIN",1,0,0,0,,1,0,0,7,59,0,0,,3,3,100,0,1,1,100,2,1,50,0,0,,4,2021
