p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
andylee_ari_2022_6,ari_2022_6,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,4,4,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kevinhuber_cin_2022_6,cin_2022_6,kevinhuber_cin_2022,cin_2022,kevinhuber,5066,p,cin,1,4,4,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
thomasmorstead_mia_2022_6,mia_2022_6,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,3,3,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bryananger_dal_2022_6,dal_2022_6,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,6,6,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
johnnyhekker_car_2022_6,car_2022_6,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,3,3,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
sammartin_buf_2022_6,buf_2022_6,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,2,2,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tressway_was_2022_6,was_2022_6,tressway_was_2022,was_2022,tressway,8358,p,was,1,6,6,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
patodonnell_gb_2022_6,gb_2022_6,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,3,3,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bradleypinion_atl_2022_6,atl_2022_6,bradleypinion_atl_2022,atl_2022,bradleypinion,9598,p,atl,1,6,6,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
rileydixon_lar_2022_6,lar_2022_6,rileydixon_lar_2022,lar_2022,rileydixon,10862,p,lar,1,5,5,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
