p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
danskipper_det_2022_6,det_2022_6,danskipper_det_2022,det_2022,danskipper,12307,g,det,1,0,11,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
samuelcosmi_was_2022_6,was_2022_6,samuelcosmi_was_2022,was_2022,samuelcosmi,60114,t,was,1,0,32,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
treysmith_kc_2022_6,kc_2022_6,treysmith_kc_2022,kc_2022,treysmith,62960,g,kc,1,0,16,83.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
danielfaalele_bal_2022_6,bal_2022_6,danielfaalele_bal_2022,bal_2022,danielfaalele,81734,t,bal,1,0,3,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
willfries_ind_2022_6,ind_2022_6,willfries_ind_2022,ind_2022,willfries,41530,g,ind,1,0,14,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
rodneyhudson_ari_2022_6,ari_2022_6,rodneyhudson_ari_2022,ari_2022,rodneyhudson,6207,ol,ari,1,0,1,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
maxgarcia_ari_2022_6,ari_2022_6,maxgarcia_ari_2022,ari_2022,maxgarcia,9566,g,ari,1,0,1,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
calvinthrockmorton_no_2022_6,no_2022_6,calvinthrockmorton_no_2022,no_2022,calvinthrockmorton,28238,g,no,1,0,20,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
natedavis_ten_2022_6,ten_2022_6,natedavis_ten_2022,ten_2022,natedavis,46808,g,ten,1,0,31,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
conormcdermott_nyj_2022_6,nyj_2022_6,conormcdermott_nyj_2022,nyj_2022,conormcdermott,11966,t,nyj,1,0,22,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jasonpeters_dal_2022_6,dal_2022_6,jasonpeters_dal_2022,dal_2022,jasonpeters,2148,g,dal,1,0,9,59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kayodeawosika_det_2022_6,det_2022_6,kayodeawosika_det_2022,det_2022,kayodeawosika,44909,g,det,1,0,11,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
daltonschultz_dal_2022_6,dal_2022_6,daltonschultz_dal_2022,dal_2022,daltonschultz,47304,te,dal,1,0,9,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
deveryhamilton_nyg_2022_6,nyg_2022_6,deveryhamilton_nyg_2022,nyg_2022,deveryhamilton,40636,t,nyg,1,1,21,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
traiturner_was_2022_6,was_2022_6,traiturner_was_2022,was_2022,traiturner,8727,g,was,1,0,32,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jonnusmith_ne_2022_6,ne_2022_6,jonnusmith_ne_2022,ne_2022,jonnusmith,11855,te,ne,1,0,19,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
mattnelson_det_2022_6,det_2022_6,mattnelson_det_2022,det_2022,mattnelson,48584,t,det,1,0,11,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jordanmailata_phi_2022_6,phi_2022_6,jordanmailata_phi_2022,phi_2022,jordanmailata,66916,t,phi,1,0,24,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
devinasiasi_cin_2022_6,cin_2022_6,devinasiasi_cin_2022,cin_2022,devinasiasi,40294,te,cin,1,0,7,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
haydenhurst_cin_2022_6,cin_2022_6,haydenhurst_cin_2022,cin_2022,haydenhurst,47294,te,cin,1,0,7,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
