team,year,week,home_or_away,team_num,game_id,opponent,date,time,wl,pf,pa,overall_performance,offense,pass,pass_blocking,receiving,rushing,run_blocking,defense,rush_defense,tackling,pass_rush,coverage,special_teams
detroit-lions,2022,3,@,11,23136,Minnesota Vikings,09/25,1:00pm,L,24,28,54.8,67.4,64.8,57.7,68.2,70.9,56.4,39.7,29.3,46.1,64.9,40.7,71.1
green-bay-packers,2022,1,@,12,23111,Minnesota Vikings,09/11,4:25pm,L,7,23,55.8,61.1,58.4,56.3,61.0,76.5,50.5,52.5,48.5,36.4,68.3,50.5,48.3
green-bay-packers,2022,2,,12,23127,Chicago Bears,09/18,8:20pm,W,27,10,81.8,83.2,84.2,76.6,77.5,82.8,65.0,68.8,38.0,37.1,82.9,89.6,54.5
green-bay-packers,2022,3,@,12,23143,Tampa Bay Buccaneers,09/25,4:25pm,W,14,12,72.2,67.6,69.1,59.3,71.1,62.7,53.1,68.7,60.1,79.4,66.5,68.1,68.9
houston-texans,2022,1,,13,23102,Indianapolis Colts,09/11,1:00pm,T,20,20,66.1,64.5,67.7,64.9,64.0,57.6,60.4,61.4,43.9,55.8,67.2,68.7,79.3
houston-texans,2022,2,@,13,23126,Denver Broncos,09/18,4:25pm,L,9,16,53.4,61.4,53.8,68.6,54.1,73.7,71.5,45.1,30.1,37.2,66.6,55.2,63.3
houston-texans,2022,3,@,13,23140,Chicago Bears,09/25,1:00pm,L,20,23,58.5,63.9,70.1,84.6,62.3,52.5,50.8,49.8,39.5,42.6,68.9,56.5,60.3
indianapolis-colts,2022,1,@,14,23102,Houston Texans,09/11,1:00pm,T,20,20,64.7,67.5,61.2,58.7,64.5,63.5,74.3,60.3,65.7,62.0,62.1,53.9,67.2
indianapolis-colts,2022,2,@,14,23116,Jacksonville Jaguars,09/18,1:00pm,L,0,24,61.1,55.7,51.8,51.5,62.0,59.5,52.7,65.2,74.0,76.5,53.9,61.4,71.6
indianapolis-colts,2022,3,,14,23134,Kansas City Chiefs,09/25,1:00pm,W,20,17,71.0,67.2,54.8,77.7,65.7,62.2,65.2,66.9,79.3,60.8,57.7,60.3,75.3
jacksonville-jaguars,2022,1,@,15,23103,Washington Commanders,09/11,1:00pm,L,22,28,58.9,63.2,56.8,52.0,64.3,82.6,55.8,54.2,64.7,36.9,60.3,50.3,60.2
jacksonville-jaguars,2022,2,,15,23116,Indianapolis Colts,09/18,1:00pm,W,24,0,75.9,63.5,73.7,77.4,65.4,56.3,50.9,83.6,77.5,53.2,76.7,75.7,70.2
jacksonville-jaguars,2022,3,@,15,23141,Los Angeles Chargers,09/25,4:05pm,W,38,10,76.3,72.6,76.0,70.5,72.5,71.0,51.1,71.8,81.6,54.5,69.4,62.3,68.1
kansas-city-chiefs,2022,1,@,16,23109,Arizona Cardinals,09/11,4:25pm,W,44,21,84.6,82.0,75.1,66.2,75.7,58.6,86.9,76.4,60.6,44.6,67.0,78.4,57.4
