p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
jonbostic_was_2022_7,was_2022_7,jonbostic_was_2022,was_2022,jonbostic,7831,lb,was,1,0,-2.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
duronharmon_lv_2022_7,lv_2022_7,duronharmon_lv_2022,lv_2022,duronharmon,7872,s,lv,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
christiankirksey_hou_2022_7,hou_2022_7,christiankirksey_hou_2022,hou_2022,christiankirksey,8706,lb,hou,1,2,2.6,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
terrancemitchell_ten_2022_7,ten_2022_7,terrancemitchell_ten_2022,ten_2022,terrancemitchell,8888,cb,ten,1,0,5.5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
cjgoodwin_dal_2022_7,dal_2022_7,cjgoodwin_dal_2022,dal_2022,cjgoodwin,9243,cb,dal,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
danielsorensen_no_2022_7,no_2022_7,danielsorensen_no_2022,no_2022,danielsorensen,9253,s,no,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joethomas_chi_2022_7,chi_2022_7,joethomas_chi_2022,chi_2022,joethomas,9272,lb,chi,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
denzelperryman_lv_2022_7,lv_2022_7,denzelperryman_lv_2022,lv_2022,denzelperryman,9481,lb,lv,1,0,0.3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
stevennelson_hou_2022_7,hou_2022_7,stevennelson_hou_2022,hou_2022,stevennelson,9531,cb,hou,1,0,3.8,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
nevillehewitt_hou_2022_7,hou_2022_7,nevillehewitt_hou_2022,hou_2022,nevillehewitt,9836,lb,hou,1,0,6.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
