p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
blakemartinez_lv_2022_7,lv_2022_7,blakemartinez_lv_2022,lv_2022,blakemartinez,10765,lb,lv,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kamugrugierhill_hou_2022_7,hou_2022_7,kamugrugierhill_hou_2022,hou_2022,kamugrugierhill,10842,lb,hou,1,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
willparks_nyj_2022_7,nyj_2022_7,willparks_nyj_2022,nyj_2022,willparks,10853,s,nyj,1,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jonathanjones_ne_2022_7,ne_2022_7,jonathanjones_ne_2022,ne_2022,jonathanjones,11217,cb,ne,1,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
andrewadams_ten_2022_7,ten_2022_7,andrewadams_ten_2022,ten_2022,andrewadams,11240,s,ten,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jabrillpeppers_ne_2022_7,ne_2022_7,jabrillpeppers_ne_2022,ne_2022,jabrillpeppers,11780,s,ne,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
justinevans_no_2022_7,no_2022_7,justinevans_no_2022,no_2022,justinevans,11805,s,no,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
demarcuswalker_ten_2022_7,ten_2022_7,demarcuswalker_ten_2022,ten_2022,demarcuswalker,11806,ed,ten,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
dukeriley_mia_2022_7,mia_2022_7,dukeriley_mia_2022,mia_2022,dukeriley,11830,lb,mia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
alexanzalone_det_2022_7,det_2022_7,alexanzalone_det_2022,det_2022,alexanzalone,11831,lb,det,1,2,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
cameronsutton_pit_2022_7,pit_2022_7,cameronsutton_pit_2022,pit_2022,cameronsutton,11850,cb,pit,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jalenreevesmaybin_hou_2022_7,hou_2022_7,jalenreevesmaybin_hou_2022,hou_2022,jalenreevesmaybin,11879,lb,hou,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
carloswatkins_dal_2022_7,dal_2022_7,carloswatkins_dal_2022,dal_2022,carloswatkins,11897,di,dal,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
desmondkingii_hou_2022_7,hou_2022_7,desmondkingii_hou_2022,hou_2022,desmondkingii,11906,cb,hou,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
sameguavoen_mia_2022_7,mia_2022_7,sameguavoen_mia_2022,mia_2022,sameguavoen,15301,lb,mia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
dylancole_ten_2022_7,ten_2022_7,dylancole_ten_2022,ten_2022,dylancole,24304,lb,ten,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
leviwallace_pit_2022_7,pit_2022_7,leviwallace_pit_2022,pit_2022,leviwallace,25445,cb,pit,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
seanmurphybunting_tb_2022_7,tb_2022_7,seanmurphybunting_tb_2022,tb_2022,seanmurphybunting,25891,cb,tb,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
