team_id,year,team,week,opp,total_dvoa,off_dvoa,off_pass_dvoa,off_rush_dvoa,def_dvoa,def_pass_dvoa,def_rush_dvoa,special_teams_dvoa
car_2022_2,2022,car,2,nyg,0.56,0.52,0.31,0.79,0.61,0.55,0.82,0.63
car_2022_4,2022,car,4,ari,0.26,0.36,0.34,0.14,0.37,0.42,0.47,0.5
car_2022_6,2022,car,6,lar,0.29,0.44,0.23,0.57,0.3,0.36,0.44,0.57
car_2022_1,2022,car,1,cle,0.3,0.35,0.39,0.05,0.42,0.56,0.32,0.57
car_2022_3,2022,car,3,no,0.53,0.59,0.37,0.62,0.42,0.37,0.84,0.79
car_2022_5,2022,car,5,sf,0.31,0.53,0.4,0.51,0.19,0.33,0.24,0.64
lar_2022_2,2022,lar,2,atl,0.52,0.71,0.56,0.62,0.54,0.46,0.81,0.11
lar_2022_4,2022,lar,4,sf,0.37,0.47,0.41,0.32,0.32,0.3,0.61,0.71
lar_2022_6,2022,lar,6,car,0.71,0.67,0.61,0.56,0.64,0.7,0.55,0.7
lar_2022_1,2022,lar,1,buf,0.33,0.37,0.37,0.21,0.43,0.39,0.93,0.58
lar_2022_3,2022,lar,3,ari,0.62,0.71,0.63,0.65,0.46,0.51,0.55,0.66
lar_2022_5,2022,lar,5,dal,0.46,0.53,0.47,0.14,0.59,0.87,0.37,0.28
tb_2022_2,2022,tb,2,no,0.58,0.4,0.45,0.1,0.81,0.81,0.6,0.59
tb_2022_4,2022,tb,4,kc,0.66,0.95,0.72,0.4,0.37,0.52,0.26,0.38
tb_2022_6,2022,tb,6,pit,0.4,0.53,0.54,0.3,0.41,0.32,0.76,0.47
tb_2022_1,2022,tb,1,dal,0.73,0.64,0.5,0.6,0.78,0.78,0.58,0.56
tb_2022_3,2022,tb,3,gb,0.57,0.57,0.55,0.09,0.56,0.51,0.81,0.65
tb_2022_5,2022,tb,5,atl,0.7,0.76,0.61,0.56,0.58,0.65,0.52,0.58
den_2022_2,2022,den,2,hou,0.62,0.61,0.49,0.61,0.64,0.73,0.4,0.54
den_2022_4,2022,den,4,lv,0.47,0.6,0.57,0.29,0.36,0.48,0.35,0.64
den_2022_6,2022,den,6,lac,0.53,0.56,0.48,0.42,0.58,0.64,0.47,0.47
den_2022_1,2022,den,1,sea,0.53,0.56,0.63,0.12,0.58,0.52,0.85,0.49
den_2022_3,2022,den,3,sf,0.59,0.48,0.4,0.36,0.72,0.73,0.6,0.61
den_2022_5,2022,den,5,ind,0.52,0.44,0.36,0.54,0.77,0.82,0.54,0.31
ari_2022_2,2022,ari,2,lv,0.47,0.56,0.39,0.68,0.45,0.44,0.71,0.56
ari_2022_4,2022,ari,4,car,0.66,0.65,0.54,0.51,0.6,0.59,0.74,0.67
ari_2022_6,2022,ari,6,sea,0.29,0.27,0.25,0.27,0.54,0.58,0.56,0.47
ari_2022_1,2022,ari,1,kc,0.22,0.46,0.44,0.19,0.15,0.25,0.48,0.59
ari_2022_3,2022,ari,3,lar,0.31,0.59,0.49,0.49,0.21,0.33,0.34,0.43
ari_2022_5,2022,ari,5,phi,0.55,0.72,0.62,0.45,0.43,0.5,0.45,0.48
sf_2022_2,2022,sf,2,sea,0.74,0.68,0.74,0.34,0.74,0.71,0.73,0.59
sf_2022_4,2022,sf,4,lar,0.75,0.83,0.74,0.45,0.68,0.65,0.73,0.37
sf_2022_6,2022,sf,6,atl,0.5,0.66,0.61,0.23,0.34,0.19,0.53,0.63
sf_2022_1,2022,sf,1,chi,0.47,0.41,0.35,0.42,0.59,0.53,0.69,0.62
sf_2022_3,2022,sf,3,den,0.57,0.49,0.45,0.28,0.69,0.66,0.73,0.57
sf_2022_5,2022,sf,5,car,0.68,0.89,0.7,0.77,0.51,0.54,0.57,0.32
sea_2022_2,2022,sea,2,sf,0.4,0.55,0.48,0.38,0.36,0.25,0.57,0.52
sea_2022_4,2022,sea,4,det,0.68,1.0,0.77,0.97,0.32,0.4,0.44,0.45
sea_2022_6,2022,sea,6,ari,0.58,0.56,0.48,0.5,0.72,0.7,0.71,0.35
sea_2022_1,2022,sea,1,den,0.52,0.66,0.66,0.14,0.32,0.33,0.76,0.77
sea_2022_3,2022,sea,3,atl,0.52,0.78,0.67,0.47,0.21,0.41,0.15,0.71
sea_2022_5,2022,sea,5,no,0.56,0.75,0.67,0.57,0.38,0.5,0.37,0.53
