p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
cameronjohnston_hou_2022_7,hou_2022_7,cameronjohnston_hou_2022,hou_2022,cameronjohnston,12255,p,hou,1,6,6,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jackfox_det_2022_7,det_2022_7,jackfox_det_2022,det_2022,jackfox,34735,p,det,1,2,2,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ajcoleiii_lv_2022_7,lv_2022_7,ajcoleiii_lv_2022,lv_2022,ajcoleiii,36038,p,lv,1,2,2,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ryanstonehouse_ten_2022_7,ten_2022_7,ryanstonehouse_ten_2022,ten_2022,ryanstonehouse,52045,p,ten,1,8,8,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
andylee_ari_2022_7,ari_2022_7,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,4,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kevinhuber_cin_2022_7,cin_2022_7,kevinhuber_cin_2022,cin_2022,kevinhuber,5066,p,cin,1,3,3,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
thomasmorstead_mia_2022_7,mia_2022_7,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,6,6,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
bryananger_dal_2022_7,dal_2022_7,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,2,2,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
johnnyhekker_car_2022_7,car_2022_7,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,7,7,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
sammartin_buf_2022_7,buf_2022_7,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,2,2,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tressway_was_2022_7,was_2022_7,tressway_was_2022,was_2022,tressway,8358,p,was,1,6,6,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
patodonnell_gb_2022_7,gb_2022_7,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,5,5,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
bradleypinion_atl_2022_7,atl_2022_7,bradleypinion_atl_2022,atl_2022,bradleypinion,9598,p,atl,1,5,5,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
rileydixon_lar_2022_7,lar_2022_7,rileydixon_lar_2022,lar_2022,rileydixon,10862,p,lar,1,5,5,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
matthaack_ind_2022_7,ind_2022_7,matthaack_ind_2022,ind_2022,matthaack,12212,p,ind,1,3,3,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
coreybojorquez_cle_2022_7,cle_2022_7,coreybojorquez_cle_2022,cle_2022,coreybojorquez,27626,p,cle,1,3,3,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
