p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year,plyr_number
chrisboswell_pit_2022_9,pit_2022_9,chrisboswell_pit_2022,pit_2022,chrisboswell,8990,k,pit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
taylorbertolet_lac_2022_9,lac_2022_9,taylorbertolet_lac_2022,lac_2022,taylorbertolet,11182,k,lac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
harrisonbutker_kc_2022_9,kc_2022_9,harrisonbutker_kc_2022,kc_2022,harrisonbutker,11988,k,kc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
danielcarlson_lv_2022_9,lv_2022_9,danielcarlson_lv_2022,lv_2022,danielcarlson,28121,k,lv,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
rodrigoblankenship_ari_2022_9,ari_2022_9,rodrigoblankenship_ari_2022,ari_2022,rodrigoblankenship,34038,k,ari,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
robbiegould_sf_2022_9,sf_2022_9,robbiegould_sf_2022,sf_2022,robbiegould,2607,k,sf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
mattprater_ari_2022_9,ari_2022_9,mattprater_ari_2022,ari_2022,mattprater,3471,k,ari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
nickfolk_ne_2022_9,ne_2022_9,nickfolk_ne_2022,ne_2022,nickfolk,3794,k,ne,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
masoncrosby_gb_2022_9,gb_2022_9,masoncrosby_gb_2022,gb_2022,masoncrosby,3809,k,gb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
ryansuccop_tb_2022_9,tb_2022_9,ryansuccop_tb_2022,tb_2022,ryansuccop,5180,k,tb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
grahamgano_nyg_2022_9,nyg_2022_9,grahamgano_nyg_2022,nyg_2022,grahamgano,5443,k,nyg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
randybullock_ten_2022_9,ten_2022_9,randybullock_ten_2022,ten_2022,randybullock,7154,k,ten,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
gregzuerlein_nyj_2022_9,nyj_2022_9,gregzuerlein_nyj_2022,nyj_2022,gregzuerlein,7163,k,nyj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
justintucker_bal_2022_9,bal_2022_9,justintucker_bal_2022,bal_2022,justintucker,7604,k,bal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brandonmcmanus_den_2022_9,den_2022_9,brandonmcmanus_den_2022,den_2022,brandonmcmanus,8437,k,den,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brettmaher_dal_2022_9,dal_2022_9,brettmaher_dal_2022,dal_2022,brettmaher,8585,k,dal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
cairosantos_chi_2022_9,chi_2022_9,cairosantos_chi_2022,chi_2022,cairosantos,8932,k,chi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jasonmyers_sea_2022_9,sea_2022_9,jasonmyers_sea_2022,sea_2022,jasonmyers,10207,k,sea,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
willutz_no_2022_9,no_2022_9,willutz_no_2022,no_2022,willutz,11096,k,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kaimifairbairn_hou_2022_9,hou_2022_9,kaimifairbairn_hou_2022,hou_2022,kaimifairbairn,11161,k,hou,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jakeelliott_phi_2022_9,phi_2022_9,jakeelliott_phi_2022,phi_2022,jakeelliott,11908,k,phi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
younghoekoo_atl_2022_9,atl_2022_9,younghoekoo_atl_2022,atl_2022,younghoekoo,12042,k,atl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
gregjoseph_min_2022_9,min_2022_9,gregjoseph_min_2022,min_2022,gregjoseph,22842,k,min,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jasonsanders_mia_2022_9,mia_2022_9,jasonsanders_mia_2022,mia_2022,jasonsanders,29578,k,mia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
