p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
tommytownsend_kc_2022_9,kc_2022_9,tommytownsend_kc_2022,kc_2022,tommytownsend,33007,p,kc,1,1,1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jkscott_lac_2022_9,lac_2022_9,jkscott_lac_2022,lac_2022,jkscott,38809,p,lac,1,5,5,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
andylee_ari_2022_9,ari_2022_9,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,3,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kevinhuber_cin_2022_9,cin_2022_9,kevinhuber_cin_2022,cin_2022,kevinhuber,5066,p,cin,1,4,4,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
thomasmorstead_mia_2022_9,mia_2022_9,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,1,1,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
bryananger_dal_2022_9,dal_2022_9,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,2,2,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
johnnyhekker_car_2022_9,car_2022_9,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,3,3,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
sammartin_buf_2022_9,buf_2022_9,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,2,2,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tressway_was_2022_9,was_2022_9,tressway_was_2022,was_2022,tressway,8358,p,was,1,6,6,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
patodonnell_gb_2022_9,gb_2022_9,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,2,2,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
