p_id,player,player_team_id,unique_team_id,team_id_impute,numeric_id,position,team_name,year,week,pass_summary_player_game_count,pass_summary_accuracy_percent,pass_summary_aimed_passes,pass_summary_attempts,pass_summary_avg_depth_of_target,pass_summary_avg_time_to_throw,pass_summary_bats,pass_summary_big_time_throws,pass_summary_btt_rate,pass_summary_completion_percent,pass_summary_completions,pass_summary_declined_penalties,pass_summary_def_gen_pressures,pass_summary_drop_rate,pass_summary_dropbacks,pass_summary_drops,pass_summary_first_downs,pass_summary_franchise_id,pass_summary_grades_hands_fumble,pass_summary_grades_offense,pass_summary_grades_pass,pass_summary_grades_run,pass_summary_hit_as_threw,pass_summary_interceptions,pass_summary_passing_snaps,pass_summary_penalties,pass_summary_pressure_to_sack_rate,pass_summary_qb_rating,pass_summary_sack_percent,pass_summary_sacks,pass_summary_scrambles,pass_summary_spikes,pass_summary_thrown_aways,pass_summary_touchdowns,pass_summary_turnover_worthy_plays,pass_summary_twp_rate,pass_summary_yards,pass_summary_ypa
bakermayfield_cle_2021_1,bakermayfield,bakermayfield_cle_2021,cle_2021_1,cle_2021,46518,qb,cle,2021,1,1,58.6,29,33,11.5,2.89,2,0,0.0,45.5,15,0,15,11.8,37,2,9,8,79.4,48.1,47.5,65.1,0,0,41,1,20.0,59.5,8.1,3,1,0,2,0,0,0.0,155,4.7
taylorheinicke_was_2021_1,taylorheinicke,taylorheinicke_was_2021,was_2021_1,was_2021,9896,qb,was,2021,1,1,72.7,33,33,9.4,3.01,0,2,5.6,69.7,23,0,10,4.2,38,1,18,32,79.5,66.9,63.2,70.0,0,0,42,0,10.0,127.1,2.6,1,4,0,0,3,3,7.1,290,8.8
kylermurray_ari_2021_1,kylermurray,kylermurray_ari_2021,ari_2021_1,ari_2021,38334,qb,ari,2021,1,1,82.8,29,32,6.7,2.98,0,3,9.1,75.0,24,0,11,0.0,39,0,13,1,79.6,82.6,83.6,60.1,0,0,41,0,27.3,120.3,7.7,3,4,0,3,2,0,0.0,268,8.4
carsonwentz_ind_2021_1,carsonwentz,carsonwentz_ind_2021,ind_2021_1,ind_2021,10636,qb,ind,2021,1,1,78.1,32,32,9.2,2.9,0,2,6.1,75.0,24,0,16,4.0,34,1,9,14,79.5,76.2,72.8,69.7,0,0,36,0,12.5,115.1,5.9,2,0,0,0,2,0,0.0,228,7.1
joeburrow_cin_2021_1,joeburrow,joeburrow_cin_2021,cin_2021_1,cin_2021,28022,qb,cin,2021,1,1,80.6,31,32,7.9,2.61,1,3,9.1,78.1,25,0,7,0.0,33,0,16,7,78.9,87.7,89.1,52.3,0,0,35,1,14.3,132.8,3.0,1,0,0,0,2,0,0.0,348,10.9
patrickmahomes_kc_2021_1,patrickmahomes,patrickmahomes_kc_2021,kc_2021_1,kc_2021,11765,qb,kc,2021,1,1,86.2,29,30,7.4,2.49,0,2,6.3,80.0,24,0,9,4.0,36,1,18,16,79.1,82.7,81.2,70.7,0,1,39,1,11.1,131.0,2.8,1,4,0,1,5,1,2.6,278,9.3
jacobybrissett_mia_2021_1,jacobybrissett,jacobybrissett_mia_2021,mia_2021_1,mia_2021,10725,qb,mia,2021,1,1,76.7,30,30,8.0,3.2,0,1,3.0,66.7,20,0,14,13.0,35,3,12,17,21.1,55.0,52.5,67.2,0,0,38,0,21.4,107.5,8.6,3,2,0,0,2,5,13.2,199,6.6
joshallen_buf_2021_1,joshallen,joshallen_buf_2021,buf_2021_1,buf_2021,46601,qb,buf,2021,1,1,69.0,29,30,9.6,2.72,0,3,10.0,66.7,20,0,8,0.0,33,0,12,4,78.6,72.6,64.7,82.6,0,1,33,0,12.5,100.4,3.0,1,2,0,1,2,3,9.1,248,8.3
trevorlawrence_jax_2021_1,trevorlawrence,trevorlawrence_jax_2021,jax_2021_1,jax_2021,77632,qb,jax,2021,1,1,81.0,21,24,7.9,3.32,0,2,8.3,70.8,17,0,12,0.0,28,0,9,15,78.7,80.2,72.7,77.9,0,0,29,0,8.3,96.5,3.6,1,2,0,3,0,0,0.0,204,8.5
jimmygaroppolo_sf_2021_1,jimmygaroppolo,jimmygaroppolo_sf_2021,sf_2021_1,sf_2021,8697,qb,sf,2021,1,1,63.6,22,23,10.5,2.58,0,0,0.0,60.9,14,0,5,0.0,24,0,9,28,76.1,56.2,56.0,61.09127155172414,0,1,24,0,20.0,79.1,4.2,1,0,0,1,1,2,8.3,165,7.2
jameiswinston_no_2021_1,jameiswinston,jameiswinston_no_2021,no_2021_1,no_2021,9434,qb,no,2021,1,1,85.0,20,23,7.5,2.63,1,4,16.7,73.9,17,0,5,0.0,24,0,11,20,76.3,91.6,91.0,61.09127155172414,1,0,25,1,0.0,119.1,0.0,0,0,0,1,1,0,0.0,226,9.8
russellwilson_sea_2021_1,russellwilson,russellwilson_sea_2021,sea_2021_1,sea_2021,7077,qb,sea,2021,1,1,77.3,22,23,5.8,2.71,0,3,12.0,69.6,16,0,8,5.9,28,1,8,29,77.7,82.5,78.4,78.3,0,0,30,1,37.5,116.0,10.7,3,2,0,1,2,0,0.0,149,6.5
dakprescott_dal_2021_1,dakprescott,dakprescott_dal_2021,dal_2021_1,dal_2021,10769,qb,dal,2021,1,1,73.7,19,22,8.2,2.35,2,1,3.8,63.6,14,0,7,0.0,25,0,11,9,77.7,71.0,65.7,73.9,0,0,29,0,0.0,130.3,0.0,0,2,0,1,4,0,0.0,188,8.5
davismills_hou_2021_1,davismills,davismills_hou_2021,hou_2021_1,hou_2021,52269,qb,hou,2021,1,1,63.2,19,21,8.9,2.64,1,0,0.0,52.4,11,0,6,8.3,25,1,4,13,24.1,32.2,33.6,52.2,0,4,30,0,50.0,23.4,12.0,3,1,0,1,0,3,10.0,87,4.1
drewlock_den_2021_1,drewlock,drewlock_den_2021,den_2021_1,den_2021,39517,qb,den,2021,1,1,57.1,21,21,9.6,2.6,0,1,4.5,57.1,12,0,12,0.0,24,0,4,10,76.3,50.8,51.1,61.09127155172414,0,1,25,0,25.0,52.3,12.5,3,0,0,0,0,1,4.0,113,5.4
treylance_sf_2021_1,treylance,treylance_sf_2021,sf_2021_1,sf_2021,91399,qb,sf,2021,1,1,56.3,16,18,8.9,3.57,1,0,0.0,50.0,9,0,10,0.0,24,0,8,28,77.7,52.1,49.4,60.6,0,0,26,0,10.0,117.1,4.2,1,5,0,1,2,1,3.8,157,8.7
justinfields_chi_2021_1,justinfields,justinfields_chi_2021,chi_2021_1,chi_2021,82118,qb,chi,2021,1,1,68.8,16,17,13.4,3.12,0,4,22.2,64.7,11,0,6,0.0,19,0,6,6,24.0,75.5,72.8,65.3,1,1,20,0,16.7,82.7,5.3,1,1,0,0,0,1,5.0,209,12.3
teddybridgewater_den_2021_1,teddybridgewater,teddybridgewater_den_2021,den_2021_1,den_2021,8667,qb,den,2021,1,1,60.0,15,16,9.7,2.4,1,0,0.0,43.8,7,0,9,22.2,19,2,5,10,74.8,45.4,46.3,58.3,0,0,19,0,22.2,76.3,10.5,2,1,0,0,1,0,0.0,65,4.1
taysomhill_no_2021_1,taysomhill,taysomhill_no_2021,no_2021_1,no_2021,12112,qb,no,2021,1,1,66.7,3,3,15.3,2.93,0,0,0.0,66.7,2,0,2,0.0,3,0,1,20,73.5,82.4,38.8,90.2,0,1,3,0,0.0,30.6,0.0,0,0,0,0,0,1,33.3,9,3.0
mitchelltrubisky_buf_2021_1,mitchelltrubisky,mitchelltrubisky_buf_2021,buf_2021_1,buf_2021,11757,qb,buf,2021,1,1,100.0,1,1,1.0,3.5,0,0,0.0,100.0,1,0,0,0.0,2,0,1,4,69.1,77.4,60.1,72.3,0,0,2,0,17.889788997739263,100.0,0.0,0,1,0,0,0,0,0.0,8,8.0
mattryan_atl_2021_2,mattryan,mattryan_atl_2021,atl_2021_2,atl_2021,4317,qb,atl,2021,2,1,81.8,44,46,4.8,2.49,2,1,2.1,76.1,35,0,16,2.8,48,1,15,2,80.7,65.9,66.4,55.2,0,3,50,0,6.3,80.0,2.1,1,1,0,0,2,1,2.0,300,6.5
taylorheinicke_was_2021_2,taylorheinicke,taylorheinicke_was_2021,was_2021_2,was_2021,9896,qb,was,2021,2,1,81.8,44,46,8.1,2.4,0,3,6.3,73.9,34,0,10,5.6,50,2,13,32,80.8,73.4,75.1,51.6,0,1,52,0,10.0,99.5,2.0,1,3,1,1,2,0,0.0,336,7.3
justinherbert_lac_2021_2,justinherbert,justinherbert_lac_2021,lac_2021_2,lac_2021,28237,qb,lac,2021,2,1,80.0,40,41,6.7,2.96,0,4,8.5,75.6,31,0,17,3.1,45,1,14,27,80.9,64.6,64.8,57.3,0,2,51,0,11.8,87.2,4.4,2,2,0,1,1,3,5.9,338,8.2
jacobybrissett_mia_2021_2,jacobybrissett,jacobybrissett_mia_2021,mia_2021_2,mia_2021,10725,qb,mia,2021,2,1,78.4,37,40,5.9,2.73,0,1,2.4,60.0,24,0,28,17.2,47,5,9,17,80.6,70.1,69.5,61.1,2,1,50,1,14.3,59.3,8.5,4,3,0,1,0,1,2.0,169,4.2
ryantannehill_ten_2021_2,ryantannehill,ryantannehill_ten_2021,ten_2021_2,ten_2021,7014,qb,ten,2021,2,1,86.5,37,40,10.6,2.63,0,4,9.3,67.5,27,0,12,15.6,45,5,17,31,80.4,92.6,91.4,71.2,2,0,48,0,25.0,94.5,6.7,3,2,0,1,0,0,0.0,347,8.7
benroethlisberger_pit_2021_2,benroethlisberger,benroethlisberger_pit_2021,pit_2021_2,pit_2021,1732,qb,pit,2021,2,1,78.4,37,40,9.8,2.72,1,2,5.0,67.5,27,0,11,6.9,42,2,14,25,28.6,73.8,72.5,61.09127155172414,2,1,42,0,18.2,87.0,4.8,2,0,0,0,1,3,7.1,295,7.4
