home_matchup_id,away_matchup_id,team_id,schedule_season,schedule_week,team_home_abb,score_home,score_away,away_team_abb,team_favorite_id,spread_favorite,over_under_line,starting_spread,Total Score Open,fav_team_open,fav_team_cur,remain_fav,spread_movement,ou_movement,strong_movement,fav_team_stronger,fav_spread,team_notfav_id,fav_cover,over_under_result,precip,dome,temperature,wind_mph,team_abb,homeoraway,fav_homeoraway,ats_w,ats_l
miavshou_2021_9,hou@mia_2021_9,mia_2021_9,2021,9,mia,17.0,9.0,hou,mia,-4.0,45.0,-7.0,45.5,miami dolphins,miami dolphins,1,3.0,-0.5,1,0,-4.0,hou,cover,under,0,0,69,13,mia,1,0,1,0
miavsbal_2021_10,bal@mia_2021_10,mia_2021_10,2021,10,mia,22.0,10.0,bal,bal,-8.5,47.0,-7.5,47.5,baltimore ravens,baltimore ravens,1,-1.0,-0.5,0,1,-8.5,mia,no cover,under,0,0,76,6,mia,1,1,1,0
miavscar_2021_12,car@mia_2021_12,mia_2021_12,2021,12,mia,33.0,10.0,car,car,-1.0,41.0,-1.0,42.5,miami dolphins,carolina panthers,0,2.0,-1.5,0,0,-1.0,mia,no cover,over,0,0,75,3,mia,1,1,1,0
miavsnyg_2021_13,nyg@mia_2021_13,mia_2021_13,2021,13,mia,20.0,9.0,nyg,mia,-7.0,40.0,-2.5,42.5,miami dolphins,miami dolphins,1,-4.5,-2.5,1,1,-7.0,nyg,cover,under,0,0,80,8,mia,1,0,1,0
miavsnyj_2021_15,nyj@mia_2021_15,mia_2021_15,2021,15,mia,31.0,24.0,nyj,mia,-10.0,42.0,-8.5,43.0,miami dolphins,miami dolphins,1,-1.5,-1.0,0,1,-10.0,nyj,no cover,over,1,0,81,9,mia,1,0,0,1
miavsne_2021_18,ne@mia_2021_18,mia_2021_18,2021,18,mia,33.0,24.0,ne,ne,-6.0,41.0,-5.5,40.0,new england patriots,new england patriots,1,-0.5,1.0,0,1,-6.0,mia,no cover,over,1,0,76,13,mia,1,1,1,0
miavsne_2022_1,ne@mia_2022_1,mia_2022_1,2022,1,mia,20.0,7.0,ne,mia,-3.0,46.5,-3.0,45.0,miami dolphins,miami dolphins,1,0.0,1.5,0,0,-3.0,ne,cover,under,0,0,90,10,mia,1,0,1,0
miavsbuf_2022_3,buf@mia_2022_3,mia_2022_3,2022,3,mia,21.0,19.0,buf,buf,-4.0,54.5,-4.5,51.0,buffalo bills,buffalo bills,1,0.5,3.5,0,0,-4.0,mia,no cover,under,0,0,88,6,mia,1,1,1,0
minvsne_2014_2,ne@min_2014_2,min_2014_2,2014,2,min,7.0,30.0,ne,ne,-3.5,49.0,-3.0,49.0,new england patriots,new england patriots,1,-0.5,0.0,0,1,-3.5,min,cover,under,0,0,65,11,min,1,1,0,1
minvsatl_2014_4,atl@min_2014_4,min_2014_4,2014,4,min,41.0,28.0,atl,atl,-5.5,48.0,-3.0,46.5,atlanta falcons,atlanta falcons,1,-2.5,1.5,0,1,-5.5,min,no cover,over,0,0,80,8,min,1,1,1,0
minvsdet_2014_6,det@min_2014_6,min_2014_6,2014,6,min,3.0,17.0,det,min,-1.0,43.0,-1.5,43.5,detroit lions,minnesota vikings,0,2.5,-0.5,0,0,-1.0,det,no cover,under,0,0,61,20,min,1,0,0,1
minvswas_2014_9,was@min_2014_9,min_2014_9,2014,9,min,29.0,26.0,was,was,-1.0,43.5,0.0,43.5,washington redskins,washington redskins,1,-1.0,0.0,0,1,-1.0,min,no cover,over,0,0,54,12,min,1,1,1,0
minvsgb_2014_12,gb@min_2014_12,min_2014_12,2014,12,min,21.0,24.0,gb,gb,-7.5,50.0,-10.0,48.0,green bay packers,green bay packers,1,2.5,2.0,0,0,-7.5,min,no cover,under,1,0,46,6,min,1,1,1,0
minvscar_2014_13,car@min_2014_13,min_2014_13,2014,13,min,31.0,13.0,car,min,-2.5,41.5,-2.5,43.5,minnesota vikings,minnesota vikings,1,0.0,-2.0,0,0,-2.5,car,cover,over,0,0,15,15,min,1,0,1,0
minvsnyj_2014_14,nyj@min_2014_14,min_2014_14,2014,14,min,30.0,24.0,nyj,min,-4.5,40.5,-6.0,41.0,minnesota vikings,minnesota vikings,1,1.5,-0.5,0,0,-4.5,nyj,cover,over,1,0,34,11,min,1,0,1,0
minvschi_2014_17,chi@min_2014_17,min_2014_17,2014,17,min,13.0,9.0,chi,min,-7.0,47.0,-7.5,44.0,minnesota vikings,minnesota vikings,1,0.5,3.0,0,0,-7.0,chi,no cover,under,0,0,22,4,min,1,0,0,1
minvsdet_2015_2,det@min_2015_2,min_2015_2,2015,2,min,26.0,16.0,det,min,-2.5,44.0,-3.0,44.0,minnesota vikings,minnesota vikings,1,0.5,0.0,0,0,-2.5,det,cover,under,1,0,70,12,min,1,0,1,0
minvslac_2015_3,lac@min_2015_3,min_2015_3,2015,3,min,31.0,14.0,lac,min,-2.5,45.5,-3.0,45.0,minnesota vikings,minnesota vikings,1,0.5,0.5,0,0,-2.5,lac,cover,under,0,0,80,13,min,1,0,1,0
minvskc_2015_6,kc@min_2015_6,min_2015_6,2015,6,min,16.0,10.0,kc,min,-3.5,43.0,-3.5,44.5,minnesota vikings,minnesota vikings,1,0.0,-1.5,0,0,-3.5,kc,cover,under,0,0,62,15,min,1,0,1,0
minvslar_2015_9,lar@min_2015_9,min_2015_9,2015,9,min,21.0,18.0,lar,min,-2.0,40.0,-2.5,40.5,minnesota vikings,minnesota vikings,1,0.5,-0.5,0,0,-2.0,lar,cover,under,0,0,57,14,min,1,0,1,0
minvsgb_2015_11,gb@min_2015_11,min_2015_11,2015,11,min,13.0,30.0,gb,gb,-1.0,45.0,-1.0,45.0,minnesota vikings,green bay packers,0,2.0,0.0,0,0,-1.0,min,cover,under,0,0,32,7,min,1,1,0,1
minvssea_2015_13,sea@min_2015_13,min_2015_13,2015,13,min,7.0,38.0,sea,sea,-2.5,43.0,-1.0,42.0,seattle seahawks,seattle seahawks,1,-1.5,1.0,0,1,-2.5,min,cover,over,0,0,36,3,min,1,1,0,1
minvschi_2015_15,chi@min_2015_15,min_2015_15,2015,15,min,38.0,17.0,chi,min,-4.0,43.5,-5.0,43.0,minnesota vikings,minnesota vikings,1,1.0,0.5,0,0,-4.0,chi,cover,over,0,0,36,3,min,1,0,1,0
minvsnyg_2015_16,nyg@min_2015_16,min_2015_16,2015,16,min,49.0,17.0,nyg,min,-7.0,44.5,-6.5,46.0,minnesota vikings,minnesota vikings,1,-0.5,-1.5,0,1,-7.0,nyg,cover,over,0,0,12,5,min,1,0,1,0
minvsgb_2016_2,gb@min_2016_2,min_2016_2,2016,2,min,17.0,14.0,gb,gb,-1.5,42.5,-2.0,44.5,green bay packers,green bay packers,1,0.5,-2.0,0,0,-1.5,min,no cover,under,0,1,70,0,min,1,1,1,0
minvsnyg_2016_4,nyg@min_2016_4,min_2016_4,2016,4,min,24.0,10.0,nyg,min,-3.5,42.5,-3.5,43.5,minnesota vikings,minnesota vikings,1,0.0,-1.0,0,0,-3.5,nyg,cover,under,0,1,70,0,min,1,0,1,0
minvshou_2016_5,hou@min_2016_5,min_2016_5,2016,5,min,31.0,13.0,hou,min,-6.0,38.5,-6.5,40.0,minnesota vikings,minnesota vikings,1,0.5,-1.5,0,0,-6.0,hou,cover,over,0,1,70,0,min,1,0,1,0
minvsdet_2016_9,det@min_2016_9,min_2016_9,2016,9,min,16.0,22.0,det,min,-4.0,42.5,-6.0,41.0,minnesota vikings,minnesota vikings,1,2.0,1.5,0,0,-4.0,det,no cover,under,0,1,70,0,min,1,0,0,1
minvsari_2016_11,ari@min_2016_11,min_2016_11,2016,11,min,30.0,24.0,ari,min,-2.0,40.0,0.0,41.5,arizona cardinals,minnesota vikings,0,2.0,-1.5,0,0,-2.0,ari,cover,over,0,1,70,0,min,1,0,1,0
minvsdal_2016_13,dal@min_2016_13,min_2016_13,2016,13,min,15.0,17.0,dal,dal,-3.0,43.5,-2.5,44.0,dallas cowboys,dallas cowboys,1,-0.5,-0.5,0,1,-3.0,min,no cover,under,0,1,70,0,min,1,1,1,0
minvsind_2016_15,ind@min_2016_15,min_2016_15,2016,15,min,6.0,34.0,ind,min,-5.0,44.5,-3.5,45.5,minnesota vikings,minnesota vikings,1,-1.5,-1.0,0,1,-5.0,ind,no cover,under,0,1,70,0,min,1,0,0,1
minvschi_2016_17,chi@min_2016_17,min_2016_17,2016,17,min,38.0,10.0,chi,min,-6.0,44.0,-6.5,41.0,minnesota vikings,minnesota vikings,1,0.5,3.0,0,0,-6.0,chi,cover,over,0,1,70,0,min,1,0,1,0
minvsno_2017_1,no@min_2017_1,min_2017_1,2017,1,min,29.0,19.0,no,min,-3.0,47.5,-3.5,48.0,minnesota vikings,minnesota vikings,1,0.5,-0.5,0,0,-3.0,no,cover,over,0,1,70,0,min,1,0,1,0
minvstb_2017_3,tb@min_2017_3,min_2017_3,2017,3,min,34.0,17.0,tb,tb,0.0,41.0,-2.5,39.5,tampa bay buccaneers,tampa bay buccaneers,1,2.5,1.5,0,0,0.0,min,no cover,over,0,1,70,0,min,1,1,1,0
minvsdet_2017_4,det@min_2017_4,min_2017_4,2017,4,min,7.0,14.0,det,min,-2.5,43.0,-1.5,42.5,minnesota vikings,minnesota vikings,1,-1.0,0.5,0,1,-2.5,det,no cover,under,0,1,70,0,min,1,0,0,1
minvsgb_2017_6,gb@min_2017_6,min_2017_6,2017,6,min,23.0,10.0,gb,gb,-3.0,46.0,-3.0,46.5,green bay packers,green bay packers,1,0.0,-0.5,0,0,-3.0,min,no cover,under,0,1,70,0,min,1,1,1,0
minvsbal_2017_7,bal@min_2017_7,min_2017_7,2017,7,min,24.0,16.0,bal,min,-5.0,38.0,-4.5,39.5,minnesota vikings,minnesota vikings,1,-0.5,-1.5,0,1,-5.0,bal,cover,over,0,1,70,0,min,1,0,1,0
