unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
joseyjewell_den_2021,joseyjewell,den,2021,lb,74,236,4.82,2018,4,106
codybarton_sea_2021,codybarton,sea,2021,lb,74,237,,2019,3,88
jordynbrooks_sea_2021,jordynbrooks,sea,2021,lb,73,245,,2020,1,27
roquansmith_chi_2021,roquansmith,chi,2021,lb,73,232,4.51,2018,1,8
tremaineedmunds_buf_2021,tremaineedmunds,buf,2021,lb,77,250,4.54,2018,1,16
leightonvanderesch_dal_2021,leightonvanderesch,dal,2021,lb,76,256,4.65,2018,1,19
bobbyokereke_ind_2021,bobbyokereke,ind,2021,lb,73,235,,2019,3,89
jawhaunbentley_ne_2021,jawhaunbentley,ne,2021,lb,73,235,,2019,3,89
frankieluvu_car_2021,frankieluvu,car,2021,lb,75,235,,2018,10,300
kennyyoung_lar_2021,kennyyoung,lar,2021,lb,73,234,4.6,2018,4,122
kennyyoung_den_2021,kennyyoung,den,2021,lb,73,234,4.6,2018,4,122
shaquillequarterman_jax_2021,shaquillequarterman,jax,2021,lb,72,234,,2020,4,140
julianlove_nyg_2021,julianlove,nyg,2021,s,71,195,,2019,4,108
benniemann_kc_2021,benniemann,kc,2021,lb,74,235,,2018,10,300
taylorrapp_lar_2021,taylorrapp,lar,2021,s,72,208,,2019,2,61
minkahfitzpatrick_pit_2021,minkahfitzpatrick,pit,2021,s,73,207,4.46,2018,1,11
fredwarner_sf_2021,fredwarner,sf,2021,lb,75,230,4.64,2018,3,70
armaniwatts_kc_2021,armaniwatts,kc,2021,s,71,205,,2018,4,124
tracywalker_det_2021,tracywalker,det,2021,s,73,206,4.51,2018,3,82
druetranquill_lac_2021,druetranquill,lac,2021,lb,74,234,,2019,4,130
mikeedwards_tb_2021,mikeedwards,tb,2021,s,70,205,,2019,3,99
khariwillis_ind_2021,khariwillis,ind,2021,s,71,213,,2019,4,109
seanchandler_car_2021,seanchandler,car,2021,s,70,200,4.65,2018,10,300
terrelledmunds_pit_2021,terrelledmunds,pit,2021,s,73,217,4.47,2018,1,28
willharris_det_2021,willharris,det,2021,s,73,206,,2019,3,81
derwinjames_lac_2021,derwinjames,lac,2021,s,74,215,4.47,2018,1,17
amanihooker_ten_2021,amanihooker,ten,2021,s,71,210,,2019,4,116
marcusepps_phi_2021,marcusepps,phi,2021,s,72,198,,2019,6,191
marcellharris_sf_2021,marcellharris,sf,2021,lb,72,208,,2018,6,184
jaylinnhawkins_atl_2021,jaylinnhawkins,atl,2021,s,73,208,,2020,4,134
kadenelliss_no_2021,kadenelliss,no,2021,ed,75,238,,2019,7,244
dorianodaniel_kc_2021,dorianodaniel,kc,2021,lb,73,223,4.61,2018,3,100
jtgray_no_2021,jtgray,no,2021,s,72,202,,2018,10,300
dregreenlaw_sf_2021,dregreenlaw,sf,2021,lb,72,230,,2019,5,148
kennymooreii_ind_2021,kennymooreii,ind,2021,cb,69,190,,2017,10,300
khyiristonga_chi_2021,khyiristonga,chi,2021,di,76,321,,2021,7,252
paulsonadebo_no_2021,paulsonadebo,no,2021,cb,73,192,,2021,3,76
tarronjackson_phi_2021,tarronjackson,phi,2021,ed,74,254,,2021,6,192
ajterrell_atl_2021,ajterrell,atl,2021,cb,73,195,,2020,1,16
marcowilson_ari_2021,marcowilson,ari,2021,cb,71,187,,2021,4,137
cjhenderson_jax_2021,cjhenderson,jax,2021,cb,73,191,,2020,1,9
cjhenderson_car_2021,cjhenderson,car,2021,cb,73,191,,2020,1,9
jeffreyokudah_det_2021,jeffreyokudah,det,2021,cb,73,199,,2020,1,3
trenorwood_pit_2021,trenorwood,pit,2021,s,72,194,,2021,7,247
deommodorelenoir_sf_2021,deommodorelenoir,sf,2021,cb,70,200,,2021,5,173
dariouswilliams_lar_2021,dariouswilliams,lar,2021,cb,69,187,,2018,10,300
xaviermckinney_nyg_2021,xaviermckinney,nyg,2021,s,72,201,,2020,2,36
kamrencurl_was_2021,kamrencurl,was,2021,s,74,198,,2020,7,216
hamsahnasirildeen_nyj_2021,hamsahnasirildeen,nyj,2021,lb,76,220,,2021,6,187
richardlecounte_cle_2021,richardlecounte,cle,2021,s,71,190,,2021,5,170
ericstokes_gb_2021,ericstokes,gb,2021,cb,72,194,,2021,1,29
natehobbs_lv_2021,natehobbs,lv,2021,cb,73,195,,2021,5,168
ajparker_det_2021,ajparker,det,2021,cb,71,178,,2021,10,300
ambrythomas_sf_2021,ambrythomas,sf,2021,cb,72,190,,2021,3,103
benjaminstjuste_was_2021,benjaminstjuste,was,2021,cb,75,200,,2021,3,74
ifeatumelifonwu_det_2021,ifeatumelifonwu,det,2021,cb,75,210,,2021,3,102
darnayholmes_nyg_2021,darnayholmes,nyg,2021,cb,70,195,,2020,4,110
jaylonjohnson_chi_2021,jaylonjohnson,chi,2021,cb,72,196,,2020,2,50
javelinguidry_nyj_2021,javelinguidry,nyj,2021,cb,69,193,,2020,10,300
marquiseblair_sea_2021,marquiseblair,sea,2021,cb,73,196,,2019,2,47
elijahmolden_ten_2021,elijahmolden,ten,2021,cb,70,192,,2021,3,101
chrisrumphii_lac_2021,chrisrumphii,lac,2021,ed,76,235,,2021,4,119
victordimukeje_ari_2021,victordimukeje,ari,2021,ed,74,265,,2021,6,211
