player_name,match_name,score
troyniklas_ari_2016,troyniklas_ari_2016,100
robertnkemdiche_ari_2016,robertnkemdiche_ari_2016,100
tristanokpalaugo_ari_2016,,0
carsonpalmer_ari_2016,carsonpalmer_ari_2016,100
coreypeters_ari_2016,coreypeters_ari_2016,100
frosteerucker_ari_2016,frosteerucker_ari_2016,100
edstinson_ari_2016,edstinson_ari_2016,100
stepfantaylor_ari_2016,stepfantaylor_ari_2016,100
jaredveldheer_ari_2016,jaredveldheer_ari_2016,100
brandonwilliams_ari_2016,brandonwilliams_ari_2016,100
antoinebethea_ari_2017,antoinebethea_ari_2017,100
alexboone_ari_2017,alexboone_ari_2017,100
tyvonbranch_ari_2017,tyvonbranch_ari_2017,100
aaronbrewer_ari_2017,aaronbrewer_ari_2017,100
johnbrown_ari_2017,johnbrown_ari_2017,100
deonebucannon_ari_2017,deonebucannon_ari_2017,100
joshbynes_ari_2017,joshbynes_ari_2017,100
karlosdansby_ari_2017,karlosdansby_ari_2017,100
aarondobson_ari_2017,,0
andreellington_ari_2017,andreellington_ari_2017,100
rudyford_ari_2017,rudyford_ari_2017,100
alanifua_ari_2017,,0
brittangolden_ari_2017,brittangolden_ari_2017,100
markusgolden_ari_2017,markusgolden_ari_2017,100
jermainegresham_ari_2017,jermainegresham_ari_2017,100
djhumphries_ari_2017,djhumphries_ari_2017,100
mikeiupati_ari_2017,mikeiupati_ari_2017,100
davidjohnson_ari_2017,davidjohnson_ari_2017,100
jarvisjones_ari_2017,,0
tjlogan_ari_2017,,0
gabemartin_ari_2017,gabemartin_ari_2017,100
joshmauro_ari_2017,joshmauro_ari_2017,100
ifeanyimomah_ari_2017,ifeanyimomah_ari_2017,100
danielmunyer_ari_2017,danielmunyer_ari_2017,100
jjnelson_ari_2017,jjnelson_ari_2017,100
troyniklas_ari_2017,troyniklas_ari_2017,100
robertnkemdiche_ari_2017,robertnkemdiche_ari_2017,100
carsonpalmer_ari_2017,carsonpalmer_ari_2017,100
elijhaapenny_ari_2017,elijhaapenny_ari_2017,100
coreypeters_ari_2017,coreypeters_ari_2017,100
adrianpeterson_ari_2017,adrianpeterson_ari_2017,100
patrickpeterson_ari_2017,patrickpeterson_ari_2017,100
olsenpierre_ari_2017,olsenpierre_ari_2017,100
frosteerucker_ari_2017,frosteerucker_ari_2017,100
aqshipley_ari_2017,aqshipley_ari_2017,100
drewstanton_ari_2017,drewstanton_ari_2017,100
jaredveldheer_ari_2017,jaredveldheer_ari_2017,100
earlwatford_ari_2017,earlwatford_ari_2017,100
johnwetzel_ari_2017,johnwetzel_ari_2017,100
chadwilliams_ari_2017,chadwilliams_ari_2017,100
kerwynnwilliams_ari_2017,kerwynnwilliams_ari_2017,100
xavierwilliams_ari_2017,xavierwilliams_ari_2017,100
ronaldzamort_ari_2017,,0
brysonalbright_ari_2018,,0
thurstonarmbrister_ari_2018,thurstonarmbrister_ari_2018,100
buddabaker_ari_2018,buddabaker_ari_2018,100
benebenwikere_ari_2018,benebenwikere_ari_2018,100
treboston_ari_2018,treboston_ari_2018,100
deonebucannon_ari_2018,deonebucannon_ari_2018,100
joshbynes_ari_2018,joshbynes_ari_2018,100
christiancampbell_ari_2018,,0
jeremycash_ari_2018,,0
koreycunningham_ari_2018,koreycunningham_ari_2018,100
phildawson_ari_2018,phildawson_ari_2018,100
chaseedmonds_ari_2018,chaseedmonds_ari_2018,100
larryfitzgerald_ari_2018,larryfitzgerald_ari_2018,100
djfoster_ari_2018,djfoster_ari_2018,100
dennisgardeck_ari_2018,dennisgardeck_ari_2018,100
markusgolden_ari_2018,markusgolden_ari_2018,100
jermainegresham_ari_2018,jermainegresham_ari_2018,100
rodneygunter_ari_2018,rodneygunter_ari_2018,100
willholden_ari_2018,willholden_ari_2018,100
