,unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
273,daquanjones_buf_2021,daquanjones,buf,2021,di,76,320,5.35,2014,4,112
274,kevinpierrelouis_hou_2021,kevinpierrelouis,hou,2021,lb,72,231,4.51,2014,4,132
275,brenturban_bal_2021,brenturban,bal,2021,di,79,309,,2014,4,134
276,devonkennard_ari_2021,devonkennard,ari,2021,ed,75,256,4.7,2014,5,174
277,shelbyharris_sea_2021,shelbyharris,sea,2021,di,75,300,,2014,7,235
278,denicoautry_ten_2021,denicoautry,ten,2021,ed,77,285,,2014,10,300
279,shaquilbarrett_tb_2021,shaquilbarrett,tb,2021,ed,74,250,,2014,10,300
280,kerryhyder_sf_2021,kerryhyder,sf,2021,ed,74,270,5.1,2014,10,300
281,adrianphillips_ne_2021,adrianphillips,ne,2021,s,71,210,,2014,10,300
282,mikepennel_chi_2021,mikepennel,chi,2021,di,76,332,5.23,2014,10,300
283,kwaunwilliams_den_2021,kwaunwilliams,den,2021,cb,69,185,,2014,10,300
284,dantefowlerjr_dal_2021,dantefowlerjr,dal,2021,ed,75,255,4.6,2015,1,3
285,leonardwilliams_nyg_2021,leonardwilliams,nyg,2021,di,77,302,4.97,2015,1,6
286,arikarmstead_sf_2021,arikarmstead,sf,2021,di,79,290,5.1,2015,1,17
287,buddupree_ten_2021,buddupree,ten,2021,ed,76,269,4.56,2015,1,22
288,shaqthompson_car_2021,shaqthompson,car,2021,lb,72,230,4.64,2015,1,25
289,prestonsmith_gb_2021,prestonsmith,gb,2021,ed,77,265,4.74,2015,2,38
290,erickendricks_min_2021,erickendricks,min,2021,lb,72,232,4.61,2015,2,45
291,denzelperryman_lv_2021,denzelperryman,lv,2021,lb,71,240,4.78,2015,2,48
292,ronalddarby_den_2021,ronalddarby,den,2021,cb,71,193,4.38,2015,2,50
293,jordanphillips_buf_2021,jordanphillips,buf,2021,di,78,330,5.17,2015,2,52
294,markusgolden_ari_2021,markusgolden,ari,2021,ed,75,260,4.9,2015,2,58
295,randygregory_den_2021,randygregory,den,2021,ed,77,242,4.64,2015,2,60
296,frankclark_kc_2021,frankclark,kc,2021,ed,75,272,4.79,2015,2,63
297,pjwilliams_no_2021,pjwilliams,no,2021,s,72,196,4.57,2015,3,78
298,jordanhicks_min_2021,jordanhicks,min,2021,lb,73,236,4.68,2015,3,84
299,daniellehunter_min_2021,daniellehunter,min,2021,ed,77,263,4.57,2015,3,88
300,carldavis_ne_2021,carldavis,ne,2021,di,77,320,5.07,2015,3,90
301,henryanderson_car_2021,henryanderson,car,2021,ed,78,300,5.03,2015,3,93
302,stevennelson_hou_2021,stevennelson,hou,2021,cb,71,194,4.49,2015,3,98
303,angeloblackson_chi_2021,angeloblackson,chi,2021,di,76,315,5.02,2015,4,100
304,zadariussmith_min_2021,zadariussmith,min,2021,ed,76,272,4.83,2015,4,122
305,kwonalexander_nyj_2021,kwonalexander,nyj,2021,lb,73,227,4.55,2015,4,124
306,damienwilson_car_2021,damienwilson,car,2021,lb,73,245,4.77,2015,4,127
307,gradyjarrett_atl_2021,gradyjarrett,atl,2021,di,72,305,5.06,2015,5,137
308,adrianamos_gb_2021,adrianamos,gb,2021,s,72,214,4.56,2015,5,142
309,bobbymccain_was_2021,bobbymccain,was,2021,s,69,196,4.51,2015,5,145
310,quandrediggs_sea_2021,quandrediggs,sea,2021,s,69,200,4.56,2015,6,200
311,christianringo_no_2021,christianringo,no,2021,di,73,300,,2015,6,210
312,rakeemnunezroches_tb_2021,rakeemnunezroches,tb,2021,di,74,307,5.02,2015,6,217
313,troyhill_lar_2021,troyhill,lar,2021,cb,71,180,4.55,2015,10,300
314,deshawnwilliams_den_2021,deshawnwilliams,den,2021,di,73,291,,2015,10,300
315,justincoleman_sea_2021,justincoleman,sea,2021,cb,71,190,4.53,2015,10,300
316,deanmarlowe_atl_2021,deanmarlowe,atl,2021,s,73,205,4.58,2015,10,300
317,alexsingleton_den_2021,alexsingleton,den,2021,lb,74,240,,2015,10,300
318,brycecallahan_lac_2021,brycecallahan,lac,2021,cb,69,188,,2015,10,300
319,efeobada_was_2021,efeobada,was,2021,ed,78,265,,2015,10,300
320,erikharris_atl_2021,erikharris,atl,2021,s,74,225,,2016,10,300
321,joeybosa_lac_2021,joeybosa,lac,2021,ed,77,280,4.86,2016,1,3
322,jalenramsey_lar_2021,jalenramsey,lar,2021,cb,73,208,4.41,2016,1,5
323,deforestbuckner_ind_2021,deforestbuckner,ind,2021,di,79,295,5.05,2016,1,7
324,leonardfloyd_lar_2021,leonardfloyd,lar,2021,ed,77,240,4.6,2016,1,9
325,eliapple_cin_2021,eliapple,cin,2021,cb,73,203,4.4,2016,1,10
326,sheldonrankins_nyj_2021,sheldonrankins,nyj,2021,di,74,305,5.03,2016,1,12
327,williamjacksoniii_was_2021,williamjacksoniii,was,2021,cb,72,196,4.37,2016,1,24
328,kennyclark_gb_2021,kennyclark,gb,2021,di,75,314,5.06,2016,1,27
329,emmanuelogbah_mia_2021,emmanuelogbah,mia,2021,ed,76,278,4.63,2016,2,32
