p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
deealford_atl_2022_8,atl_2022_8,deealford_atl_2022,atl_2022,deealford,110542,cb,atl,1,2,,2.0,0,0,0,0,0,0,0,0,0,8,2022,8
erickendricks_min_2022_8,min_2022_8,erickendricks_min_2022,min_2022,erickendricks,9478,lb,min,1,9,,9.0,0,0,0,0,0,0,0,0,0,8,2022,8
jordanhicks_min_2022_8,min_2022_8,jordanhicks_min_2022,min_2022,jordanhicks,9517,lb,min,1,10,,10.0,0,0,0,0,0,0,0,0,0,8,2022,8
noahigbinoghene_mia_2022_8,mia_2022_8,noahigbinoghene_mia_2022,mia_2022,noahigbinoghene,61155,cb,mia,1,4,,2.0,0,0,0,0,0,0,0,0,0,8,2022,8
jalenramsey_lar_2022_8,lar_2022_8,jalenramsey_lar_2022,lar_2022,jalenramsey,10639,cb,lar,1,9,,4.5,0,0,0,0,0,0,0,0,0,8,2022,8
jaylonjohnson_chi_2022_8,chi_2022_8,jaylonjohnson_chi_2022,chi_2022,jaylonjohnson,56259,cb,chi,1,2,,2.0,0,0,0,0,0,0,0,0,0,8,2022,8
xaviermckinney_nyg_2022_8,nyg_2022_8,xaviermckinney_nyg_2022,nyg_2022,xaviermckinney,55775,s,nyg,1,3,,3.0,0,0,0,0,0,0,0,0,0,8,2022,8
vonnbell_cin_2022_8,cin_2022_8,vonnbell_cin_2022,cin_2022,vonnbell,10695,s,cin,1,4,,4.0,0,0,0,0,0,0,0,0,0,8,2022,8
kendallfuller_was_2022_8,was_2022_8,kendallfuller_was_2022,was_2022,kendallfuller,10718,cb,was,1,1,,1.0,0,0,0,0,0,0,0,0,0,8,2022,8
adoreejackson_nyg_2022_8,nyg_2022_8,adoreejackson_nyg_2022,nyg_2022,adoreejackson,11773,cb,nyg,1,3,,3.0,0,0,0,0,0,0,0,0,0,8,2022,8
jairealexander_gb_2022_8,gb_2022_8,jairealexander_gb_2022,gb_2022,jairealexander,49350,cb,gb,1,5,,1.7,0,0,0,0,0,0,0,0,0,8,2022,8
nickscott_lar_2022_8,lar_2022_8,nickscott_lar_2022,lar_2022,nickscott,49012,s,lar,1,1,,1.0,0,0,0,0,0,0,0,0,0,8,2022,8
taronjohnson_buf_2022_8,buf_2022_8,taronjohnson_buf_2022,buf_2022,taronjohnson,49511,cb,buf,1,41,13.7,5.9,0,0,0,0,0,0,0,0,0,8,2022,8
rayshawnjenkins_jax_2022_8,jax_2022_8,rayshawnjenkins_jax_2022,jax_2022,rayshawnjenkins,11868,s,jax,1,12,12.0,12.0,0,0,0,0,0,0,0,0,0,8,2022,8
bobbymccain_was_2022_8,was_2022_8,bobbymccain_was_2022,was_2022,bobbymccain,9578,s,was,1,11,11.0,11.0,0,0,0,0,0,0,0,0,0,8,2022,8
kyzirwhite_phi_2022_8,phi_2022_8,kyzirwhite_phi_2022,phi_2022,kyzirwhite,44485,lb,phi,1,10,10.0,5.0,0,0,0,0,0,0,0,0,0,8,2022,8
kennymooreii_ind_2022_8,ind_2022_8,kennymooreii_ind_2022,ind_2022,kennymooreii,51596,cb,ind,1,19,9.5,6.3,0,0,0,0,0,0,0,0,0,8,2022,8
avontemaddox_phi_2022_8,phi_2022_8,avontemaddox_phi_2022,phi_2022,avontemaddox,50543,cb,phi,1,28,9.3,9.3,0,0,0,0,0,0,0,0,0,8,2022,8
kyledugger_ne_2022_8,ne_2022_8,kyledugger_ne_2022,ne_2022,kyledugger,90621,s,ne,1,9,9.0,9.0,0,0,0,0,0,0,0,0,0,8,2022,8
