away_matchup_id,precip,dome,temperature,wind_mph
min@chi_2014_11,0,0,32,10
hou@cle_2014_11,0,0,34,7
phi@gb_2014_11,0,0,27,9
sea@kc_2014_11,0,0,21,10
den@lar_2014_11,0,1,70,0
cin@no_2014_11,0,1,70,0
sf@nyg_2014_11,0,0,43,4
tb@was_2014_11,0,0,46,7
atl@car_2014_11,1,0,52,3
oak@lac_2014_11,0,0,71,7
det@ari_2014_11,0,1,70,0
ne@ind_2014_11,0,1,70,0
pit@ten_2014_11,0,0,25,0
kc@oak_2014_12,1,0,55,11
cle@atl_2014_12,0,1,70,0
tb@chi_2014_12,1,0,53,10
jax@ind_2014_12,0,1,70,0
gb@min_2014_12,1,0,46,6
det@ne_2014_12,0,0,61,6
ten@phi_2014_12,0,0,53,6
cin@hou_2014_12,0,0,76,14
lar@lac_2014_12,0,0,72,3
ari@sea_2014_12,1,0,57,6
mia@den_2014_12,1,0,36,7
was@sf_2014_12,0,0,63,4
dal@nyg_2014_12,1,0,48,0
nyj@buf_2014_12,0,1,70,0
bal@no_2014_12,0,1,70,0
chi@det_2014_13,0,1,70,0
phi@dal_2014_13,0,0,57,0
sea@sf_2014_13,0,0,58,0
cle@buf_2014_13,0,0,57,11
was@ind_2014_13,0,1,70,0
oak@lar_2014_13,0,1,70,0
car@min_2014_13,0,0,15,15
no@pit_2014_13,0,0,61,12
cin@tb_2014_13,0,0,76,7
nyg@jax_2014_13,0,0,72,7
lac@bal_2014_13,0,0,58,0
ten@hou_2014_13,0,0,78,10
ari@atl_2014_13,0,1,70,0
ne@gb_2014_13,0,0,23,7
den@kc_2014_13,0,0,25,12
mia@nyj_2014_13,0,0,43,9
dal@chi_2014_14,0,0,34,6
pit@cin_2014_14,0,0,42,3
ind@cle_2014_14,0,0,38,11
tb@det_2014_14,0,1,70,0
nyg@ten_2014_14,0,0,47,7
bal@mia_2014_14,0,0,77,12
nyj@min_2014_14,1,0,34,11
car@no_2014_14,0,1,70,0
lar@was_2014_14,0,0,46,10
hou@jax_2014_14,0,0,58,9
buf@den_2014_14,0,0,55,3
kc@ari_2014_14,0,1,70,0
sf@oak_2014_14,0,0,61,2
sea@phi_2014_14,0,0,39,6
ne@lac_2014_14,0,0,64,2
atl@gb_2014_14,1,0,32,4
ari@lar_2014_15,0,1,70,0
pit@atl_2014_15,0,1,70,0
gb@buf_2014_15,0,0,34,9
cin@cle_2014_15,0,0,45,5
hou@ind_2014_15,0,1,70,0
oak@kc_2014_15,1,0,60,10
mia@ne_2014_15,0,0,43,5
was@nyg_2014_15,0,0,43,7
tb@car_2014_15,0,0,58,2
jax@bal_2014_15,0,0,49,7
nyj@ten_2014_15,0,0,49,1
den@lac_2014_15,0,0,62,5
sf@sea_2014_15,0,0,49,2
min@det_2014_15,0,1,70,0
dal@phi_2014_15,0,0,42,6
no@chi_2014_15,1,0,42,6
ten@jax_2014_16,0,0,54,3
phi@was_2014_16,0,0,35,1
lac@sf_2014_16,0,0,58,1
det@chi_2014_16,0,0,36,7
min@mia_2014_16,0,0,78,7
atl@no_2014_16,0,1,70,0
ne@nyj_2014_16,0,0,35,4
kc@pit_2014_16,0,0,34,0
gb@tb_2014_16,1,0,76,4
cle@car_2014_16,1,0,50,4
bal@hou_2014_16,0,0,58,2
nyg@lar_2014_16,0,1,70,0
ind@dal_2014_16,0,0,51,9
buf@oak_2014_16,0,0,62,6
sea@ari_2014_16,0,1,70,0
den@cin_2014_16,1,0,46,7
ind@ten_2014_17,1,0,41,5
lac@kc_2014_17,0,0,37,5
nyj@mia_2014_17,0,0,80,7
chi@min_2014_17,0,0,22,4
buf@ne_2014_17,0,0,49,8
phi@nyg_2014_17,1,0,51,6
no@tb_2014_17,0,0,77,7
dal@was_2014_17,1,0,57,4
cle@bal_2014_17,1,0,56,3
jax@hou_2014_17,1,0,43,8
car@atl_2014_17,0,1,70,0
det@gb_2014_17,0,0,25,6
oak@den_2014_17,0,0,33,0
ari@sf_2014_17,0,0,56,5
lar@sea_2014_17,0,0,43,1
cin@pit_2014_17,1,0,35,1
pit@ne_2015_1,1,0,64,9
gb@chi_2015_1,0,0,68,4
kc@hou_2015_1,0,0,83,8
cle@nyj_2015_1,1,0,76,7
ind@buf_2015_1,1,0,53,7
mia@was_2015_1,0,0,71,11
car@jax_2015_1,0,0,81,1
sea@lar_2015_1,0,1,70,0
no@ari_2015_1,0,1,70,0
det@lac_2015_1,0,0,82,8
ten@tb_2015_1,1,0,81,6
cin@oak_2015_1,0,0,75,9
bal@den_2015_1,0,0,86,5
nyg@dal_2015_1,0,0,78,9
phi@atl_2015_1,0,1,70,0
min@sf_2015_1,0,0,64,4
den@kc_2015_2,1,0,80,8
hou@car_2015_2,0,0,88,2
sf@pit_2015_2,0,0,69,2
tb@no_2015_2,0,1,70,0
det@min_2015_2,1,0,70,12
ari@chi_2015_2,0,0,69,3
ne@buf_2015_2,0,0,62,4
lac@cin_2015_2,0,0,73,6
ten@cle_2015_2,0,0,66,11
atl@nyg_2015_2,0,0,77,7
lar@was_2015_2,0,0,75,6
mia@jax_2015_2,0,0,83,5
bal@oak_2015_2,0,0,89,7
dal@phi_2015_2,0,0,74,7
sea@gb_2015_2,0,0,54,6
nyj@ind_2015_2,0,1,70,0
was@nyg_2015_3,0,0,66,2
atl@dal_2015_3,0,0,89,4
ind@ten_2015_3,0,0,77,4
oak@cle_2015_3,0,0,75,10
cin@bal_2015_3,0,0,73,8
jax@ne_2015_3,0,0,70,3
no@car_2015_3,1,0,67,8
phi@nyj_2015_3,0,0,70,5
tb@hou_2015_3,1,0,75,8
lac@min_2015_3,0,0,80,13
pit@lar_2015_3,0,1,70,0
sf@ari_2015_3,0,1,70,0
buf@mia_2015_3,1,0,80,0
chi@sea_2015_3,0,0,62,7
den@det_2015_3,0,1,70,0
kc@gb_2015_3,1,0,62,3
bal@pit_2015_4,0,0,54,7
nyj@mia_2015_4,0,0,62,6
jax@ind_2015_4,0,1,70,0
nyg@buf_2015_4,0,0,60,4
car@tb_2015_4,1,0,75,7
phi@was_2015_4,0,0,59,13
oak@chi_2015_4,1,0,56,8
hou@atl_2015_4,0,1,70,0
kc@cin_2015_4,0,0,73,8
cle@lac_2015_4,1,0,68,7
gb@sf_2015_4,0,0,76,6
lar@ari_2015_4,0,1,70,0
min@den_2015_4,1,0,60,5
dal@no_2015_4,0,1,70,0
det@sea_2015_4,0,0,61,2
ind@hou_2015_5,0,0,76,2
chi@kc_2015_5,0,0,80,11
