p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year,plyr_number
brandongraham_phi_2022_8,phi_2022_8,brandongraham_phi_2022,phi_2022,brandongraham,5538,ed,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
devinmccourty_ne_2022_8,ne_2022_8,devinmccourty_ne_2022,ne_2022,devinmccourty,5552,s,ne,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
vonmiller_buf_2022_8,buf_2022_8,vonmiller_buf_2022,buf_2022,vonmiller,6154,ed,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
fletchercox_phi_2022_8,phi_2022_8,fletchercox_phi_2022,phi_2022,fletchercox,7018,di,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bobbywagner_lar_2022_8,lar_2022_8,bobbywagner_lar_2022,lar_2022,bobbywagner,7050,lb,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
lavontedavid_tb_2022_8,tb_2022_8,lavontedavid_tb_2022,tb_2022,lavontedavid,7060,lb,tb,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
rodneymcleod_ind_2022_8,ind_2022_8,rodneymcleod_ind_2022,ind_2022,rodneymcleod,7271,s,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tyrannmathieu_no_2022_8,no_2022_8,tyrannmathieu_no_2022,no_2022,tyrannmathieu,7850,s,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
aarondonald_lar_2022_8,lar_2022_8,aarondonald_lar_2022,lar_2022,aarondonald,8648,di,lar,1,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jeremiahattaochu_bal_2022_8,bal_2022_8,jeremiahattaochu_bal_2022,bal_2022,jeremiahattaochu,8685,ed,bal,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
daquanjones_buf_2022_8,buf_2022_8,daquanjones_buf_2022,buf_2022,daquanjones,8747,di,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
christianjones_sea_2022_8,sea_2022_8,christianjones_sea_2022,sea_2022,christianjones,9020,ed,sea,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jordanphillips_buf_2022_8,buf_2022_8,jordanphillips_buf_2022,buf_2022,jordanphillips,9485,di,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jordanhicks_min_2022_8,min_2022_8,jordanhicks_min_2022,min_2022,jordanhicks,9517,lb,min,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
daniellehunter_min_2022_8,min_2022_8,daniellehunter_min_2022,min_2022,daniellehunter,9521,ed,min,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
zadariussmith_min_2022_8,min_2022_8,zadariussmith_min_2022,min_2022,zadariussmith,9555,ed,min,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
damienwilson_car_2022_8,car_2022_8,damienwilson_car_2022,car_2022,damienwilson,9560,lb,car,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bobbymccain_was_2022_8,was_2022_8,bobbymccain_was_2022,was_2022,bobbymccain,9578,s,was,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
leonardfloyd_lar_2022_8,lar_2022_8,leonardfloyd_lar_2022,lar_2022,leonardfloyd,10643,ed,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
shaqlawson_buf_2022_8,buf_2022_8,shaqlawson_buf_2022,buf_2022,shaqlawson,10653,ed,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
emmanuelogbah_mia_2022_8,mia_2022_8,emmanuelogbah_mia_2022,mia_2022,emmanuelogbah,10666,ed,mia,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ashawnrobinson_lar_2022_8,lar_2022_8,ashawnrobinson_lar_2022,lar_2022,ashawnrobinson,10680,di,lar,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
vonnbell_cin_2022_8,cin_2022_8,vonnbell_cin_2022,cin_2022,vonnbell,10695,s,cin,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
adamgotsis_jax_2022_8,jax_2022_8,adamgotsis_jax_2022,jax_2022,adamgotsis,10697,di,jax,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jonathanbullard_min_2022_8,min_2022_8,jonathanbullard_min_2022,min_2022,jonathanbullard,10706,di,min,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
javonhargrave_phi_2022_8,phi_2022_8,javonhargrave_phi_2022,phi_2022,javonhargrave,10723,di,phi,1,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
deonbush_kc_2022_8,kc_2022_8,deonbush_kc_2022,kc_2022,deonbush,10758,s,kc,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
mattioannidis_car_2022_8,car_2022_8,mattioannidis_car_2022,car_2022,mattioannidis,10786,di,car,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
