Player,Team,Pos,Injury,Status,Est. Return
Yodny Cajuste,NE,OT,Thumb,IR,Subscribers Only
Antonio Callaway,FA,WR,Knee,Questionable,Subscribers Only
Calais Campbell,BAL,DE,Illness,Questionable,Subscribers Only
Chance Campbell,TEN,LB,Knee,IR,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Trenton Cannon,TEN,RB,Knee,IR,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Cethan Carter,MIA,TE,Concussion,IR,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Tory Carter,TEN,FB,Neck,Questionable,Subscribers Only
Tariq Castro-Fields,WAS,CB,Knee,IR,Subscribers Only
Quintez Cephus,DET,WR,Foot,IR,Subscribers Only
K'Lavon Chaisson,JAX,LB,Knee - Meniscus,IR,Subscribers Only
Ty Chandler,MIN,RB,Thumb,IR,Subscribers Only
DJ Chark,DET,WR,Ankle,IR,Subscribers Only
Anthony Chesley,FA,CB,Hamstring,Questionable,Subscribers Only
Jeremy Chinn,CAR,S,Hamstring,IR,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Jack Cichy,FA,LB,Arm,Questionable,Subscribers Only
Lewis Cine,MIN,S,Leg,IR,Subscribers Only
Damone Clark,DAL,LB,Back,NFI-R,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Frank Clark,KC,DE,Suspension,Reserve-Sus,Subscribers Only
Kameron Cline,FA,DT,Concussion,Questionable,Subscribers Only
Randall Cobb,GB,WR,Ankle,IR,Subscribers Only
Tarik Cohen,FA,RB,Achilles,Out,Subscribers Only
L.J. Collier,SEA,DE,Elbow,IR-R,Subscribers Only
Alex Collins,FA,RB,Abdomen,Questionable,Subscribers Only
Maliek Collins,HOU,DT,Chest,Questionable,Subscribers Only
Nico Collins,HOU,WR,Groin,Questionable,Subscribers Only
Tom Compton,DEN,OT,Back,PUP-R,Subscribers Only
Gareon Conley,FA,CB,Ankle,Questionable,Subscribers Only
James Conner,ARI,RB,Ribs,Questionable,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Jashon Cornell,FA,DT,Undisclosed,Questionable,Subscribers Only
Matt Corral,CAR,QB,Foot,IR,Subscribers Only
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Keke Coutee,IND,WR,Concussion,Questionable,Subscribers Only
Rashaad Coward,FA,OG,Undisclosed,Questionable,Subscribers Only
Damarea Crockett,DEN,RB,Knee - ACL,IR,Subscribers Only
Tyrell Crosby,FA,OT,Back,Questionable,Subscribers Only
Keion Crossen,MIA,CB,Knee,Questionable,Subscribers Only
Jamison Crowder,BUF,WR,Ankle,IR,Subscribers Only
Isaiah Crowell,FA,RB,Achilles,Questionable,Subscribers Only
Zach Cunningham,TEN,LB,Elbow,Questionable,Subscribers Only
Tae Daley,ARI,S,Undisclosed,IR,Subscribers Only
Mike Danna,KC,DE,Calf,Questionable,Subscribers Only
Ronald Darby,DEN,CB,Knee,IR,Subscribers Only
Sam Darnold,CAR,QB,Ankle,IR-R,Subscribers Only
D.J. Davidson,NYG,DT,Knee - ACL,IR,Subscribers Only
Marlon Davidson,FA,DT,Knee,Questionable,Subscribers Only
Ashtyn Davis,NYJ,S,Hamstring,Questionable,Subscribers Only
Carlton Davis,TB,CB,Hip,Questionable,Subscribers Only
Cody Davis,NE,S,Knee,IR,Subscribers Only
Corey Davis,NYJ,WR,Knee - MCL,Questionable,Subscribers Only
Danny Davis,FA,WR,Ankle,Questionable,Subscribers Only
Kalia Davis,SF,DT,Undisclosed,NFI-R,Subscribers Only
Nate Davis,TEN,OG,Foot,Questionable,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Sheldon Day,FA,DT,Back,Questionable,Subscribers Only
Dawson Deaton,CLE,C,Knee - ACL,IR,Subscribers Only
Austin Deculus,HOU,OT,Ankle,Questionable,Subscribers Only
Trevor Denbow,IND,S,Undisclosed,IR,Subscribers Only
J.K. Dobbins,BAL,RB,Knee,IR,Subscribers Only
JoJo Domann,IND,LB,Abdomen,Questionable,Subscribers Only
