player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year
Quez Watkins,61664,WR,PHI,1,33.0,0,100.0,,0,0,0,0.0,0,1,24,0,70.5,69.5,74.0,,73.7,0.0,0,0,53,0.0,0,27,0,2,88.9,24,66.7,18,158.3,2,1,33.3,9,69,3,1.5,34.5,2.88,2,2022
Jalen Reagor,61697,WR,MIN,1,1.0,0,50.0,,0,0,0,0.0,0,0,18,0,64.7,71.2,59.1,,55.8,0.0,0,0,7,0.0,0,8,0,1,100.0,8,25.0,2,58.3,2,0,62.5,5,7,8,8.0,7.0,0.88,2,2022
Will Dissly,30762,TE,SEA,1,-1.5,0,100.0,,0,0,0,0.0,0,0,29,0,68.3,64.0,62.4,75.0,56.1,50.0,7,0,2,14.3,2,14,0,2,78.6,11,14.3,2,79.2,2,0,7.1,1,0,3,1.5,0.0,0.0,2,2022
Zach Pascal,12303,WR,PHI,1,3.0,0,100.0,,0,0,0,0.0,0,1,24,0,68.3,64.0,56.9,,56.1,6.3,1,0,8,0.0,0,16,0,2,87.5,14,75.0,12,95.8,2,0,12.5,2,14,8,4.0,7.0,1.0,2,2022
Albert Okwuegbunam,41933,TE,DEN,1,6.5,0,0.0,0.0,0,1,0,100.0,1,0,10,0,27.9,,49.2,69.6,37.7,59.3,16,0,0,3.7,1,27,0,0,88.9,24,29.6,8,39.6,2,0,11.1,3,0,0,,,0.0,2,2022
Rhamondre Stevenson,98689,HB,NE,1,1.0,0,50.0,,0,0,0,0.0,0,0,19,0,64.7,73.1,72.2,83.9,53.5,0.0,0,0,4,17.9,5,28,0,1,82.1,23,0.0,0,56.3,2,0,0.0,0,4,4,4.0,4.0,0.17,2,2022
Kylen Granson,40630,TE,IND,1,1.5,0,100.0,,0,0,0,0.0,0,0,14,0,70.5,67.9,61.0,,62.2,20.0,4,0,8,0.0,0,20,0,2,95.0,19,65.0,13,95.8,2,0,15.0,3,14,11,5.5,7.0,0.74,2,2022
River Cracraft,47417,WR,MIA,1,4.0,0,50.0,0.0,0,1,0,0.0,0,1,17,0,64.7,61.2,65.8,,66.2,0.0,0,0,2,0.0,0,10,0,1,100.0,10,40.0,4,95.8,2,1,60.0,6,2,0,0.0,2.0,0.2,2,2022
Hassan Haskins,83701,HB,TEN,1,-6.0,0,100.0,,0,0,0,0.0,0,0,31,0,64.7,74.9,65.9,73.1,54.8,12.5,2,0,0,6.3,1,16,0,1,87.5,14,6.3,1,79.2,1,0,12.5,2,0,6,6.0,0.0,0.0,2,2022
Hunter Henry,10669,TE,NE,1,4.0,0,0.0,,0,0,0,,0,0,19,0,,,39.3,,49.0,33.3,8,0,0,0.0,0,24,0,0,91.7,22,41.7,10,39.6,1,0,20.8,5,0,0,,,0.0,2,2022
