player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year
Zander Horvath,57384,FB,LAC,1,2.0,0,100.0,,0,0,0,0.0,0,1,27,0,64.7,61.2,74.5,65.5,79.5,0.0,0,0,1,33.3,1,3,0,1,66.7,2,33.3,1,118.8,1,1,0.0,0,1,0,0.0,1.0,0.5,2,2022
Jonathan Taylor,57488,HB,IND,1,1.0,1,100.0,,0,0,0,0.0,0,0,14,0,64.7,73.6,58.7,15.3,59.2,0.0,0,0,9,15.4,4,26,0,1,84.6,22,11.5,3,104.2,1,0,0.0,0,9,8,8.0,9.0,0.41,2,2022
Cordarrelle Patterson,7810,HB,ATL,1,2.0,0,0.0,,0,0,0,100.0,1,0,2,0,27.9,74.9,64.4,59.9,37.2,0.0,0,1,0,27.8,5,18,0,0,72.2,13,33.3,6,0.0,1,0,0.0,0,0,0,,,0.0,2,2022
Brock Wright,60994,TE,DET,1,15.0,0,100.0,,0,0,0,0.0,0,1,11,0,64.7,61.2,73.5,60.2,87.5,25.0,2,0,25,37.5,3,8,0,1,62.5,5,25.0,2,118.8,1,0,25.0,2,25,10,10.0,25.0,5.0,2,2022
Cole Kmet,60995,TE,CHI,1,5.0,0,0.0,,0,0,0,100.0,1,0,6,0,27.9,,47.0,29.6,39.3,43.8,7,0,0,6.3,1,16,0,0,93.8,15,50.0,8,39.6,1,0,6.3,1,0,0,,,0.0,2,2022
Breece Hall,97636,HB,NYJ,1,8.0,0,100.0,,0,0,0,0.0,0,1,22,0,68.3,72.3,70.1,75.7,79.3,10.0,1,0,10,10.0,1,10,0,1,70.0,7,0.0,0,147.9,1,1,0.0,0,10,2,2.0,10.0,1.43,2,2022
Quintin Morris,61182,TE,BUF,1,2.0,0,100.0,,0,0,0,0.0,0,0,4,0,64.7,61.2,45.9,60.8,52.7,58.3,7,0,6,33.3,4,12,0,1,66.7,8,33.3,4,91.7,1,0,0.0,0,6,4,4.0,6.0,0.75,2,2022
David Bell,97989,WR,CLV,1,6.0,0,100.0,,0,0,0,0.0,0,0,8,0,64.7,61.2,54.9,,55.0,0.0,0,0,6,0.0,0,13,0,1,92.3,12,69.2,9,91.7,1,0,30.8,4,6,0,0.0,6.0,0.5,2,2022
Dennis Houston,61295,WR,DAL,1,9.0,0,0.0,,0,0,0,,0,0,9,0,,,50.9,,51.7,0.0,0,0,0,0.0,0,20,0,0,90.0,18,0.0,0,39.6,1,0,100.0,20,0,0,,,0.0,2,2022
Jamal Agnew,11920,WR,JAX,1,41.0,0,0.0,0.0,0,1,0,100.0,1,0,15,0,27.9,72.7,34.3,,39.7,0.0,0,0,0,0.0,0,3,0,0,100.0,3,66.7,2,39.6,1,0,33.3,1,0,0,,,0.0,2,2022
Donovan Peoples-Jones,61439,WR,CLV,1,12.0,0,0.0,0.0,0,1,0,,0,0,8,0,,,50.0,,50.4,0.0,0,0,0,0.0,0,28,0,0,96.4,27,32.1,9,39.6,1,0,67.9,19,0,0,,,0.0,2,2022
Jamaal Williams,11889,HB,DET,1,5.0,0,100.0,,0,0,0,0.0,0,0,11,0,64.7,74.5,54.0,74.2,57.8,0.0,0,0,7,25.0,2,8,0,1,75.0,6,0.0,0,95.8,1,0,37.5,3,7,2,2.0,7.0,1.17,2,2022
Samaje Perine,11869,HB,CIN,1,1.0,1,100.0,,0,0,0,0.0,0,0,7,0,64.7,64.6,56.6,81.0,58.5,0.0,0,0,8,33.3,4,12,0,1,66.7,8,25.0,3,100.0,1,0,0.0,0,8,7,7.0,8.0,1.0,2,2022
Tylan Wallace,61577,WR,BLT,1,6.0,0,100.0,100.0,1,1,0,0.0,0,0,3,0,64.7,61.2,55.1,,55.6,0.0,0,0,9,0.0,0,7,0,1,100.0,7,71.4,5,104.2,1,0,28.6,2,9,3,3.0,9.0,1.29,2,2022
O.J. Howard,11774,TE,HST,1,7.0,0,100.0,,0,0,0,0.0,0,0,13,0,64.7,61.2,63.2,75.7,52.2,100.0,10,0,7,40.0,4,10,0,1,50.0,5,0.0,0,95.8,1,0,0.0,0,7,0,0.0,7.0,1.4,2,2022
Stephen Anderson,11160,TE,ARZ,1,2.0,0,100.0,,0,0,0,0.0,0,0,1,0,64.7,61.2,51.2,,53.4,62.5,5,0,2,0.0,0,8,0,1,75.0,6,25.0,2,79.2,1,0,12.5,1,2,0,0.0,2.0,0.33,2,2022
Montrell Washington,64310,WR,DEN,1,27.0,0,0.0,0.0,0,1,0,,0,0,10,0,,74.0,72.4,,54.8,0.0,0,0,0,0.0,0,7,0,0,100.0,7,57.1,4,39.6,1,0,28.6,2,0,0,,,0.0,2,2022
Jaylen Warren,98692,HB,PIT,1,-1.0,0,100.0,100.0,1,1,0,0.0,0,0,25,0,64.7,69.4,61.0,18.3,55.1,0.0,0,0,0,15.4,2,13,0,1,84.6,11,7.7,1,79.2,1,0,7.7,1,0,1,1.0,0.0,0.0,2,2022
Demetric Felton,40568,WR,CLV,1,-2.0,0,100.0,,0,0,0,0.0,0,0,8,0,64.7,71.2,56.0,,60.5,0.0,0,0,3,0.0,0,1,0,1,100.0,1,100.0,1,79.2,1,0,0.0,0,3,5,5.0,3.0,3.0,2,2022
Dameon Pierce,83659,HB,HST,1,0.0,0,100.0,,0,0,0,0.0,0,0,13,0,64.7,76.0,69.8,60.6,58.2,0.0,0,0,8,23.8,5,21,0,1,71.4,15,9.5,2,100.0,1,0,4.8,1,8,8,8.0,8.0,0.53,2,2022
James Cook,83666,HB,BUF,1,13.0,0,0.0,,0,0,0,,0,0,4,0,,73.8,71.9,,57.1,0.0,0,0,0,0.0,0,3,0,0,100.0,3,0.0,0,39.6,1,0,66.7,2,0,0,,,0.0,2,2022
Marquise Brown,61568,WR,ARZ,1,8.0,0,82.4,100.0,2,2,0,0.0,0,7,1,0,80.6,72.7,76.6,,75.5,0.0,0,0,20,0.0,0,60,0,14,98.3,59,18.3,11,101.0,17,0,81.7,49,140,62,4.4,10.0,2.37,3,2022
Mark Andrews,47436,TE,BLT,1,11.3,1,61.5,100.0,2,2,0,11.1,1,6,3,0,54.5,70.1,87.3,,88.7,29.0,9,0,25,0.0,0,31,0,8,100.0,31,58.1,18,121.5,13,2,12.9,4,89,41,5.1,11.1,2.87,3,2022
Russell Gage,44771,WR,TB,1,5.2,0,92.3,100.0,1,1,0,0.0,0,5,30,1,79.4,20.9,68.2,,67.3,0.0,0,0,15,0.0,0,42,0,12,90.5,38,76.2,32,120.5,13,1,23.8,10,88,36,3.0,7.3,2.32,3,2022
Chris Olave,84355,WR,NO,1,15.3,1,75.0,50.0,2,4,1,0.0,0,5,20,0,78.0,71.1,85.6,,87.6,0.0,0,2,49,0.0,0,43,2,9,90.7,39,11.6,5,76.0,12,0,88.4,38,147,32,3.6,16.3,3.77,3,2022
DeVonta Smith,61100,WR,PHI,1,17.4,1,66.7,40.0,2,5,0,0.0,0,7,24,0,76.5,71.3,92.5,,91.9,0.0,0,0,45,0.0,0,40,0,8,95.0,38,15.0,6,137.5,12,1,85.0,34,169,65,8.1,21.1,4.45,3,2022
CeeDee Lamb,61570,WR,DAL,1,11.4,0,66.7,50.0,1,2,0,20.0,2,6,9,0,35.7,70.1,74.2,,74.4,0.0,0,0,26,0.0,0,31,0,8,100.0,31,38.7,12,115.6,12,1,61.3,19,87,33,4.1,10.9,2.81,3,2022
Diontae Johnson,33441,WR,PIT,1,14.4,0,66.7,0.0,0,2,0,11.1,1,4,25,0,35.3,70.1,70.1,,69.4,0.0,0,0,16,0.0,0,37,0,8,89.2,33,5.4,2,83.3,12,0,94.6,35,74,-6,-0.8,9.3,2.24,3,2022
D.K. Metcalf,47864,WR,SEA,1,14.1,0,41.7,33.3,2,6,0,0.0,0,4,29,0,73.4,68.0,72.4,,71.9,0.0,0,0,18,0.0,0,45,0,5,97.8,44,15.6,7,86.8,12,1,84.4,38,64,11,2.2,12.8,1.45,3,2022
Stefon Diggs,9579,WR,BUF,1,8.4,0,63.6,0.0,0,2,0,0.0,0,4,4,0,75.6,69.5,69.5,,68.5,0.0,0,0,28,0.0,0,54,0,7,98.1,53,44.4,24,83.1,11,0,55.6,30,74,37,5.3,10.6,1.4,3,2022
Amari Cooper,9437,WR,CLV,1,12.3,0,63.6,50.0,1,2,0,12.5,1,4,8,0,52.1,69.5,66.3,,70.9,0.0,0,0,32,0.0,0,33,1,7,97.0,32,24.2,8,123.7,11,1,75.8,25,101,28,4.0,14.4,3.16,3,2022
Breece Hall,97636,HB,NYJ,1,6.2,3,54.5,0.0,0,1,0,25.0,2,3,22,0,29.8,74.1,69.4,78.7,70.8,12.9,4,1,18,9.7,3,31,0,6,87.1,27,9.7,3,29.7,11,0,12.9,4,53,34,5.7,8.8,1.96,3,2022
Zay Jones,11792,WR,JAX,1,4.2,3,90.9,,0,0,0,0.0,0,5,15,0,78.0,71.7,81.2,,82.5,0.0,0,0,16,0.0,0,33,0,10,97.0,32,42.4,14,129.2,11,1,57.6,19,85,55,5.5,8.5,2.66,3,2022
Tyler Lockett,9502,WR,SEA,1,11.3,0,81.8,0.0,0,1,0,0.0,0,3,29,0,77.3,70.6,65.2,,67.8,0.0,0,1,20,0.0,0,40,0,9,97.5,39,50.0,20,57.6,11,0,47.5,19,76,3,0.3,8.4,1.95,3,2022
David Njoku,11784,TE,CLV,1,5.2,2,90.0,66.7,2,3,0,0.0,0,6,8,0,77.3,70.6,89.6,72.2,90.8,46.7,14,0,19,6.7,2,30,0,9,90.0,27,40.0,12,137.1,10,1,13.3,4,89,57,6.3,9.9,3.3,3,2022
Courtland Sutton,48164,WR,DEN,1,10.4,0,80.0,100.0,2,2,0,11.1,1,5,10,0,54.5,70.1,68.9,,68.2,0.0,0,0,34,0.0,0,42,0,8,92.9,39,7.1,3,107.1,10,0,92.9,39,97,21,2.6,12.1,2.49,3,2022
Curtis Samuel,11795,WR,WAS,1,3.8,0,70.0,66.7,2,3,0,0.0,0,2,32,0,75.6,71.8,60.8,,59.6,0.0,0,0,16,0.0,0,50,0,7,94.0,47,70.0,35,80.4,10,0,24.0,12,48,18,2.6,6.9,1.02,3,2022
Josh Reynolds,11872,WR,DET,1,16.6,0,60.0,50.0,1,2,0,0.0,0,4,11,0,74.6,68.8,69.0,,69.6,0.0,0,0,26,0.0,0,37,0,6,97.3,36,27.0,10,92.1,10,0,73.0,27,96,30,5.0,16.0,2.67,3,2022
Ja'Marr Chase,84270,WR,CIN,1,12.6,0,60.0,0.0,0,1,0,0.0,0,2,7,1,74.6,18.7,53.3,,55.1,0.0,0,0,10,0.0,0,41,0,6,95.1,39,19.5,8,97.9,10,1,78.0,32,29,9,1.5,4.8,0.74,3,2022
Zach Ertz,7816,TE,ARZ,1,6.5,0,60.0,0.0,0,1,0,25.0,2,2,1,0,49.2,68.8,49.2,18.0,56.2,18.6,11,0,12,6.8,4,59,1,6,91.5,54,67.8,40,70.8,10,0,8.5,5,45,22,3.7,7.5,0.83,3,2022
Devin Singletary,40485,HB,BUF,1,1.3,3,90.0,,0,0,0,0.0,0,4,4,0,77.3,75.2,72.1,56.9,85.3,0.0,0,0,22,29.1,16,55,0,9,70.9,39,3.6,2,132.5,10,1,3.6,2,78,63,7.0,8.7,2.0,3,2022
Greg Dortch,42237,WR,ARZ,1,3.6,2,90.0,100.0,1,1,0,0.0,0,4,1,0,77.3,73.7,66.7,,68.1,0.0,0,0,30,0.0,0,54,0,9,98.1,53,94.4,51,100.4,10,0,5.6,3,81,50,5.6,9.0,1.53,3,2022
DeVante Parker,9447,WR,NE,1,22.6,1,50.0,33.3,1,3,0,0.0,0,5,19,0,73.4,68.0,85.4,,83.9,0.0,0,2,40,0.0,0,42,0,5,95.2,40,14.3,6,56.3,10,0,85.7,36,156,41,8.2,31.2,3.9,3,2022
Davante Adams,8688,WR,LV,1,11.1,1,55.6,100.0,1,1,0,0.0,0,2,23,0,73.4,69.1,58.1,66.1,58.2,0.0,0,0,18,1.9,1,53,0,5,88.7,47,41.5,22,102.1,9,1,58.5,31,36,10,2.0,7.2,0.77,3,2022
Amon-Ra St. Brown,84470,WR,DET,1,5.2,0,66.7,0.0,0,1,0,0.0,0,4,11,0,74.6,68.8,76.4,64.9,76.6,0.0,0,0,30,2.9,1,35,0,6,94.3,33,48.6,17,91.4,9,0,48.6,17,73,54,9.0,12.2,2.21,3,2022
Isaiah McKenzie,11927,WR,BUF,1,5.8,3,77.8,,0,0,0,0.0,0,4,4,0,75.6,69.5,74.4,,75.7,0.0,0,0,27,0.0,0,41,0,7,100.0,41,65.9,27,138.9,9,1,34.1,14,76,36,5.1,10.9,1.85,3,2022
Sterling Shepard,10674,WR,NYG,1,10.0,0,55.6,40.0,2,5,0,28.6,2,2,21,0,29.2,68.0,51.8,,54.7,0.0,0,0,16,0.0,0,46,1,5,91.3,42,21.7,10,71.1,9,0,78.3,36,49,13,2.6,9.8,1.17,3,2022
A.J. Brown,48327,WR,PHI,1,14.9,1,55.6,50.0,2,4,0,0.0,0,5,24,0,73.4,68.0,75.5,,74.5,0.0,0,0,38,0.0,0,40,0,5,95.0,38,20.0,8,124.8,9,1,80.0,32,85,33,6.6,17.0,2.24,3,2022
Michael Pittman Jr.,29049,WR,IND,1,5.1,0,88.9,100.0,4,4,0,0.0,0,4,14,0,77.3,70.6,70.6,,70.1,0.0,0,0,26,0.0,0,44,0,8,95.5,42,18.2,8,100.0,9,0,81.8,36,72,31,3.9,9.0,1.71,3,2022
Terry McLaurin,48229,WR,WAS,1,16.2,0,66.7,100.0,3,3,0,14.3,1,4,32,0,49.2,68.8,66.5,,64.7,0.0,0,0,45,0.0,0,52,0,6,94.2,49,23.1,12,104.9,9,0,76.9,40,102,13,2.2,17.0,2.08,3,2022
Mack Hollins,11873,WR,LV,1,16.2,1,88.9,66.7,2,3,0,0.0,0,6,23,0,76.5,70.6,85.9,64.5,83.1,0.0,0,0,60,1.9,1,52,0,8,86.5,45,15.4,8,155.8,9,1,84.6,44,158,43,5.4,19.8,3.51,3,2022
Elijah Moore,84302,WR,NYJ,1,19.2,0,44.4,0.0,0,2,0,0.0,0,3,22,0,72.1,67.0,58.6,,60.3,0.0,0,0,18,0.0,0,55,0,4,96.4,53,21.8,12,61.8,9,0,78.2,43,49,1,0.3,12.3,0.92,3,2022
Austin Ekeler,12164,HB,LAC,1,-1.9,5,100.0,,0,0,0,0.0,0,2,27,0,76.5,72.7,69.1,80.7,75.8,0.0,0,0,12,10.3,3,29,0,8,86.2,25,6.9,2,91.7,8,0,3.4,1,48,63,7.9,6.0,1.92,3,2022
Josh Palmer,62979,WR,LAC,1,7.4,0,75.0,0.0,0,1,0,0.0,0,5,27,0,74.6,68.8,69.4,,69.0,2.1,1,0,45,0.0,0,47,0,6,93.6,44,19.1,9,116.1,8,0,78.7,37,99,51,8.5,16.5,2.25,3,2022
Christian Kirk,47546,WR,JAX,1,7.5,0,75.0,50.0,1,2,0,0.0,0,4,15,0,74.6,68.8,61.1,,67.8,0.0,0,0,35,0.0,0,40,1,6,97.5,39,67.5,27,141.7,8,1,32.5,13,72,26,4.3,12.0,1.85,3,2022
Adam Thielen,8288,WR,MIN,1,12.0,0,75.0,,0,0,0,0.0,0,6,18,0,74.6,68.8,77.0,62.3,74.8,0.0,0,0,15,2.2,1,45,0,6,88.9,40,22.2,10,135.9,8,1,77.8,35,61,15,2.5,10.2,1.53,3,2022
Romeo Doubs,84329,WR,GB,1,3.0,1,100.0,,0,0,0,0.0,0,3,12,1,76.5,18.5,74.8,,73.8,0.0,0,0,21,0.0,0,35,0,8,97.1,34,17.1,6,144.3,8,1,82.9,29,73,49,6.1,9.1,2.15,3,2022
J.D. McKissic,11047,HB,WAS,1,2.6,0,75.0,,0,0,0,25.0,2,3,32,0,32.2,71.8,48.2,37.8,47.5,0.0,0,0,9,13.5,5,37,0,6,81.1,30,13.5,5,81.3,8,0,10.8,4,32,19,3.2,5.3,1.07,3,2022
Travis Kelce,7844,TE,KC,1,9.9,3,50.0,0.0,0,3,0,33.3,2,3,16,0,29.2,68.0,68.6,72.9,66.9,31.8,14,0,29,9.1,4,44,0,4,84.1,37,52.3,23,113.5,8,1,15.9,7,58,30,7.5,14.5,1.57,3,2022
K.J. Osborn,23503,WR,MIN,1,16.0,0,62.5,,0,0,0,0.0,0,3,18,0,73.4,68.0,78.3,,72.8,0.0,0,0,28,0.0,0,37,0,5,89.2,33,67.6,25,131.8,8,1,32.4,12,73,17,3.4,14.6,2.21,3,2022
Brandon Aiyuk,84109,WR,SF,1,14.3,0,37.5,0.0,0,2,0,0.0,0,3,28,0,70.5,65.8,67.5,,67.4,0.0,0,0,20,0.0,0,32,0,3,93.8,30,31.3,10,93.2,8,1,68.8,22,39,13,4.3,13.0,1.3,3,2022
Kyle Pitts,83964,TE,ATL,1,18.4,1,62.5,100.0,1,1,0,0.0,0,5,2,0,73.4,68.0,93.2,80.3,91.1,23.8,5,0,28,9.5,2,21,0,5,81.0,17,38.1,8,99.5,8,0,33.3,7,87,37,7.4,17.4,5.12,3,2022
Tyler Conklin,47124,TE,NYJ,1,3.4,0,100.0,100.0,1,1,0,0.0,0,3,22,0,77.3,70.6,74.3,60.1,77.2,68.8,33,0,21,10.4,5,48,0,8,85.4,41,25.0,12,110.4,8,0,6.3,3,84,57,7.1,10.5,2.05,3,2022
Deebo Samuel,48274,WR,SF,1,7.0,3,62.5,,0,0,0,0.0,0,3,28,0,73.4,72.2,61.7,,67.4,0.0,0,1,32,0.0,0,31,0,5,93.5,29,22.6,7,52.6,8,0,67.7,21,73,30,6.0,14.6,2.52,3,2022
Garrett Wilson,97405,WR,NYJ,1,7.7,0,85.7,100.0,2,2,0,0.0,0,3,22,0,74.6,68.8,77.4,16.5,77.0,5.1,2,0,23,2.6,1,39,0,6,94.9,37,79.5,31,102.4,7,0,15.4,6,60,14,2.3,10.0,1.62,3,2022
Robert Tonyan,12193,TE,GB,1,2.1,0,85.7,,0,0,1,0.0,0,1,12,0,74.6,68.8,55.3,,60.1,30.4,7,1,9,0.0,0,23,1,6,100.0,23,60.9,14,49.1,7,0,8.7,2,37,34,5.7,6.2,1.61,3,2022
George Pickens,99229,WR,PIT,1,14.3,2,42.9,100.0,1,1,0,40.0,2,1,25,0,28.0,65.8,56.8,,57.0,0.0,0,0,36,0.0,0,33,0,3,87.9,29,3.0,1,61.0,7,0,97.0,32,39,2,0.7,13.0,1.34,3,2022
Marvin Jones Jr.,7158,WR,JAX,1,14.4,0,57.1,100.0,1,1,0,0.0,0,2,15,0,72.1,67.0,65.5,,65.2,0.0,0,0,11,0.0,0,34,0,4,97.1,33,14.7,5,108.9,7,1,85.3,29,33,4,1.0,8.3,1.0,3,2022
Jahan Dotson,84375,WR,WAS,1,14.7,0,28.6,,0,0,0,33.3,1,0,32,0,29.9,64.0,46.6,,46.9,0.0,0,0,7,0.0,0,51,0,2,94.1,48,23.5,12,39.6,7,0,76.5,39,10,7,3.5,5.0,0.21,3,2022
Tee Higgins,61211,WR,CIN,1,15.9,0,71.4,50.0,2,4,0,0.0,0,4,7,0,73.4,68.0,77.9,,76.7,0.0,0,0,45,0.0,0,37,0,5,94.6,35,24.3,9,113.7,7,0,75.7,28,93,11,2.2,18.6,2.66,3,2022
JuJu Smith-Schuster,11817,WR,KC,1,8.4,0,71.4,33.3,1,3,0,0.0,0,4,16,0,73.4,68.0,74.8,,72.3,0.0,0,1,53,0.0,0,37,0,5,89.2,33,29.7,11,74.1,7,0,70.3,26,89,54,10.8,17.8,2.7,3,2022
D.J. Chark Jr.,47702,WR,DET,1,19.3,0,50.0,0.0,0,1,0,0.0,0,3,11,0,70.5,65.8,66.3,,66.6,0.0,0,1,23,0.0,0,39,0,3,100.0,39,33.3,13,36.1,6,0,66.7,26,46,6,2.0,15.3,1.18,3,2022
Leonard Fournette,11759,HB,TB,1,-1.3,0,83.3,,0,0,0,0.0,0,3,30,0,74.6,76.0,63.4,29.5,71.7,0.0,0,0,17,18.2,8,44,0,5,72.7,32,0.0,0,91.0,6,0,4.5,2,35,42,8.4,7.0,1.09,3,2022
Brandin Cooks,8655,WR,HST,1,11.5,0,33.3,33.3,1,3,0,33.3,1,1,13,0,29.9,64.0,48.0,,47.9,0.0,0,1,17,0.0,0,34,0,2,94.1,32,8.8,3,5.6,6,0,91.2,31,22,1,0.5,11.0,0.69,3,2022
Gabriel Davis,55410,WR,BUF,1,11.0,0,50.0,25.0,1,4,0,0.0,0,2,4,0,70.5,65.8,60.3,,58.4,0.0,0,0,18,0.0,0,71,0,3,98.6,70,7.0,5,69.4,6,0,93.0,66,37,4,1.3,12.3,0.53,3,2022
Cameron Brate,9207,TE,TB,1,6.3,0,83.3,100.0,1,1,0,0.0,0,3,30,0,73.4,68.0,60.2,62.4,59.5,11.4,5,0,19,2.3,1,44,0,5,86.4,38,70.5,31,102.8,6,0,18.2,8,52,14,2.8,10.4,1.37,3,2022
Melvin Gordon III,9448,HB,DEN,1,-1.2,0,83.3,,0,0,0,16.7,1,1,10,1,45.8,17.0,38.2,74.4,27.9,0.0,0,0,22,12.5,2,16,0,5,81.3,13,0.0,0,86.8,6,0,6.3,1,29,36,7.2,5.8,2.23,3,2022
Marquez Valdes-Scantling,47809,WR,KC,1,13.2,0,66.7,,0,0,0,0.0,0,3,16,0,72.1,67.0,61.8,,64.0,0.0,0,0,24,0.0,0,38,0,4,92.1,35,34.2,13,91.0,6,0,65.8,25,48,16,4.0,12.0,1.37,3,2022
Robert Woods,7822,WR,TEN,1,14.3,0,66.7,,0,0,0,0.0,0,3,31,0,72.1,70.6,75.9,,74.9,0.0,0,1,41,0.0,0,26,0,4,96.2,25,30.8,8,70.1,6,0,69.2,18,85,28,7.0,21.3,3.4,3,2022
Drake London,86519,WR,ATL,1,15.7,2,50.0,0.0,0,3,1,0.0,0,3,2,0,70.5,65.8,78.1,,81.0,0.0,0,1,30,0.0,0,22,1,3,90.9,20,13.6,3,81.3,6,1,86.4,19,54,22,7.3,18.0,2.7,3,2022
Noah Brown,11993,WR,DAL,1,8.3,3,83.3,100.0,1,1,0,0.0,0,3,9,0,73.4,68.0,68.9,65.3,68.6,0.0,0,0,19,3.6,1,28,0,5,96.4,27,50.0,14,104.2,6,0,50.0,14,54,22,4.4,10.8,2.0,3,2022
Gerald Everett,11799,TE,LAC,1,13.7,0,33.3,0.0,0,1,0,0.0,0,1,27,0,68.3,64.0,56.3,59.3,58.0,43.6,17,0,14,7.7,3,39,0,2,87.2,34,48.7,19,47.2,6,0,5.1,2,25,11,5.5,12.5,0.74,3,2022
Joe Mixon,11803,HB,CIN,1,-1.7,1,50.0,0.0,0,1,0,25.0,1,0,7,0,36.2,75.0,53.5,72.8,46.2,0.0,0,0,7,10.3,3,29,0,3,86.2,25,17.2,5,56.3,6,0,0.0,0,14,28,9.3,4.7,0.56,3,2022
Nyheim Hines,48103,HB,IND,1,-1.0,2,83.3,,0,0,0,16.7,1,1,14,0,45.8,72.0,58.6,26.9,59.1,8.3,2,0,8,4.2,1,24,0,5,91.7,22,37.5,9,82.6,6,0,0.0,0,23,30,6.0,4.6,1.05,3,2022
Allen Lazard,48135,WR,GB,1,15.5,0,66.7,,0,0,0,0.0,0,4,12,0,72.1,68.7,68.6,,73.5,2.9,1,0,26,0.0,0,34,2,4,97.1,33,50.0,17,128.5,6,1,47.1,16,45,6,1.5,11.3,1.36,3,2022
Cooper Kupp,11824,WR,LA,1,15.2,1,66.7,100.0,1,1,0,20.0,1,3,26,0,41.6,68.3,80.2,,72.8,0.0,0,0,14,0.0,0,27,0,4,100.0,27,59.3,16,88.2,6,0,40.7,11,44,19,4.8,11.0,1.63,3,2022
Jerry Jeudy,61103,WR,DEN,1,12.8,0,33.3,0.0,0,1,0,0.0,0,1,10,0,68.3,64.0,52.9,,55.9,0.0,0,0,16,0.0,0,33,1,2,90.9,30,75.8,25,42.4,6,0,24.2,8,17,5,2.5,8.5,0.57,3,2022
Justin Jefferson,61398,WR,MIN,1,4.4,0,60.0,0.0,0,1,0,25.0,1,0,18,0,28.0,65.8,43.9,,43.8,0.0,0,0,6,0.0,0,47,0,3,89.4,42,29.8,14,64.6,5,0,70.2,33,14,7,2.3,4.7,0.33,3,2022
D.J. Moore,48267,WR,CAR,1,8.6,0,20.0,0.0,0,1,0,0.0,0,0,5,0,64.7,67.2,53.9,,51.1,0.0,0,0,2,0.0,0,29,0,1,100.0,29,34.5,10,39.6,5,0,65.5,19,2,0,0.0,2.0,0.07,3,2022
Darren Waller,9637,TE,LV,1,9.2,0,60.0,,0,0,0,25.0,1,1,23,0,41.6,67.0,60.4,65.3,60.4,6.4,3,1,17,2.1,1,47,0,3,89.4,42,72.3,34,30.8,5,0,21.3,10,22,6,2.0,7.3,0.52,3,2022
Derrick Henry,10679,HB,TEN,1,1.6,0,100.0,,0,0,0,0.0,0,2,31,0,75.6,78.1,73.0,77.7,82.3,0.0,0,0,23,25.0,5,20,0,5,65.0,13,0.0,0,115.0,5,0,0.0,0,58,50,10.0,11.6,4.46,3,2022
Michael Thomas,10681,WR,NO,1,7.8,0,100.0,100.0,2,2,0,0.0,0,3,20,0,74.6,68.8,69.5,,71.7,0.0,0,0,16,0.0,0,31,0,5,93.5,29,22.6,7,107.5,5,0,77.4,24,49,10,2.0,9.8,1.69,3,2022
Tyler Boyd,10689,WR,CIN,1,11.0,1,80.0,0.0,0,1,0,0.0,0,4,7,0,73.4,68.0,77.9,66.2,79.9,0.0,0,0,56,2.9,1,35,0,4,91.4,32,77.1,27,158.3,5,1,22.9,8,105,67,16.8,26.3,3.28,3,2022
Mike Williams,11762,WR,LAC,1,23.0,0,20.0,50.0,1,2,0,0.0,0,1,27,0,64.7,61.2,58.3,,58.2,0.0,0,0,15,0.0,0,45,0,1,93.3,42,13.3,6,79.2,5,1,86.7,39,15,0,0.0,15.0,0.36,3,2022
Alvin Kamara,11822,HB,NO,1,6.2,1,40.0,,0,0,0,33.3,1,0,20,0,30.0,24.2,46.6,18.0,42.0,0.0,0,0,6,12.5,4,32,0,2,81.3,26,6.3,2,47.9,5,0,0.0,0,12,8,4.0,6.0,0.46,3,2022
James Conner,11860,HB,ARZ,1,-1.0,1,60.0,,0,0,0,25.0,1,0,1,0,36.2,75.8,72.4,76.6,56.3,0.0,0,0,7,41.7,15,36,0,3,58.3,21,8.3,3,67.1,5,0,8.3,3,18,19,6.3,6.0,0.86,3,2022
Rhamondre Stevenson,98689,HB,NE,1,2.2,1,80.0,,0,0,0,0.0,0,1,19,0,73.4,75.8,73.1,44.8,68.9,0.0,0,0,11,7.1,2,28,0,4,89.3,25,7.1,2,90.0,5,0,0.0,0,28,20,5.0,7.0,1.12,3,2022
Kendrick Bourne,12270,WR,NE,1,14.4,0,80.0,,0,0,0,0.0,0,3,19,1,73.4,16.0,79.9,,77.5,0.0,0,1,26,0.0,0,15,0,4,93.3,14,13.3,2,75.4,5,0,86.7,13,58,5,1.3,14.5,4.14,3,2022
Jaylen Waddle,84088,WR,MIA,1,19.2,1,80.0,,0,0,0,0.0,0,4,17,0,72.1,68.3,90.7,,91.4,0.0,0,0,45,0.0,0,19,0,4,84.2,16,15.8,3,118.8,5,0,84.2,16,102,18,4.5,25.5,6.38,3,2022
