player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year
Jake Camarda,82636,P,TB,1,6,6,4.55,39.17,38.17,-6.0,0,0,0,3,30,61.0,3,49,2,0,16.7,-6,1,6,27.29,235,0,229,2,2022
Andy Lee,1906,P,ARZ,1,4,4,3.4,29.0,40.0,11.0,0,0,0,0,1,63.0,1,54,0,0,100.0,44,4,4,13.6,116,0,160,3,2022
Kevin Huber,5066,P,CIN,1,3,3,4.22,44.0,47.33,10.0,0,0,1,1,7,62.1,1,52,0,0,33.3,10,1,3,12.65,132,0,142,3,2022
Thomas Morstead,5088,P,MIA,1,4,4,4.25,46.5,54.5,10.7,0,0,1,0,17,59.8,2,59,0,0,75.0,32,3,5,17.0,186,0,218,3,2022
Bryan Anger,7072,P,DAL,1,4,4,4.29,39.25,44.5,0.5,0,0,0,1,9,59.7,2,54,0,0,50.0,1,2,4,17.16,157,1,178,3,2022
Johnny Hekker,7252,P,CAR,1,6,6,4.33,44.0,46.83,8.5,0,0,3,1,5,67.0,4,59,0,0,33.3,17,2,6,26.0,264,0,281,3,2022
Sam Martin,7947,P,BUF,1,1,1,4.64,31.0,31.0,,0,0,0,1,4,60.0,1,31,0,0,0.0,0,0,1,4.64,31,0,31,3,2022
Tress Way,8358,P,WAS,1,8,8,4.43,46.75,52.5,7.7,0,0,0,2,32,68.8,2,58,0,0,75.0,46,6,8,35.46,374,0,420,3,2022
Pat O'Donnell,8826,P,GB,1,7,7,4.39,44.71,48.43,8.7,0,0,1,3,12,72.8,5,63,0,0,42.9,26,3,7,30.71,313,0,339,3,2022
Bradley Pinion,9598,P,ATL,1,1,1,4.87,53.0,73.0,,0,0,0,0,2,60.0,0,73,0,0,0.0,0,0,1,4.87,53,1,73,3,2022
Riley Dixon,10862,P,LA,1,3,3,3.89,41.0,45.0,4.0,0,0,0,0,26,57.9,0,51,0,0,100.0,12,3,3,11.67,123,0,135,3,2022
Matt Haack,12212,P,IND,1,3,3,4.39,47.33,51.33,6.0,0,0,1,0,14,61.4,2,57,0,0,66.7,12,2,3,13.16,142,0,154,3,2022
Cameron Johnston,12255,P,HST,1,5,5,4.34,48.2,48.4,0.5,0,0,1,1,13,65.9,5,56,1,0,40.0,1,2,5,21.7,241,0,242,3,2022
Corey Bojorquez,27626,P,CLV,1,5,5,4.19,36.6,40.6,,0,0,1,0,8,68.7,3,61,3,0,0.0,0,0,5,20.97,183,1,203,3,2022
Logan Cooke,29214,P,JAX,1,1,1,5.16,50.0,56.0,6.0,0,0,0,0,15,60.0,1,56,0,0,100.0,6,1,1,5.16,50,0,56,3,2022
Tommy Townsend,33007,P,KC,1,3,3,4.91,53.33,56.67,10.0,0,0,2,0,16,68.0,2,65,0,0,33.3,10,1,3,14.73,160,0,170,3,2022
Jake Bailey,33963,P,NE,1,2,2,4.78,22.5,50.0,27.5,0,0,0,0,19,62.0,0,56,0,0,100.0,55,2,2,9.56,45,0,100,3,2022
Jack Fox,34735,P,DET,1,3,3,3.97,36.67,43.33,10.0,0,0,0,0,11,54.4,1,50,1,0,66.7,20,2,3,11.9,110,0,130,3,2022
Michael Dickson,35381,P,SEA,1,2,2,3.32,48.0,51.0,6.0,0,0,0,0,29,60.2,2,51,1,0,50.0,6,1,2,6.63,96,0,102,3,2022
A.J. Cole III,36038,P,LV,1,3,3,4.32,41.0,48.0,21.0,0,0,1,1,23,63.0,2,58,0,0,33.3,21,1,3,12.96,123,0,144,3,2022
J.K. Scott,38809,P,LAC,1,4,4,4.69,39.25,43.75,6.0,0,0,0,1,27,59.9,1,50,0,0,75.0,18,3,4,18.75,157,0,175,3,2022
Corliss Waitman,39620,P,DEN,1,10,10,4.46,43.6,47.6,8.0,0,0,2,3,10,64.2,6,57,0,0,50.0,40,5,10,44.64,436,0,476,3,2022
Mitch Wishnowsky,44663,P,SF,1,7,7,4.7,44.86,51.86,9.0,0,0,2,0,28,80.3,3,74,2,0,14.3,9,1,7,32.87,314,2,363,3,2022
Braden Mann,44664,P,NYJ,1,3,3,4.67,41.0,48.67,11.5,0,0,0,0,22,66.8,1,52,1,0,66.7,23,2,3,14.0,123,0,146,3,2022
Blake Gillikin,45045,P,NO,1,6,6,4.44,40.5,47.5,7.3,0,0,0,2,20,54.3,2,55,0,0,50.0,22,3,6,26.61,243,1,285,3,2022
Ryan Stonehouse,52045,P,TEN,1,3,3,4.62,49.33,60.33,13.0,0,0,0,1,31,64.1,2,70,0,0,33.3,13,1,3,13.85,148,1,181,3,2022
Jordan Stout,57649,P,BLT,1,3,3,4.52,40.0,44.33,6.5,0,0,0,0,3,60.7,1,58,1,0,66.7,13,2,3,13.57,120,0,133,3,2022
Trenton Gill,60295,P,CHI,1,4,4,4.2,37.75,45.5,31.0,0,0,0,2,6,63.1,1,56,1,0,25.0,31,1,4,16.8,151,0,182,3,2022
Pressley Harvin III,62973,P,PIT,1,5,5,4.48,40.2,42.4,5.5,0,0,1,2,25,61.1,2,48,0,0,40.0,11,2,5,22.42,201,0,212,3,2022
Jamie Gillan,63303,P,NYG,1,3,3,4.73,35.67,45.0,28.0,0,0,0,1,21,64.3,1,55,1,0,33.3,28,1,3,14.19,107,0,135,3,2022
Ryan Wright,77591,P,MIN,1,3,3,4.74,44.33,52.0,11.5,0,0,1,0,18,61.6,1,58,0,0,66.7,23,2,3,14.22,133,0,156,3,2022
Arryn Siposs,82019,P,PHI,1,6,6,4.26,39.5,46.17,,0,0,2,2,24,58.9,4,53,0,0,0.0,0,0,6,25.57,237,2,277,3,2022
Jake Camarda,82636,P,TB,1,6,6,4.69,46.0,49.5,10.5,0,0,1,3,30,75.7,2,62,0,0,33.3,21,2,6,28.12,276,0,297,3,2022
