player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year
Taylor Lewan,8646,T,TEN,1,0,31,55.3,100.0,11,45.8,11,64.5,0,100.0,24,24,60.2,100.0,11,45.8,11,1,2022
A.J. Brown,48327,WR,PHI,1,0,24,59.0,100.0,6,25.0,6,59.5,0,100.0,24,24,60.8,100.0,16,66.7,16,1,2022
Brandin Cooks,8655,WR,HST,1,0,13,60.1,100.0,15,62.5,15,59.0,0,100.0,24,24,58.5,100.0,7,29.2,7,1,2022
Jalen Hurts,40291,QB,PHI,1,0,24,60.0,75.0,6,26.1,8,60.0,0,74.2,23,31,60.0,89.5,17,73.9,19,1,2022
Trey Lance,91399,QB,SF,1,0,28,60.0,81.3,13,56.5,16,60.0,0,71.9,23,32,60.0,100.0,8,34.8,8,1,2022
Amon-Ra St. Brown,84470,WR,DET,1,0,11,71.0,100.0,17,73.9,17,68.9,0,100.0,23,23,59.1,100.0,5,21.7,5,1,2022
Terron Armstead,7856,T,MIA,1,0,17,73.2,100.0,4,17.4,4,62.9,0,100.0,23,23,56.5,100.0,14,60.9,14,1,2022
Josh Palmer,62979,WR,LAC,1,0,27,59.1,100.0,7,30.4,7,59.8,0,95.8,23,24,60.5,100.0,12,52.2,12,1,2022
Justin Jefferson,61398,WR,MIN,1,0,18,61.6,100.0,8,34.8,8,61.0,0,100.0,23,23,59.9,100.0,15,65.2,15,1,2022
Sterling Shepard,10674,WR,NYG,1,0,21,73.1,100.0,16,69.6,16,71.4,0,100.0,23,23,60.7,100.0,5,21.7,5,1,2022
Mo Alie-Cox,12078,TE,IND,1,0,14,56.0,100.0,7,30.4,7,62.4,0,100.0,23,23,58.6,100.0,14,60.9,14,1,2022
Johnny Mundt,12206,TE,MIN,1,0,18,51.2,100.0,11,47.8,11,52.1,0,100.0,23,23,59.8,100.0,11,47.8,11,1,2022
Pharaoh Brown,12247,TE,HST,1,0,13,56.8,100.0,13,56.5,13,54.2,0,100.0,23,23,54.2,100.0,8,34.8,8,1,2022
Connor Williams,46216,C,MIA,1,0,17,60.8,100.0,4,17.4,4,86.8,0,100.0,23,23,76.5,100.0,14,60.9,14,1,2022
Robert Hunt,46139,G,MIA,1,0,17,57.9,100.0,4,17.4,4,71.7,0,100.0,23,23,75.9,100.0,14,60.9,14,1,2022
Liam Eichenberg,41851,G,MIA,1,0,17,55.6,100.0,4,17.4,4,36.1,0,100.0,23,23,33.7,100.0,14,60.9,14,1,2022
Tre' McKitty,60896,TE,LAC,1,0,27,51.6,100.0,7,31.8,7,40.6,0,100.0,22,22,48.2,100.0,10,45.5,10,1,2022
Tyler Boyd,10689,WR,CIN,1,0,7,42.9,100.0,9,40.9,9,47.5,0,100.0,22,22,58.9,100.0,11,50.0,11,1,2022
Mike Evans,8642,WR,TB,1,0,30,61.4,100.0,15,68.2,15,61.7,0,100.0,22,22,61.3,100.0,6,27.3,6,1,2022
Drake London,86519,WR,ATL,1,0,2,59.1,100.0,10,45.5,10,41.4,0,100.0,22,22,60.4,100.0,11,50.0,11,1,2022
Carson Wentz,10636,QB,WAS,1,0,32,60.0,100.0,4,18.2,4,60.0,0,88.0,22,25,60.0,100.0,16,72.7,16,1,2022
Tyler Kroft,9518,TE,SF,1,0,28,71.3,100.0,12,54.5,12,75.3,0,100.0,22,22,70.1,100.0,4,18.2,4,1,2022
Ben Powers,41482,G,BLT,1,0,3,33.8,100.0,15,71.4,15,34.7,0,100.0,21,21,57.8,100.0,3,14.3,3,1,2022
Tua Tagovailoa,60326,QB,MIA,1,0,17,60.0,100.0,4,19.0,4,60.0,0,91.3,21,23,60.0,100.0,14,66.7,14,1,2022
Andrew Wylie,12333,T,KC,1,0,16,60.0,100.0,3,14.3,3,73.8,0,100.0,21,21,66.6,100.0,17,81.0,17,1,2022
David Andrews,9948,C,NE,1,0,19,70.0,100.0,8,38.1,8,64.1,0,100.0,21,21,56.6,100.0,11,52.4,11,1,2022
Morgan Moses,8701,T,BLT,1,0,3,42.2,100.0,15,71.4,15,57.1,0,100.0,21,21,85.6,100.0,3,14.3,3,1,2022
Kevin Zeitler,7032,G,BLT,1,0,3,61.3,100.0,15,71.4,15,64.2,0,100.0,21,21,66.0,100.0,3,14.3,3,1,2022
Tyler Linderbaum,82291,C,BLT,1,0,3,65.9,100.0,15,71.4,15,73.4,0,100.0,21,21,64.3,100.0,3,14.3,3,1,2022
Michael Onwenu,27357,G,NE,1,0,19,57.1,100.0,8,38.1,8,63.0,0,100.0,21,21,66.3,100.0,11,52.4,11,1,2022
Orlando Brown Jr.,46227,T,KC,1,0,16,53.1,100.0,3,14.3,3,76.8,0,100.0,21,21,83.9,100.0,17,81.0,17,1,2022
Olamide Zaccheaus,44920,WR,ATL,1,0,2,54.5,100.0,11,52.4,11,49.0,0,100.0,21,21,54.4,100.0,9,42.9,9,1,2022
Patrick Mahomes,11765,QB,KC,1,0,16,60.0,100.0,3,14.3,3,60.0,0,100.0,21,21,60.0,100.0,17,81.0,17,1,2022
Trent Brown,9677,T,NE,1,0,19,81.2,100.0,8,38.1,8,70.4,0,100.0,21,21,57.0,100.0,11,52.4,11,1,2022
DeVante Parker,9447,WR,NE,1,0,19,58.7,100.0,8,38.1,8,58.6,0,100.0,21,21,59.9,100.0,11,52.4,11,1,2022
Mason Cole,45547,C,PIT,1,0,25,49.4,100.0,5,25.0,5,49.4,0,100.0,20,20,55.4,100.0,8,40.0,8,1,2022
Jawaan Taylor,41665,T,JAX,1,0,15,70.0,100.0,5,25.0,5,53.0,0,100.0,20,20,45.2,100.0,13,65.0,13,1,2022
Josh Wells,8968,T,TB,1,0,30,71.1,100.0,9,45.0,9,80.6,0,100.0,20,20,69.3,100.0,6,30.0,6,1,2022
Mitch Morse,9482,C,BUF,1,0,4,57.9,100.0,9,45.0,9,65.0,0,100.0,20,20,69.1,100.0,9,45.0,9,1,2022
Cam Robinson,11789,T,JAX,1,0,15,57.8,100.0,5,25.0,5,75.5,0,100.0,20,20,81.1,100.0,13,65.0,13,1,2022
Dan Moore Jr.,60120,T,PIT,1,0,25,60.7,100.0,5,25.0,5,57.3,0,100.0,20,20,58.6,100.0,8,40.0,8,1,2022
James Daniels,45576,G,PIT,1,0,25,63.9,100.0,5,25.0,5,56.2,0,100.0,20,20,63.5,100.0,8,40.0,8,1,2022
Dion Dawkins,11818,T,BUF,1,0,4,69.6,100.0,9,45.0,9,64.6,0,100.0,20,20,72.7,100.0,9,45.0,9,1,2022
Mac Jones,60323,QB,NE,1,0,19,60.0,100.0,8,40.0,8,60.0,0,95.2,20,21,60.0,100.0,11,55.0,11,1,2022
Jahan Dotson,84375,WR,WAS,1,0,32,59.1,100.0,3,15.0,3,40.3,0,95.2,20,21,62.6,100.0,16,80.0,16,1,2022
Kylen Granson,40630,TE,IND,1,0,14,56.3,100.0,3,15.0,3,57.7,0,100.0,20,20,60.3,100.0,15,75.0,15,1,2022
Ben Bartch,84236,G,JAX,1,0,15,56.3,100.0,5,25.0,5,56.1,0,100.0,20,20,58.7,100.0,13,65.0,13,1,2022
Phil Haynes,29244,G,SEA,1,0,29,59.3,100.0,3,15.0,3,54.9,1,100.0,20,20,71.4,100.0,11,55.0,11,1,2022
Josh Reynolds,11872,WR,DET,1,0,11,74.5,100.0,17,85.0,17,73.7,0,100.0,20,20,60.2,100.0,3,15.0,3,1,2022
Chukwuma Okorafor,46302,T,PIT,1,0,25,63.2,100.0,5,25.0,5,68.7,0,100.0,20,20,58.7,100.0,8,40.0,8,1,2022
Daniel Bellinger,84041,TE,NYG,1,0,21,69.2,100.0,14,70.0,14,68.7,0,100.0,20,20,62.3,100.0,5,25.0,5,1,2022
Charles Cross,98401,T,SEA,1,0,29,53.7,100.0,3,15.0,3,64.8,0,100.0,20,20,71.7,100.0,11,55.0,11,1,2022
Gabe Jackson,8716,G,SEA,1,0,29,67.4,100.0,3,15.0,3,70.3,0,100.0,20,20,68.3,100.0,11,55.0,11,1,2022
Austin Blythe,10882,C,SEA,1,0,29,51.5,100.0,3,15.0,3,36.3,0,100.0,20,20,46.1,100.0,11,55.0,11,1,2022
Kevin Dotson,46735,G,PIT,1,0,25,58.0,100.0,5,25.0,5,50.1,0,100.0,20,20,48.8,100.0,8,40.0,8,1,2022
Abraham Lucas,60218,T,SEA,1,0,29,52.6,100.0,3,15.0,3,73.1,1,100.0,20,20,81.8,100.0,11,55.0,11,1,2022
Brandon Scherff,9438,G,JAX,1,0,15,56.9,100.0,5,25.0,5,52.2,0,100.0,20,20,52.7,100.0,13,65.0,13,1,2022
Ryan Bates,28300,G,BUF,1,0,4,55.7,100.0,9,45.0,9,70.4,0,100.0,20,20,79.9,100.0,9,45.0,9,1,2022
Luke Fortner,42028,C,JAX,1,0,15,59.6,100.0,5,25.0,5,53.6,1,100.0,20,20,53.2,100.0,13,65.0,13,1,2022
Spencer Brown,42296,T,BUF,1,0,4,66.8,100.0,9,45.0,9,61.3,0,100.0,20,20,55.7,100.0,9,45.0,9,1,2022
Noah Gray,60878,TE,KC,1,0,16,79.1,100.0,5,25.0,5,68.4,0,100.0,20,20,58.8,100.0,14,70.0,14,1,2022
Terry McLaurin,48229,WR,WAS,1,0,32,60.0,100.0,3,15.0,3,60.5,0,100.0,20,20,60.5,100.0,13,65.0,13,1,2022
Richie James Jr.,28991,WR,NYG,1,0,21,61.6,100.0,14,73.7,14,62.2,0,95.0,19,20,60.8,100.0,5,26.3,5,1,2022
Cesar Ruiz,59857,G,NO,1,0,20,65.3,100.0,7,36.8,7,47.4,0,100.0,19,19,48.8,100.0,12,63.2,12,1,2022
Gabriel Davis,55410,WR,BUF,1,0,4,59.7,100.0,9,47.4,9,56.8,0,100.0,19,19,55.4,100.0,9,47.4,9,1,2022
D.J. Humphries,9457,T,ARZ,1,0,1,66.6,100.0,6,31.6,6,67.6,0,100.0,19,19,66.3,100.0,8,42.1,8,1,2022
Andrus Peat,9446,G,NO,1,0,20,45.2,100.0,7,36.8,7,43.2,0,100.0,19,19,49.8,100.0,12,63.2,12,1,2022
Mitchell Trubisky,11757,QB,PIT,1,0,25,60.0,100.0,5,26.3,5,60.0,0,95.0,19,20,60.0,100.0,8,42.1,8,1,2022
Jameis Winston,9434,QB,NO,1,0,20,60.0,100.0,7,36.8,7,61.3,0,100.0,19,19,60.0,100.0,12,63.2,12,1,2022
Cameron Brate,9207,TE,TB,1,0,30,62.7,100.0,9,47.4,9,59.7,0,100.0,19,19,56.8,100.0,4,21.1,4,1,2022
Garett Bolles,11775,T,DEN,1,0,10,56.1,100.0,5,26.3,5,59.1,0,100.0,19,19,61.2,100.0,14,73.7,14,1,2022
James Hurst,9001,T,NO,1,0,20,60.1,100.0,7,36.8,7,58.6,0,100.0,19,19,58.2,100.0,12,63.2,12,1,2022
Ryan Ramczyk,11787,T,NO,1,0,20,57.5,100.0,7,36.8,7,70.6,0,100.0,19,19,76.8,100.0,12,63.2,12,1,2022
Nick Westbrook-Ikhine,47861,WR,TEN,1,0,31,47.9,100.0,8,42.1,8,51.4,0,100.0,19,19,60.7,100.0,9,47.4,9,1,2022
D.J. Chark Jr.,47702,WR,DET,1,0,11,78.1,100.0,17,89.5,17,77.3,0,100.0,19,19,60.0,100.0,2,10.5,2,1,2022
Trevor Lawrence,77632,QB,JAX,1,0,15,60.0,80.0,4,21.1,5,60.0,0,95.0,19,20,60.0,100.0,13,68.4,13,1,2022
Cameron Fleming,8775,T,DEN,1,0,10,90.9,100.0,5,26.3,5,82.2,0,100.0,19,19,65.5,100.0,14,73.7,14,1,2022
Dalton Schultz,47304,TE,DAL,1,0,9,58.8,100.0,6,31.6,6,49.9,0,100.0,19,19,58.3,100.0,11,57.9,11,1,2022
