player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr,week,year
CeeDee Lamb,61570,WR,DAL,1,10,0,9,0,-3.0,0,0.0,,0,0,,0,0,0,,49.8,0,0,0.0,0,3,0,100.0,3,39.6,1,10.0,0,0,0,,,0.0,7.8,0,40.0,50.0,1,2,0.0,0,2,0,28.6,49.1,0,16,0.0,0,31,2,93.5,29,59.6,5,50.0,0,29,8,4.0,14.5,1.0,1,2022
Christian Kirk,47546,WR,JAX,1,10,0,15,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,12.9,1,60.0,,0,0,0.0,0,3,0,79.4,83.4,1,49,0.0,0,39,6,94.9,37,61.2,10,100.0,0,117,50,8.3,19.5,3.16,1,2022
Curtis Samuel,11795,WR,WAS,1,10,0,32,0,-3.7,0,100.0,,0,0,0.0,0,1,0,90.2,82.4,0,11,0.0,0,7,3,85.7,6,81.9,3,30.0,0,11,22,7.3,3.7,1.83,2.5,2,75.0,,0,0,0.0,0,2,0,84.1,89.0,0,12,0.0,0,29,3,79.3,23,129.2,4,40.0,1,24,18,6.0,8.0,1.04,1,2022
Diontae Johnson,33441,WR,PIT,1,10,0,25,0,,0,,,0,0,,0,0,0,,49.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,76.5,68.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,1,2022
Justin Jefferson,61398,WR,MIN,1,10,0,18,0,,0,,,0,0,,0,0,0,,49.3,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,12.5,1,100.0,,0,0,0.0,0,3,0,79.4,85.6,0,64,0.0,0,12,4,100.0,12,158.3,4,40.0,1,96,46,11.5,24.0,8.0,1,2022
Corey Davis,11760,WR,NYJ,1,9,0,22,0,,0,,,0,0,,0,0,0,,49.7,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,12.5,0,75.0,100.0,1,1,25.0,1,3,0,38.4,67.5,0,17,0.0,0,8,3,100.0,8,102.1,4,44.4,0,36,1,0.3,12.0,4.5,1,2022
Noah Brown,11993,WR,DAL,1,9,0,9,0,,0,,,0,0,,0,0,0,,51.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,11.5,0,75.0,100.0,1,1,0.0,0,3,0,77.3,72.1,1,22,0.0,0,14,3,100.0,14,77.1,4,44.4,0,52,20,6.7,17.3,3.71,1,2022
Pat Freiermuth,84085,TE,PIT,1,9,0,25,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,66.0,0,3,50.0,1,2,1,50.0,1,79.2,1,11.1,0,3,3,3.0,3.0,3.0,10.8,2,40.0,0.0,0,1,0.0,0,2,0,76.5,78.6,0,26,0.0,0,8,2,100.0,8,65.4,5,55.6,0,36,10,5.0,18.0,4.5,1,2022
Kyle Philips,84463,WR,TEN,1,9,0,31,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,7.7,0,66.7,100.0,2,2,20.0,1,2,0,58.5,74.3,0,21,0.0,0,17,4,76.5,13,84.0,6,66.7,0,38,5,1.3,9.5,2.92,1,2022
Greg Dortch,42237,WR,ARZ,1,9,0,1,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,54.9,0,4,0.0,0,4,1,100.0,4,83.3,1,11.1,0,4,6,6.0,4.0,1.0,7.7,2,83.3,0.0,0,1,0.0,0,3,0,78.7,65.1,0,24,0.0,0,36,5,94.4,34,105.6,6,66.7,0,56,24,4.8,11.2,1.65,1,2022
Stefon Diggs,9579,WR,BUF,1,9,0,4,0,,0,,,0,0,,0,0,0,,52.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,3.0,0,100.0,,0,0,0.0,0,1,0,80.0,86.2,0,12,0.0,0,9,2,100.0,9,97.9,2,22.2,0,15,9,4.5,7.5,1.67,1,2022
Tyler Higbee,10744,TE,LA,1,9,0,26,0,-2.0,0,50.0,,0,0,50.0,1,1,0,24.1,51.5,0,10,0.0,0,5,1,100.0,5,64.6,2,22.2,0,10,13,13.0,10.0,2.0,2.5,0,100.0,,0,0,0.0,0,2,0,29.5,65.8,0,5,0.0,0,14,2,100.0,14,85.4,2,22.2,0,9,4,2.0,4.5,0.64,1,2022
Zay Jones,11792,WR,JAX,1,9,0,15,0,,0,,,0,0,,0,0,0,,56.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,15.5,0,50.0,0.0,0,1,0.0,0,0,0,78.0,68.2,0,3,0.0,0,14,1,100.0,14,56.3,2,22.2,0,3,0,0.0,3.0,0.21,1,2022
Travis Kelce,7844,TE,KC,1,9,0,16,0,,0,,,0,0,,0,0,0,,50.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,10.5,0,50.0,,0,0,0.0,0,1,0,80.6,91.6,0,26,0.0,0,11,1,100.0,11,95.8,2,22.2,0,26,13,13.0,26.0,2.36,1,2022
Michael Thomas,10681,WR,NO,1,8,0,20,0,,0,,,0,0,,0,0,0,,52.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,11.0,0,100.0,100.0,1,1,0.0,0,1,0,76.5,81.1,0,21,0.0,0,6,2,100.0,6,118.8,2,25.0,0,25,3,1.5,12.5,4.17,1,2022
D.J. Chark Jr.,47702,WR,DET,1,8,0,11,0,,0,,,0,0,,0,0,0,,49.6,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,27.9,56.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,1,2022
Mark Andrews,47436,TE,BLT,1,8,0,3,0,,0,,,0,0,,0,0,0,,47.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,12.5,0,62.5,0.0,0,1,0.0,0,3,0,78.0,73.0,0,17,0.0,0,23,5,95.7,22,81.3,8,100.0,0,52,12,2.4,10.4,2.36,1,2022
Dalton Schultz,47304,TE,DAL,1,8,0,9,0,,0,,,0,0,,0,0,0,,47.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,9.0,0,66.7,,0,0,0.0,0,0,0,79.4,68.1,0,13,0.0,0,22,2,95.5,21,93.8,3,37.5,0,26,1,0.5,13.0,1.24,1,2022
Jarvis Landry,8698,WR,NO,1,8,0,20,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,11.9,3,85.7,0.0,0,1,0.0,0,3,0,80.0,84.7,0,31,0.0,0,28,6,92.9,26,110.7,7,87.5,0,74,13,2.2,12.3,2.85,1,2022
Michael Carter,57337,HB,NYJ,1,8,0,22,0,-5.0,1,100.0,,0,0,0.0,0,1,0,84.5,97.8,0,8,33.3,1,3,2,66.7,2,83.3,2,25.0,0,8,18,9.0,4.0,4.0,-4.0,1,100.0,,0,0,0.0,0,1,0,41.1,50.9,0,8,0.0,0,3,1,100.0,3,100.0,1,12.5,0,8,12,12.0,8.0,2.67,1,2022
Breece Hall,97636,HB,NYJ,1,8,0,22,0,-1.0,0,0.0,,0,0,100.0,1,0,0,21.6,20.2,0,0,0.0,0,3,0,100.0,3,39.6,1,12.5,0,0,0,,,0.0,,0,,,0,0,,0,0,0,38.4,29.9,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,1,2022
JuJu Smith-Schuster,11817,WR,KC,1,8,0,16,0,,0,,,0,0,,0,0,0,,52.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,13.3,0,100.0,,0,0,0.0,0,2,1,79.4,57.5,0,20,0.0,0,15,3,86.7,13,118.8,3,37.5,0,57,17,5.7,19.0,4.38,1,2022
Joe Mixon,11803,HB,CIN,1,8,0,7,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,67.3,0,0,0.0,0,3,1,100.0,3,79.2,1,12.5,0,0,4,4.0,0.0,0.0,1.0,0,100.0,,0,0,0.0,0,0,0,79.4,79.7,0,9,0.0,0,2,1,100.0,2,104.2,1,12.5,0,9,8,8.0,9.0,4.5,1,2022
Garrett Wilson,97405,WR,NYJ,1,8,0,22,0,-1.0,1,100.0,,0,0,0.0,0,0,0,78.7,91.6,0,9,0.0,0,3,1,100.0,3,104.2,1,12.5,0,9,10,10.0,9.0,3.0,10.0,2,100.0,,0,0,0.0,0,1,0,74.6,69.4,0,19,0.0,0,12,2,91.7,11,118.8,2,25.0,0,28,8,4.0,14.0,2.55,1,2022
Antonio Gibson,78050,HB,WAS,1,8,0,32,0,-5.0,0,0.0,,0,0,,0,0,0,,47.3,1,0,33.3,2,6,0,50.0,3,0.0,1,12.5,0,0,0,,,0.0,,0,,,0,0,,0,0,0,76.5,74.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,1,2022
Robbie Anderson,11254,WR,CAR,1,7,0,5,0,-2.0,0,100.0,,0,0,0.0,0,0,0,84.5,53.5,0,12,0.0,0,8,2,87.5,7,100.0,2,28.6,0,16,20,10.0,8.0,2.29,,0,,,0,0,,0,0,0,75.6,61.8,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,1,2022
Elijah Moore,84302,WR,NYJ,1,7,0,22,0,,0,,,0,0,,0,0,0,,50.0,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,1.0,0,100.0,,0,0,0.0,0,0,0,77.3,54.0,0,8,0.0,0,19,1,94.7,18,100.0,1,14.3,0,8,7,7.0,8.0,0.44,1,2022
Hayden Hurst,47294,TE,CIN,1,7,0,7,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,57.1,0,1,0.0,0,2,1,100.0,2,79.2,1,14.3,0,1,1,1.0,1.0,0.5,,0,,,0,0,,0,0,0,75.6,62.3,0,0,5.6,1,18,0,88.9,16,0.0,0,0.0,0,0,0,,,0.0,1,2022
Deebo Samuel,48274,WR,SF,1,7,0,28,0,-3.3,2,66.7,,0,0,0.0,0,0,0,84.5,92.8,0,8,0.0,0,7,2,100.0,7,77.1,3,42.9,0,14,19,9.5,7.0,2.0,0.7,1,33.3,,0,0,66.7,2,0,0,27.3,49.4,0,6,0.0,0,10,1,100.0,10,42.4,3,42.9,0,6,10,10.0,6.0,0.6,1,2022
Courtland Sutton,48164,WR,DEN,1,7,0,10,0,,0,,,0,0,,0,0,0,,48.8,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,19.0,0,100.0,,0,0,0.0,0,1,0,74.6,69.4,0,18,0.0,0,9,1,100.0,9,118.8,1,14.3,0,18,-1,-1.0,18.0,2.0,1,2022
Jerry Jeudy,61103,WR,DEN,1,7,0,10,0,,0,,,0,0,,0,0,0,,47.9,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,10.8,2,60.0,50.0,1,2,25.0,1,2,0,45.8,74.5,0,67,0.0,0,30,3,93.3,28,143.8,5,71.4,1,88,56,18.7,29.3,3.14,1,2022
T.J. Hockenson,40912,TE,DET,1,7,0,11,0,-3.0,1,100.0,,0,0,0.0,0,1,0,78.7,97.2,0,16,66.7,2,3,1,33.3,1,118.8,1,14.3,0,16,19,19.0,16.0,16.0,5.0,1,66.7,,0,0,0.0,0,2,0,74.6,76.6,1,16,0.0,0,11,2,90.9,10,55.6,3,42.9,0,27,21,10.5,13.5,2.7,1,2022
Kyle Pitts,83964,TE,ATL,1,7,0,2,0,,0,,,0,0,,0,0,0,,49.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,10.5,0,25.0,0.0,0,1,0.0,0,0,0,70.5,55.6,0,8,0.0,0,11,1,100.0,11,39.6,4,57.1,0,8,3,3.0,8.0,0.73,1,2022
Mike Evans,8642,WR,TB,1,7,0,30,0,,0,,,0,0,,0,0,0,,50.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,12.0,0,0.0,,0,0,,0,0,0,74.6,78.8,1,0,0.0,0,9,0,100.0,9,0.0,2,28.6,0,0,0,,,0.0,1,2022
Tyler Boyd,10689,WR,CIN,1,7,0,7,0,,0,,,0,0,,0,0,0,,46.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,14.2,0,50.0,0.0,0,1,0.0,0,2,0,75.6,56.3,3,22,0.0,0,52,3,90.4,47,25.7,6,85.7,0,31,1,0.3,10.3,0.66,1,2022
D.K. Metcalf,47864,WR,SEA,1,7,0,29,0,-2.5,1,100.0,,0,0,0.0,0,0,1,84.5,20.7,0,1,0.0,0,3,2,100.0,3,79.2,2,28.6,0,-7,-2,-1.0,-3.5,-2.33,,0,,,0,0,,0,0,0,76.5,52.0,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,1,2022
Rex Burkhead,7971,HB,HST,1,7,0,13,0,-2.3,0,66.7,,0,0,33.3,1,0,0,25.8,26.7,0,8,0.0,0,4,2,100.0,4,75.7,3,42.9,0,13,20,10.0,6.5,3.25,-1.0,0,100.0,,0,0,0.0,0,0,0,29.2,41.4,0,8,0.0,0,2,2,100.0,2,97.9,2,28.6,0,15,17,8.5,7.5,7.5,1,2022
Saquon Barkley,45791,HB,NYG,1,7,0,21,0,-2.0,0,100.0,,0,0,0.0,0,0,0,88.7,97.5,0,6,0.0,0,3,1,33.3,1,91.7,1,14.3,0,6,8,8.0,6.0,6.0,13.0,0,0.0,0.0,0,1,,0,0,0,80.6,82.2,1,0,0.0,0,1,0,100.0,1,0.0,1,14.3,0,0,0,,,0.0,1,2022
Drake London,86519,WR,ATL,1,7,0,2,0,,0,,,0,0,,0,0,0,,49.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,72.1,69.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,1,2022
A.J. Dillon,57165,HB,GB,1,6,0,12,0,-5.0,0,100.0,,0,0,0.0,0,0,0,84.5,97.7,0,9,0.0,0,3,2,100.0,3,97.9,2,33.3,0,15,25,12.5,7.5,5.0,-6.0,0,100.0,,0,0,0.0,0,0,0,38.4,85.8,0,9,0.0,0,2,1,100.0,2,104.2,1,16.7,0,9,15,15.0,9.0,4.5,1,2022
Zack Moss,40341,HB,BUF,1,6,0,4,0,-5.0,3,100.0,,0,0,0.0,0,0,0,78.7,80.1,0,4,0.0,0,1,1,100.0,1,83.3,1,16.7,0,4,9,9.0,4.0,4.0,,0,,,0,0,,0,0,0,76.5,75.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,1,2022
Mecole Hardman,42683,WR,KC,1,6,0,16,0,,0,,,0,0,,0,0,0,,50.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,16.6,0,40.0,,0,0,0.0,0,2,0,72.1,60.5,0,8,0.0,0,17,2,94.1,16,87.5,5,83.3,1,10,8,4.0,5.0,0.63,1,2022
Kylen Granson,40630,TE,IND,1,6,0,14,0,,0,,,0,0,,0,0,0,,46.1,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,8.0,0,33.3,,0,0,50.0,1,0,0,28.7,39.9,0,7,0.0,0,13,1,100.0,13,42.4,3,50.0,0,7,4,4.0,7.0,0.54,1,2022
Amari Cooper,9437,WR,CLV,1,6,0,8,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,56.8,0,2,0.0,0,4,1,100.0,4,79.2,1,16.7,0,2,4,4.0,2.0,0.5,,0,,,0,0,,0,0,0,73.4,53.0,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,1,2022
Darren Waller,9637,TE,LV,1,6,0,23,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,10.3,0,33.3,,0,0,0.0,0,1,0,73.4,64.4,1,10,4.0,1,25,1,92.0,23,4.2,3,50.0,0,10,5,5.0,10.0,0.43,1,2022
Marquise Brown,61568,WR,ARZ,1,6,0,1,0,,0,,,0,0,,0,0,0,,48.7,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,12.0,0,100.0,,0,0,0.0,0,1,0,74.6,65.3,0,6,0.0,0,8,1,100.0,8,131.3,1,16.7,1,6,0,0.0,6.0,0.75,1,2022
Ashton Dulin,91479,WR,IND,1,6,0,14,0,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,12.0,0,0.0,,0,0,,0,0,0,72.1,71.9,0,0,0.0,0,5,0,100.0,5,39.6,1,16.7,0,0,0,,,0.0,1,2022
Jonathan Taylor,57488,HB,IND,1,6,0,14,0,-4.5,0,50.0,,0,0,0.0,0,0,0,84.5,93.5,1,3,0.0,0,3,1,66.7,2,16.7,2,33.3,0,3,7,7.0,3.0,1.5,,0,,,0,0,,0,0,0,76.5,65.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,1,2022
Jakobi Meyers,47468,WR,NE,1,6,0,19,0,,0,,,0,0,,0,0,0,,52.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,21.3,0,66.7,100.0,2,2,0.0,0,2,0,73.4,73.9,0,27,0.0,0,21,2,95.2,20,109.7,3,50.0,0,39,0,0.0,19.5,1.95,1,2022
Marvin Jones Jr.,7158,WR,JAX,1,6,0,15,0,,0,,,0,0,,0,0,0,,52.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,75.6,59.5,0,0,0.0,0,5,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0,1,2022
Nyheim Hines,48103,HB,IND,1,6,0,14,0,-6.0,0,100.0,,0,0,0.0,0,1,0,84.5,90.5,0,11,0.0,0,4,2,100.0,4,91.7,2,33.3,0,12,24,12.0,6.0,3.0,8.0,0,100.0,,0,0,0.0,0,1,0,80.0,92.8,0,15,0.0,0,4,1,100.0,4,118.8,1,16.7,0,15,7,7.0,15.0,3.75,1,2022
Jauan Jennings,48027,WR,SF,1,6,0,28,0,,0,,,0,0,,0,0,0,,46.8,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,10.4,0,80.0,,0,0,0.0,0,2,0,75.6,80.6,0,44,0.0,0,17,4,94.1,16,118.3,5,83.3,0,62,18,4.5,15.5,3.88,1,2022
Bennett Skowronek,27948,WR,LA,1,6,0,26,0,,0,,,0,0,,0,0,0,,48.9,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,7.0,0,100.0,,0,0,0.0,0,1,0,73.4,54.2,0,12,0.0,0,25,1,100.0,25,116.7,1,16.7,0,12,5,5.0,12.0,0.48,1,2022
Richie James Jr.,28991,WR,NYG,1,6,0,21,0,,0,,,0,0,,0,0,0,,47.6,0,0,0.0,0,3,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0,12.3,0,66.7,,0,0,0.0,0,1,0,75.6,60.8,0,14,0.0,0,16,2,87.5,14,86.8,3,50.0,0,21,2,1.0,10.5,1.5,1,2022
Hunter Renfrow,47509,WR,LV,1,6,0,23,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,6.4,0,40.0,,0,0,0.0,0,1,1,74.6,52.4,1,9,0.0,0,36,2,94.4,34,9.2,5,83.3,0,16,7,3.5,8.0,0.47,1,2022
Romeo Doubs,84329,WR,GB,1,5,0,12,0,1.0,0,100.0,,0,0,0.0,0,0,0,78.7,54.2,0,2,0.0,0,4,1,100.0,4,79.2,1,20.0,0,2,1,1.0,2.0,0.5,7.0,0,100.0,,0,0,0.0,0,1,0,76.5,66.3,0,23,0.0,0,8,3,100.0,8,105.6,3,60.0,0,28,7,2.3,9.3,3.5,1,2022
Darrell Henderson,41193,HB,LA,1,5,0,26,0,,0,,,0,0,,0,0,0,,45.2,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.0,55.4,0,1,0.0,0,8,1,87.5,7,79.2,1,20.0,0,1,5,5.0,1.0,0.14,1,2022
Tyler Conklin,47124,TE,NYJ,1,5,0,22,0,,0,,,0,0,,0,0,0,,44.3,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,3.8,0,100.0,100.0,1,1,0.0,0,1,1,54.5,45.3,0,6,0.0,0,24,4,91.7,22,122.9,4,80.0,1,16,1,0.3,4.0,0.73,1,2022
Nelson Agholor,9453,WR,NE,1,5,0,19,0,-4.0,0,100.0,,0,0,0.0,0,1,0,78.7,94.3,0,17,0.0,0,2,1,100.0,2,118.8,1,20.0,0,17,21,21.0,17.0,8.5,,0,,,0,0,,0,0,0,73.4,45.9,0,0,25.0,1,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,1,2022
Braxton Berrios,47961,WR,NYJ,1,5,0,22,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,60.0,0,3,0.0,0,2,1,100.0,2,79.2,1,20.0,0,3,7,7.0,3.0,1.5,2.6,0,100.0,100.0,1,1,0.0,0,2,0,74.6,59.1,0,13,0.0,0,24,5,91.7,22,97.5,5,100.0,0,37,24,4.8,7.4,1.68,1,2022
