player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year
Marcus Mariota,9435,QB,ATL,1,8,1,0,0.0,0,0,34,0,0,1,12.0,18.8,2,3,2,2,4,22.9,58.9,79.6,59.8,,,56.2,60.0,16,0,0,0,0,36,38,4,0,8,1,72,14,1.17,6.0,,2,1,2022
Jamaal Williams,11889,HB,DET,1,11,1,0,0.0,0,0,28,1,0,1,18.0,13.6,0,3,11,0,9,74.1,56.6,72.8,,69.4,29.6,63.6,60.0,7,0,2,1,10,12,0,0,2,12,2,28,18,1.64,2.5,0.2,2,1,2022
Kenyan Drake,10707,HB,BLT,1,11,0,0,0.0,0,0,31,0,1,0,20.0,15.2,0,1,3,0,10,74.5,56.7,75.0,,77.9,61.4,55.7,60.0,8,0,15,1,15,16,0,0,1,12,0,31,20,1.82,2.8,1.0,1,1,2022
Justin Fields,82118,QB,CHI,1,7,2,0,0.0,0,1,0,0,0,1,5.0,10.2,1,3,6,0,0,77.9,44.2,78.6,34.6,,,65.9,60.0,12,1,0,0,0,34,28,4,0,7,0,28,26,2.36,2.5,,4,1,2022
Dameon Pierce,83659,HB,HST,1,11,2,0,0.0,0,0,33,0,0,2,33.0,50.0,0,2,13,0,7,74.1,60.8,73.0,,58.8,56.3,61.6,,8,0,6,1,5,11,0,0,1,12,0,33,33,3.0,3.0,1.2,4,1,2022
James Robinson,22425,HB,JAX,1,11,3,1,33.3,22,0,66,0,0,3,46.0,104.5,2,3,15,0,3,74.5,74.8,75.8,,58.5,63.3,75.8,60.0,22,0,3,1,15,13,0,0,2,12,1,66,46,4.18,6.0,0.2,8,1,2022
Kareem Hunt,11841,HB,CLV,1,11,4,1,52.2,24,0,46,0,1,4,51.0,154.5,1,3,8,0,7,74.9,67.5,80.2,,67.1,64.1,67.9,58.5,24,0,24,4,22,14,0,0,4,15,1,46,51,4.64,4.2,1.09,3,1,2022
Josh Jacobs,45953,HB,LV,1,10,7,1,31.6,18,0,57,0,1,7,46.0,334.5,1,1,23,0,7,73.6,62.3,75.9,,17.6,55.3,71.7,,18,0,16,1,17,10,0,0,1,11,0,57,46,4.6,5.7,0.94,2,1,2022
A.J. Dillon,57165,HB,GB,1,10,1,0,0.0,0,0,45,1,1,1,32.0,42.7,2,4,12,0,4,74.7,76.7,76.7,,80.7,79.0,70.5,60.0,14,0,46,5,16,12,0,0,6,15,1,45,32,3.2,4.5,2.88,6,1,2022
James Conner,11860,HB,ARZ,1,10,2,0,0.0,0,0,30,0,1,2,21.0,42.0,0,3,1,1,3,23.1,55.4,79.3,,63.3,61.2,51.9,59.2,8,0,29,5,27,13,0,0,5,15,1,30,21,2.1,3.0,1.07,6,1,2022
Christian McCaffrey,11763,HB,CAR,1,10,2,0,0.0,0,0,33,0,1,2,36.0,77.1,0,3,5,0,6,74.7,79.5,76.7,,78.1,76.5,77.1,61.4,9,0,24,4,24,15,0,0,4,14,1,33,36,3.6,3.3,1.0,4,1,2022
Michael Carter,57337,HB,NYJ,1,10,3,2,68.3,41,0,60,1,1,3,33.0,77.6,2,2,22,0,4,75.5,67.3,78.3,,50.8,62.8,70.5,60.0,22,0,40,7,26,12,0,0,8,17,0,60,33,3.3,6.0,1.54,6,1,2022
Ezekiel Elliott,10638,HB,DAL,1,10,0,0,0.0,0,0,52,1,0,0,34.0,0.0,0,3,9,0,4,73.6,66.1,78.0,,35.9,30.9,78.6,60.0,7,0,-3,1,18,13,0,0,2,11,0,52,34,3.4,5.2,-0.17,6,1,2022
Josh Allen,46601,QB,BUF,1,5,2,0,0.0,0,0,16,0,0,2,11.0,88.0,1,4,4,0,3,79.8,91.5,78.7,90.3,,,74.6,60.0,13,0,0,0,0,20,40,5,0,5,1,56,27,2.7,5.6,,1,1,2022
Najee Harris,57121,HB,PIT,1,10,2,0,0.0,0,0,23,0,0,2,21.0,35.0,1,1,25,0,4,73.9,56.5,78.3,,69.6,62.4,53.5,60.0,11,0,3,2,15,13,0,0,2,12,0,23,21,2.1,2.3,0.2,6,1,2022
Khalil Herbert,41668,HB,CHI,1,9,1,0,0.0,0,0,45,0,0,1,20.0,22.2,2,3,6,0,3,73.1,64.4,72.2,,,61.4,63.8,60.0,12,0,-2,1,4,12,0,0,1,10,1,45,20,2.22,5.0,-0.5,6,1,2022
Jeff Wilson Jr.,29413,HB,SF,1,9,0,0,0.0,0,0,22,0,2,0,16.0,32.3,0,0,28,0,5,73.4,56.0,75.9,,79.9,55.3,60.0,41.3,5,0,8,2,17,18,0,0,2,11,0,22,16,1.78,2.4,0.47,4,1,2022
Damien Harris,35134,HB,NE,1,9,2,0,0.0,0,0,48,0,2,2,36.0,145.5,2,2,19,0,3,73.4,64.9,73.9,,74.4,68.2,62.6,60.0,12,0,10,2,10,10,0,0,2,11,0,48,36,4.0,5.3,1.0,6,1,2022
Alvin Kamara,11822,HB,NO,1,9,2,1,38.5,15,0,39,0,1,2,32.0,88.9,1,1,20,0,3,74.2,54.2,75.7,,9.8,64.7,64.6,,15,0,7,3,17,10,0,0,4,12,0,39,32,3.56,4.3,0.41,6,1,2022
Alexander Mattison,45817,HB,MIN,1,8,2,0,0.0,0,0,36,0,0,2,28.0,87.5,1,2,18,0,2,72.1,71.3,71.7,,,54.1,72.0,,10,0,0,0,6,8,0,0,0,8,0,36,28,3.5,4.5,0.0,6,1,2022
Deebo Samuel,48274,WR,SF,1,8,3,1,51.9,27,0,52,2,2,3,35.0,218.8,2,3,28,1,3,19.9,49.5,79.7,,,51.1,52.8,58.7,27,0,14,2,33,22,0,0,7,10,1,52,35,4.38,6.5,0.42,3,1,2022
Devin Singletary,40485,HB,BUF,1,8,1,0,0.0,0,0,48,0,1,1,26.0,65.0,2,2,4,0,2,72.9,66.5,79.6,,42.3,72.3,64.4,59.2,13,0,14,2,18,11,0,0,2,10,0,48,26,3.25,6.0,0.78,5,1,2022
Clyde Edwards-Helaire,57279,HB,KC,1,8,2,1,42.9,18,0,42,0,1,2,23.0,78.4,1,1,16,0,1,73.7,63.7,76.3,,81.1,79.9,55.2,,18,0,32,3,13,9,0,0,3,11,0,42,23,2.88,5.3,2.46,7,1,2022
Rhamondre Stevenson,98689,HB,NE,1,8,1,0,0.0,0,0,25,0,0,1,17.0,21.3,1,2,19,0,4,72.9,66.4,69.8,,73.0,62.4,65.1,,12,0,2,2,5,8,0,0,2,10,0,25,17,2.13,3.1,0.4,4,1,2022
Daniel Jones,39395,QB,NYG,1,4,0,0,0.0,0,0,5,0,0,0,0.0,0.0,1,2,21,1,2,78.2,57.4,0.0,62.6,,58.9,52.7,60.0,11,1,0,0,1,29,15,3,0,4,0,20,18,2.57,2.9,0.0,2,1,2022
Sony Michel,27589,HB,LAC,1,7,1,0,0.0,0,0,12,0,0,1,13.0,26.5,0,1,27,0,3,71.4,54.4,72.1,,,54.1,55.5,,6,0,0,0,9,7,0,0,0,7,0,12,13,1.86,1.7,0.0,4,1,2022
Javonte Williams,77803,HB,DEN,1,7,1,0,0.0,0,0,43,0,5,1,21.0,100.0,3,3,10,1,1,24.0,65.7,76.0,,17.1,87.0,56.2,,13,0,65,11,28,7,0,0,12,18,0,43,21,3.0,6.1,2.32,6,1,2022
Rachaad White,131633,HB,TB,1,6,1,0,0.0,0,0,14,0,0,1,7.0,14.6,0,1,30,0,4,71.6,45.2,73.2,,,61.8,43.8,60.0,5,0,7,2,7,10,0,0,2,8,0,14,7,1.17,2.3,1.0,2,1,2022
Geno Smith,7820,QB,SEA,1,5,0,0,0.0,0,0,0,0,0,0,2.0,0.0,1,1,29,1,1,79.4,84.3,78.4,78.3,,,78.1,60.0,14,0,0,0,0,20,14,1,0,5,0,14,3,0.5,2.3,,0,1,2022
Carson Wentz,10636,QB,WAS,1,3,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,0,0,32,0,0,81.1,67.6,79.7,68.7,,,53.6,60.0,8,0,0,0,0,25,14,3,0,3,0,12,0,0.0,2.0,,0,1,2022
Tony Pollard,27126,HB,DAL,1,6,0,0,0.0,0,0,8,0,0,0,13.0,0.0,0,0,9,0,1,72.7,61.3,78.2,,64.0,58.5,61.8,59.5,9,0,14,2,15,11,0,0,2,8,0,8,13,2.17,1.3,0.93,4,1,2022
Joe Burrow,28022,QB,CIN,1,1,0,0,0.0,0,0,2,0,0,0,0.0,0.0,1,3,7,2,0,43.8,53.7,80.6,51.5,,,66.3,60.0,23,0,0,0,0,29,45,5,0,1,0,47,12,2.0,7.8,,0,1,2022
Zack Moss,40341,HB,BUF,1,6,0,0,0.0,0,0,15,0,4,0,13.0,72.2,0,1,4,1,4,21.4,49.3,73.6,,73.0,73.3,37.4,60.0,8,0,21,6,14,7,0,0,6,12,0,15,13,2.17,2.5,1.5,2,1,2022
Chase Claypool,42312,WR,PIT,1,6,1,1,41.7,15,0,36,0,0,1,17.0,28.3,2,2,25,0,0,72.4,61.4,77.5,,68.1,59.4,63.7,57.6,15,0,18,4,38,17,0,0,5,10,0,36,17,2.83,6.0,0.47,0,1,2022
Lamar Jackson,46416,QB,BLT,1,4,2,0,0.0,0,0,8,0,0,0,4.0,0.0,0,2,3,0,2,79.4,77.0,78.4,72.1,,,73.6,60.0,8,0,0,0,0,21,9,2,0,4,0,17,23,3.83,2.8,,0,1,2022
