player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year
Nick Chubb,45783,HB,CLV,1,8.3,0,8,82.6,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,36,0,15,0,0,3,0,2,2022
Austin Ekeler,12164,HB,LAC,1,6.4,0,27,61.8,0.0,,0,1,3,8.8,8.8,83.3,0,1,0,3,0,0,0,47,3,34,0,0,0,0,2,2022
Anthony Firkser,51837,TE,ATL,1,23.1,0,2,52.2,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,13,0,10,0,0,3,1,2,2022
Dillon Radunz,30551,G,TEN,1,100.0,0,31,60.8,72.2,60.0,0,0,1,100.0,100.0,100.0,0,0,0,3,0,0,0,3,1,1,0,0,2,3,2,2022
KaVontae Turpin,47658,WR,DAL,1,60.0,0,9,56.2,,60.5,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,5,0,1,0,0,3,0,2,2022
Braxton Berrios,47961,WR,NYJ,1,18.8,0,22,47.9,,32.5,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,16,0,11,0,0,3,0,2,2022
Craig Reynolds,94383,HB,DET,1,33.3,0,11,66.1,,60.0,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,9,0,3,0,0,3,0,2,2022
Joe Fortson,94384,TE,KC,1,50.0,0,16,36.1,0.0,60.0,0,1,1,25.0,25.0,50.0,0,1,0,3,0,0,0,6,1,4,0,0,2,3,2,2022
Ty Johnson,45769,HB,NYJ,1,23.1,0,22,59.2,80.2,,0,0,3,23.1,23.1,100.0,0,0,0,3,0,0,0,13,3,13,0,0,0,7,2,2022
Travis Etienne,57185,HB,JAX,1,11.5,0,15,59.9,73.1,60.0,0,0,1,6.7,6.3,100.0,0,0,0,3,0,0,0,26,1,16,0,0,2,0,2,2022
Matt Breida,12271,HB,NYG,1,27.3,0,21,57.2,68.7,60.0,0,0,1,16.7,12.5,100.0,0,0,0,3,0,0,0,11,1,8,0,0,2,0,2,2022
Jeff Driskel,10841,QB,HST,1,66.7,0,13,68.8,,60.0,0,0,0,,,,0,0,0,2,0,0,0,3,0,0,0,0,2,0,2,2022
Trevon Wesco,42018,TE,CHI,1,100.0,0,6,60.2,,68.5,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2,2,2022
Tremayne Anchrum,41813,G,LA,1,100.0,0,26,60.0,68.6,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,2,0,1,0,2,2022
Nick Foles,7089,QB,IND,1,100.0,0,14,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,2022
Cam Sims,47908,WR,WAS,1,25.0,0,32,53.7,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,8,0,6,0,0,2,0,2,2022
Devery Hamilton,40636,T,NYG,1,100.0,0,21,60.0,,59.8,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2,2,2022
Kenneth Gainwell,77737,HB,PHI,1,10.5,0,24,57.3,75.0,60.0,0,0,1,7.7,6.3,100.0,0,0,0,2,0,0,0,19,1,16,0,0,1,0,2,2022
Antonio Williams,40197,HB,NYG,1,100.0,0,21,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,2022
Nick Bellore,6515,LB,SEA,1,100.0,0,29,60.0,75.7,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0,2,2022
Nick Allegretti,39268,G,KC,1,100.0,0,16,60.0,,66.3,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2,2,2022
Skyy Moore,97116,WR,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,2022
Kenneth Walker III,97199,HB,SEA,1,16.7,0,29,63.1,72.4,60.0,0,0,1,16.7,14.3,100.0,0,0,0,2,0,0,0,12,1,7,0,0,1,0,2,2022
Tony Pollard,27126,HB,DAL,1,8.3,0,9,68.6,77.4,,0,0,2,14.3,13.3,100.0,0,0,0,2,0,0,0,24,2,15,0,0,0,0,2,2022
Colton McKivitz,29314,T,SF,1,100.0,0,28,60.0,,59.8,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2,2,2022
Jaylen Warren,98692,HB,PIT,1,11.8,0,25,61.0,18.3,,0,0,2,15.4,15.4,100.0,0,0,0,2,0,0,0,17,2,13,0,0,0,0,2,2022
Damien Harris,35134,HB,NE,1,7.4,0,19,68.7,76.9,,0,0,2,18.2,16.7,100.0,0,0,0,2,0,0,0,27,2,12,0,0,0,0,2,2022
Tylan Wallace,61577,WR,BLT,1,22.2,0,3,55.1,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,9,0,7,0,0,2,0,2,2022
Mike Boone,31615,HB,DEN,1,28.6,0,10,55.7,,59.2,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,7,0,5,0,0,2,0,2,2022
Jelani Woods,60509,TE,IND,1,25.0,0,14,54.1,,59.6,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,8,0,6,0,0,2,4,2,2022
Jamison Crowder,9538,WR,BUF,1,10.5,0,4,60.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,19,0,17,0,0,2,0,2,2022
Jamal Agnew,11920,WR,JAX,1,28.6,0,15,34.3,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,7,0,3,0,0,2,0,2,2022
Clyde Edwards-Helaire,57279,HB,KC,1,8.0,0,16,68.0,72.4,60.0,0,0,0,0.0,6.3,,0,0,0,2,0,0,0,25,1,16,0,0,1,0,2,2022
Luke Farrell,42353,TE,JAX,1,66.7,0,15,56.2,,59.8,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,2,2,2022
Dare Ogunbowale,12329,HB,HST,1,100.0,0,13,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Dennis Houston,61295,WR,DAL,1,4.8,0,9,50.9,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,21,0,20,0,0,1,0,2,2022
Caleb Huntley,57156,HB,ATL,1,33.3,0,2,53.0,67.1,,0,0,1,50.0,50.0,100.0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,2,2022
Micheal Clemons,56872,ED,NYJ,1,100.0,0,22,60.0,63.8,,0,0,1,100.0,100.0,100.0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2022
DeeJay Dallas,55632,HB,SEA,1,50.0,0,29,11.4,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,0,2,2022
Taylor Lewan,8646,T,TEN,1,100.0,0,31,60.0,69.3,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,2022
Marcell Harris,51408,LB,NYJ,1,100.0,0,22,60.0,62.7,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2022
Luke Gifford,50675,LB,DAL,1,100.0,0,9,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Jacob Martin,50152,ED,NYJ,1,100.0,0,22,60.0,62.7,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2022
Jalen Reagor,61697,WR,MIN,1,10.0,0,18,59.1,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,10,0,8,0,0,1,0,2,2022
Christian Rozeboom,49862,LB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Ashtyn Davis,49560,S,NYJ,1,100.0,0,22,60.0,63.8,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2022
Kaylon Geiger,102929,WR,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Jake Gervase,49103,LB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Nick Scott,49012,S,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Rex Burkhead,7971,HB,HST,1,4.5,0,13,55.5,26.6,,0,0,1,4.8,4.5,100.0,0,0,0,1,0,0,0,22,1,22,0,0,0,0,2,2022
Cedrick Wilson,48170,WR,MIA,1,4.5,0,17,49.7,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,22,0,21,0,0,1,0,2,2022
Brandon Powell,48036,WR,LA,1,16.7,0,26,58.6,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,6,0,4,0,0,1,0,2,2022
Trey McBride,75916,TE,ARZ,1,100.0,0,1,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,2022
Kenyan Drake,10707,HB,BLT,1,6.7,0,3,48.5,17.7,,0,0,1,12.5,12.5,100.0,0,0,0,1,0,0,0,15,1,8,0,0,0,0,2,2022
Noah Togiai,47282,TE,PHI,1,100.0,0,24,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,2022
Joe Haeg,10789,T,CLV,1,100.0,0,8,60.0,62.1,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,2022
Michael Hoecht,108840,DI,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Jackson Barton,46978,T,LV,1,100.0,0,23,60.0,60.9,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,2,2022
Tutu Atwell,77965,WR,LA,1,50.0,0,26,57.1,,59.7,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,0,2,2022
Ernest Jones,81399,LB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
C.J. Ham,11347,FB,MIN,1,33.3,0,18,57.1,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,2022
Colby Gossett,46673,G,ATL,1,100.0,0,2,60.0,69.0,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,2,2022
Wes Martin,46087,G,WAS,1,100.0,0,32,60.0,70.0,,0,0,1,100.0,100.0,100.0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,2022
Jake Funk,45835,HB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Alexander Mattison,45817,HB,MIN,1,5.3,0,18,55.7,68.8,,0,0,1,5.9,5.9,100.0,0,0,0,1,0,0,0,19,1,17,0,0,0,1,2,2022
Jamien Sherwood,83175,LB,NYJ,1,100.0,0,22,60.0,62.7,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2022
Jared Bernhardt,156149,WR,ATL,1,50.0,0,2,57.9,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,0,2,2022
Isiah Pacheco,83747,HB,KC,1,20.0,0,16,59.8,25.3,,0,1,1,33.3,33.3,50.0,0,1,0,1,0,0,0,5,1,3,0,0,0,0,2,2022
Terrell Burgess,45255,S,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Taysom Hill,12112,TE,NO,1,16.7,0,20,56.6,69.6,,0,0,1,33.3,33.3,100.0,0,0,0,1,0,0,0,6,1,3,0,0,0,2,2,2022
Thomas Hennessy,12124,LS,NYJ,1,100.0,0,22,60.0,61.5,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2022
Kendrick Bourne,12270,WR,NE,1,4.2,0,19,70.9,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,24,0,23,0,0,1,0,2,2022
Rachaad White,131633,HB,TB,1,11.1,0,30,38.3,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,9,0,6,0,0,1,0,2,2022
Amari Rodgers,61212,WR,GB,1,100.0,0,12,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Devin Singletary,40485,HB,BUF,1,2.7,0,4,56.0,76.4,,0,0,1,3.4,3.2,100.0,0,0,0,1,0,0,0,37,1,31,0,0,0,0,2,2022
Zack Moss,40341,HB,BUF,1,7.7,0,4,65.0,73.5,,0,0,1,11.1,10.0,100.0,0,0,0,1,0,0,0,13,1,10,0,0,0,0,2,2022
Simi Fehoko,84424,WR,DAL,1,16.7,0,9,43.7,,60.0,0,0,0,0.0,0.0,,1,0,0,1,0,0,0,6,0,5,0,0,1,0,2,2022
Darius Slayton,25578,WR,NYG,1,25.0,0,21,56.3,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,4,0,3,0,0,1,0,2,2022
Jesper Horsted,91465,TE,LV,1,50.0,0,23,58.0,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,2,2,2022
Matt Orzech,94369,LS,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Josh Jones,26634,T,ARZ,1,100.0,0,1,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,2022
Charlie Heck,36501,T,HST,1,100.0,0,13,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,2022
Chase Daniel,5214,QB,LAC,1,100.0,0,27,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
D'Wayne Eskridge,29573,WR,SEA,1,16.7,0,29,57.0,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,6,0,5,0,0,1,0,2,2022
Jacob Harris,34255,WR,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Cornelius Lucas,9025,T,WAS,1,100.0,0,32,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,2022
Jake Hummel,57879,LB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2022
Dion Dawkins,11818,T,BUF,1,100.0,0,4,69.3,74.7,54.8,1,3,72,100.0,100.0,95.8,0,5,1,91,0,0,90,91,74,74,0,0,17,1,3,2022
Rodger Saffold,5558,G,BUF,1,100.0,0,4,41.7,44.4,36.5,0,3,72,100.0,100.0,97.9,0,3,0,91,0,91,0,91,74,74,0,0,17,0,3,2022
Will Hernandez,46180,G,ARZ,1,100.0,0,1,64.8,63.3,62.9,0,1,62,100.0,100.0,97.6,0,2,1,83,0,0,0,83,63,63,83,0,20,0,3,2022
Kelvin Beachum,7229,T,ARZ,1,100.0,0,1,67.4,75.3,54.9,1,1,62,100.0,100.0,96.8,0,3,1,83,0,0,0,83,63,63,0,83,20,0,3,2022
D.J. Humphries,9457,T,ARZ,1,100.0,0,1,68.5,82.4,46.0,0,0,62,100.0,100.0,100.0,1,0,0,83,0,0,83,83,63,63,0,0,20,0,3,2022
Rodney Hudson,6207,C,ARZ,1,100.0,0,1,63.3,73.2,57.2,0,0,62,100.0,100.0,100.0,1,0,0,83,83,0,0,83,63,63,0,0,20,0,3,2022
Laken Tomlinson,9461,G,NYJ,1,100.0,1,22,45.8,51.1,42.1,0,3,56,100.0,100.0,97.3,1,3,0,78,0,78,0,78,58,58,0,0,20,0,3,2022
Evan Brown,38709,G,DET,1,100.0,0,11,47.9,32.9,52.8,0,3,42,100.0,100.0,96.4,0,3,0,78,0,0,0,78,45,45,78,0,33,0,3,2022
Taylor Decker,10650,T,DET,1,100.0,0,11,59.3,76.2,44.6,1,2,42,100.0,100.0,96.4,0,3,0,78,0,0,74,78,45,45,0,4,33,0,3,2022
Penei Sewell,81788,T,DET,1,100.0,0,11,73.8,61.0,77.9,0,2,42,100.0,100.0,97.6,0,2,0,78,0,0,0,78,45,45,0,74,33,4,3,2022
Max Mitchell,81707,T,NYJ,1,100.0,0,22,69.8,65.1,72.1,1,1,56,100.0,100.0,98.2,0,2,0,78,0,0,0,78,58,58,0,78,20,0,3,2022
Connor McGovern,10778,C,NYJ,1,100.0,0,22,65.6,64.1,65.5,0,1,56,100.0,100.0,97.3,0,2,1,78,78,0,0,78,58,58,0,0,20,0,3,2022
Dan Skipper,12307,G,DET,1,100.0,0,11,51.7,40.7,55.2,0,3,42,100.0,100.0,96.4,0,3,0,78,0,78,0,78,45,45,0,0,33,0,3,2022
Alijah Vera-Tucker,57107,G,NYJ,1,100.0,0,22,71.2,58.3,75.3,3,1,56,100.0,100.0,94.6,0,5,1,78,0,0,0,78,58,58,78,0,20,0,3,2022
Frank Ragnow,39137,C,DET,1,100.0,0,11,65.8,76.5,61.5,0,0,42,100.0,100.0,100.0,0,0,0,78,78,0,0,78,45,45,0,0,33,0,3,2022
Trai Turner,8727,G,WAS,1,100.0,0,32,58.7,73.2,47.8,1,0,55,100.0,100.0,97.3,0,2,1,77,0,0,0,77,58,58,77,0,19,0,3,2022
Charles Leno Jr.,8880,T,WAS,1,100.0,0,32,65.0,81.3,50.6,0,1,55,100.0,100.0,95.5,1,3,2,77,0,0,77,77,58,58,0,0,19,0,3,2022
Andrew Norwell,9126,G,WAS,1,100.0,0,32,53.6,53.4,52.1,0,3,55,100.0,100.0,95.5,0,4,1,77,0,77,0,77,58,58,0,0,19,0,3,2022
Wes Schweitzer,10829,C,WAS,1,100.0,0,32,45.9,24.0,64.8,1,3,55,100.0,100.0,94.5,1,5,1,77,77,0,0,77,58,58,0,0,19,0,3,2022
Jawaan Taylor,41665,T,JAX,1,100.0,0,15,58.3,71.9,47.6,0,1,40,100.0,100.0,98.7,0,1,0,76,0,0,1,76,41,41,0,75,35,0,3,2022
Luke Fortner,42028,C,JAX,1,100.0,0,15,62.8,68.3,60.2,0,2,40,100.0,100.0,97.5,0,2,0,76,76,0,0,76,41,41,0,0,35,0,3,2022
Ben Bartch,84236,G,JAX,1,100.0,0,15,66.2,75.7,61.2,1,0,40,100.0,100.0,98.7,0,1,0,76,0,76,0,76,41,41,0,0,35,0,3,2022
Brandon Scherff,9438,G,JAX,1,100.0,0,15,58.8,82.5,50.6,0,1,40,100.0,100.0,98.7,0,1,0,75,0,0,0,75,41,41,75,0,34,0,3,2022
Cam Robinson,11789,T,JAX,1,100.0,0,15,55.5,51.1,55.0,0,2,40,100.0,100.0,97.5,0,2,0,75,0,0,74,75,41,41,0,0,34,1,3,2022
Dalton Risner,47008,G,DEN,1,100.0,0,10,53.1,64.5,48.1,0,1,40,100.0,100.0,96.2,0,2,1,74,0,74,0,74,44,44,0,0,30,0,3,2022
Garett Bolles,11775,T,DEN,1,100.0,0,10,64.3,58.8,65.0,0,5,40,100.0,100.0,91.2,1,6,1,74,0,0,74,74,44,44,0,0,30,0,3,2022
Lloyd Cushenberry III,41924,C,DEN,1,100.0,0,10,57.5,75.3,51.4,0,0,40,100.0,100.0,100.0,0,0,0,74,74,0,0,74,44,44,0,0,30,0,3,2022
Graham Glasgow,10729,G,DEN,1,100.0,0,10,52.1,62.5,54.4,0,2,40,100.0,100.0,97.5,1,2,0,74,0,0,0,74,44,44,74,0,30,0,3,2022
Cameron Fleming,8775,T,DEN,1,100.0,1,10,61.9,45.6,71.4,2,2,40,100.0,100.0,95.0,1,4,0,74,0,0,0,74,44,44,0,74,30,0,3,2022
Justin Pugh,7800,G,ARZ,1,100.0,0,1,58.1,47.6,61.3,0,3,53,100.0,100.0,97.2,0,3,0,72,0,72,0,72,53,53,0,0,19,0,3,2022
Ben Bredeson,27305,G,NYG,1,100.0,1,21,44.8,23.3,66.8,0,1,49,100.0,100.0,99.0,1,1,0,72,0,72,0,72,54,54,0,0,18,0,3,2022
Christian Darrisaw,77373,T,MIN,1,100.0,0,18,89.4,88.4,86.7,0,0,41,100.0,100.0,100.0,0,0,0,72,0,0,72,72,47,47,0,0,25,0,3,2022
Ethan Pocic,11813,C,CLV,1,100.0,0,8,75.3,72.2,74.0,0,2,33,100.0,100.0,97.0,0,2,0,72,72,0,0,72,34,34,0,0,38,0,3,2022
Mark Glowinski,9567,G,NYG,1,100.0,0,21,63.2,34.2,75.1,0,3,49,100.0,100.0,96.9,0,3,0,72,0,0,0,72,54,54,72,0,18,0,3,2022
Wyatt Teller,46131,G,CLV,1,100.0,0,8,80.2,56.4,80.6,0,0,33,100.0,100.0,97.0,0,1,1,72,0,0,0,72,34,34,72,0,38,0,3,2022
Joel Bitonio,8670,G,CLV,1,100.0,0,8,75.0,74.8,71.0,0,0,33,100.0,100.0,100.0,0,0,0,72,0,72,0,72,34,34,0,0,38,0,3,2022
Garrett Bradbury,46013,C,MIN,1,100.0,0,18,77.8,73.9,78.0,0,1,41,100.0,100.0,98.8,0,1,0,72,72,0,0,72,47,47,0,0,25,0,3,2022
Ezra Cleveland,41973,G,MIN,1,100.0,0,18,72.0,57.0,74.8,0,1,41,100.0,100.0,98.8,0,1,0,72,0,72,0,72,47,47,0,0,25,0,3,2022
Jon Feliciano,9561,C,NYG,1,100.0,0,21,71.6,57.5,77.0,0,3,49,100.0,100.0,96.9,1,3,0,72,72,0,0,72,54,54,0,0,18,0,3,2022
Brian O'Neill,46854,T,MIN,1,100.0,0,18,62.3,70.9,53.6,0,2,41,100.0,100.0,97.6,0,2,0,72,0,0,0,72,47,47,0,72,25,0,3,2022
Andrew Thomas,59701,T,NYG,1,100.0,0,21,79.2,77.3,78.2,0,2,49,100.0,100.0,98.0,0,2,0,72,0,0,72,72,54,54,0,0,18,0,3,2022
Ed Ingram,59819,G,MIN,1,100.0,0,18,40.8,41.9,40.6,2,1,41,100.0,100.0,96.3,0,3,0,72,0,0,0,72,47,47,72,0,25,0,3,2022
Jack Conklin,10642,T,CLV,1,100.0,0,8,69.0,64.7,68.4,0,0,33,100.0,100.0,100.0,0,0,0,72,0,0,0,72,34,34,0,72,38,0,3,2022
Evan Neal,99063,T,NYG,1,100.0,0,21,45.9,27.1,76.4,1,1,49,100.0,100.0,91.8,1,5,3,72,0,0,0,72,54,54,0,72,18,0,3,2022
Ryan Kelly,10652,C,IND,1,100.0,0,14,72.1,58.4,75.0,1,1,43,100.0,100.0,97.7,0,2,0,71,71,0,0,71,45,45,0,0,26,0,3,2022
Danny Pinter,47339,G,IND,1,100.0,0,14,53.3,37.6,58.6,2,1,43,100.0,100.0,94.2,0,4,1,71,0,0,0,71,45,45,71,0,26,0,3,2022
Austin Blythe,10882,C,SEA,1,100.0,0,29,44.1,43.4,43.7,1,0,46,100.0,100.0,96.7,0,2,1,71,71,0,0,71,47,47,0,0,24,0,3,2022
Damien Lewis,81532,G,SEA,1,100.0,0,29,59.4,76.1,51.5,0,1,46,100.0,100.0,98.9,2,1,0,71,0,71,0,71,47,47,0,0,24,0,3,2022
Abraham Lucas,60218,T,SEA,1,100.0,0,29,68.7,75.1,59.8,2,0,46,100.0,100.0,97.8,0,2,0,71,0,0,0,71,47,47,0,71,24,0,3,2022
Charles Cross,98401,T,SEA,1,100.0,0,29,63.2,70.1,53.6,0,2,46,100.0,100.0,95.7,0,3,1,71,0,0,71,71,47,47,0,0,24,0,3,2022
Gabe Jackson,8716,G,SEA,1,100.0,0,29,48.2,44.3,49.0,0,4,46,100.0,100.0,95.7,0,4,0,71,0,0,0,71,47,47,71,0,24,0,3,2022
Matt Pryor,46647,T,IND,1,100.0,0,14,77.6,83.7,68.7,0,1,43,100.0,100.0,98.8,1,1,0,71,0,0,70,71,45,45,0,0,26,1,3,2022
Braden Smith,46794,T,IND,1,100.0,0,14,74.2,79.3,66.5,1,0,43,100.0,100.0,98.8,0,1,0,71,0,0,0,71,45,45,0,71,26,0,3,2022
Quenton Nelson,12954,G,IND,1,100.0,0,14,69.2,85.4,59.8,0,0,43,100.0,100.0,100.0,0,0,0,71,0,71,0,71,45,45,0,0,26,0,3,2022
Alex Bars,47018,G,LV,1,100.0,1,23,36.8,35.1,46.4,0,2,48,100.0,100.0,97.9,2,2,0,70,0,70,0,70,53,53,0,0,17,0,3,2022
Dylan Parham,60953,G,LV,1,100.0,0,23,56.7,57.7,62.7,2,2,48,100.0,100.0,95.8,1,4,0,70,70,0,0,70,53,53,0,0,17,0,3,2022
Jordan Mailata,66916,T,PHI,1,100.0,0,24,68.4,72.1,61.8,0,1,41,100.0,100.0,96.3,0,2,1,70,0,0,69,70,43,43,0,0,27,1,3,2022
Jermaine Eluemunor,11914,T,LV,1,100.0,0,23,50.1,51.4,66.6,1,2,48,100.0,100.0,96.9,2,3,0,70,0,0,0,70,53,53,70,0,17,0,3,2022
Kolton Miller,47013,T,LV,1,100.0,0,23,63.0,81.1,34.9,0,2,48,100.0,100.0,97.9,0,2,0,70,0,0,70,70,53,53,0,0,17,0,3,2022
Isaac Seumalo,10713,G,PHI,1,100.0,0,24,62.0,51.5,63.5,0,2,41,100.0,100.0,97.6,0,2,0,70,0,0,0,70,43,43,70,0,27,0,3,2022
Lane Johnson,7786,T,PHI,1,100.0,0,24,91.2,85.7,91.7,0,0,41,100.0,100.0,100.0,0,0,0,70,0,0,1,70,43,43,0,69,27,0,3,2022
Thayer Munford,59994,T,LV,1,100.0,0,23,66.2,74.7,52.9,0,0,48,100.0,100.0,97.9,0,1,1,70,0,0,0,70,53,53,0,70,17,0,3,2022
Jason Kelce,6343,C,PHI,1,100.0,0,24,62.9,84.6,55.1,0,0,41,100.0,100.0,100.0,0,0,0,70,70,0,0,70,43,43,0,0,27,0,3,2022
Erik McCoy,37347,C,NO,1,100.0,0,20,56.8,57.4,55.2,0,1,42,100.0,100.0,98.8,2,1,0,69,69,0,0,69,46,46,0,0,23,0,3,2022
Ryan Ramczyk,11787,T,NO,1,100.0,0,20,71.9,80.7,61.0,1,1,42,100.0,100.0,97.6,0,2,0,69,0,0,0,69,46,46,0,69,23,0,3,2022
Greg Van Roten,7746,C,BUF,1,100.0,0,4,48.0,43.4,56.6,0,4,55,100.0,100.0,96.4,1,4,0,69,69,0,0,69,56,56,0,0,13,0,3,2022
James Hurst,9001,T,NO,1,100.0,0,20,73.1,78.4,64.1,0,2,42,100.0,100.0,97.6,0,2,0,69,0,0,69,69,46,46,0,0,23,0,3,2022
Cesar Ruiz,59857,G,NO,1,100.0,0,20,48.5,60.5,42.0,0,0,42,100.0,100.0,100.0,0,0,0,69,0,0,0,69,46,46,69,0,23,0,3,2022
Ted Karras,10855,C,CIN,1,100.0,0,7,58.9,50.2,60.4,0,2,39,100.0,100.0,94.9,0,3,1,68,68,0,0,68,41,41,0,0,27,0,3,2022
Jonah Williams,41651,T,CIN,1,100.0,0,7,54.3,66.7,41.8,1,1,39,100.0,100.0,94.9,0,3,1,68,0,0,68,68,41,41,0,0,27,0,3,2022
