player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week,year
Josh Jones,11816,S,SEA,1,1,0,100.0,0,0,29,37.6,39.0,73.3,,59.5,60.5,0,0,0,28.0,12.5,1,0,0,158.3,4,0,22,3,28,57,0,0,0,0,0,24,57,0,29,8,1,6,4,0,1,73,14,18.3,3,2022
Larry Ogunjobi,11820,DI,PIT,1,1,0,,0,0,25,,53.9,78.3,66.0,46.1,68.2,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,48,48,1,18,8,21,0,0,26,22,0,1,0,0,2,0,0,0,,3,2022
Ahkello Witherspoon,11821,CB,PIT,1,1,0,60.0,0,0,25,46.3,47.3,76.8,,54.7,29.6,0,0,0,28.0,28.6,2,1,0,95.4,3,0,3,44,30,50,0,0,0,0,0,0,50,0,20,3,1,4,5,0,0,52,20,17.3,3,2022
Dawuane Smoot,11823,ED,JAX,1,0,0,,0,1,15,59.6,61.8,76.5,71.4,52.2,29.3,0,4,0,,50.0,1,0,0,0.0,0,1,1,0,1,30,29,0,8,12,9,0,1,25,4,0,1,1,0,5,0,0,0,,3,2022
Chris Wormley,11829,DI,PIT,1,1,0,,0,0,25,,51.4,75.0,64.4,49.6,71.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,23,23,0,8,3,12,0,0,6,17,0,1,3,0,0,0,0,0,,3,2022
Duke Riley,11830,LB,MIA,1,2,0,60.0,0,0,17,59.6,58.1,74.8,52.9,60.0,41.1,1,0,0,8.0,16.7,1,0,0,65.4,3,0,26,1,23,27,0,0,0,0,0,0,27,3,1,0,1,3,5,1,0,16,16,5.3,3,2022
Alex Anzalone,11831,LB,DET,1,2,0,50.0,0,0,11,57.7,59.6,77.1,74.1,54.1,69.7,1,1,0,6.0,10.0,1,0,0,56.3,1,1,65,1,38,71,3,0,0,3,0,1,68,8,25,1,1,7,2,3,0,6,0,6.0,3,2022
Fabian Moreau,11836,CB,NYG,1,0,0,75.0,0,0,21,69.2,70.8,75.2,,67.6,79.1,0,0,0,26.0,0.0,0,0,0,99.0,3,0,7,27,19,39,1,0,0,1,0,0,38,0,20,4,1,4,4,0,0,33,15,11.0,3,2022
Jourdan Lewis,11846,CB,DAL,1,0,0,100.0,0,0,9,41.4,45.5,77.9,,69.2,51.7,0,0,0,21.0,16.7,1,0,1,107.1,7,0,4,0,47,58,4,0,0,4,0,1,54,0,11,49,1,5,7,0,0,68,68,9.7,3,2022
John Johnson III,11847,S,CLV,1,0,0,50.0,0,1,8,75.4,66.9,79.1,58.8,37.2,27.3,0,0,0,14.0,37.5,3,1,0,72.9,1,0,16,0,36,59,2,0,0,2,0,35,57,1,22,6,1,5,2,0,0,14,0,14.0,3,2022
Montravius Adams,11848,DI,PIT,1,0,1,,0,0,25,,55.9,73.6,66.0,51.4,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,15,15,12,3,0,0,0,0,8,7,0,0,0,0,0,0,0,0,,3,2022
Cameron Sutton,11850,CB,PIT,1,0,0,83.3,0,0,25,71.8,72.3,78.8,,67.8,80.9,0,0,0,32.0,0.0,0,1,0,104.2,5,0,1,59,32,69,0,0,0,0,0,0,69,0,37,9,2,5,6,0,0,54,16,10.8,3,2022
Rasul Douglas,11854,CB,GB,1,0,0,62.5,0,0,12,79.7,75.3,0.0,,62.7,81.1,0,0,0,24.0,0.0,0,1,1,75.5,5,0,5,53,50,63,1,0,0,1,0,0,62,0,13,4,3,8,8,0,0,41,10,8.2,3,2022
Trey Hendrickson,11858,ED,CIN,1,1,0,,0,2,7,64.5,94.2,79.8,94.7,49.9,39.5,1,4,0,,33.3,1,0,0,0.0,0,3,0,2,4,46,44,0,0,44,0,0,2,33,9,0,3,1,0,8,0,0,0,,3,2022
Eddie Jackson,11867,S,CHI,1,2,0,0.0,0,1,6,54.3,68.7,76.6,,90.1,56.0,0,0,1,,20.0,2,0,0,0.0,0,0,9,0,31,52,0,0,0,0,0,42,52,0,21,1,1,6,2,0,0,0,0,,3,2022
Rayshawn Jenkins,11868,S,JAX,1,2,0,33.3,0,0,15,48.3,55.5,74.6,68.2,79.4,80.8,0,1,0,7.0,0.0,0,0,0,42.4,1,0,21,0,49,61,0,0,0,0,0,33,61,1,11,7,2,3,3,1,0,7,3,7.0,3,2022
Carl Lawson,11871,ED,NYJ,1,0,0,,0,0,22,,51.3,81.2,58.3,44.6,21.1,3,1,0,,100.0,2,0,0,0.0,0,0,0,0,0,45,45,0,0,45,0,0,0,30,15,0,0,0,0,4,0,0,0,,3,2022
Jalen Reeves-Maybin,11879,LB,HST,1,0,0,,0,0,13,43.4,25.5,69.1,,37.7,22.3,0,0,0,,100.0,1,0,0,0.0,0,0,8,0,5,8,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,,3,2022
Samson Ebukam,11880,ED,SF,1,0,0,,0,0,28,60.0,74.7,0.1,75.0,72.9,71.2,1,4,0,,0.0,0,0,1,0.0,0,0,0,0,1,43,43,0,2,38,3,0,0,25,17,0,2,2,0,5,0,0,0,,3,2022
Deatrich Wise Jr.,11886,ED,NE,1,1,0,,0,0,19,,56.9,79.2,74.8,37.2,39.3,0,1,0,,25.0,1,0,0,0.0,0,3,0,0,0,44,44,0,0,33,11,0,0,27,17,0,4,2,0,4,0,0,0,,3,2022
Grover Stewart,11899,DI,IND,1,1,0,,0,0,14,,57.8,81.4,51.2,63.5,28.4,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,41,40,8,32,0,0,0,1,28,13,0,1,1,0,0,0,0,0,,3,2022
Desmond King II,11906,CB,HST,1,0,1,100.0,0,0,13,69.9,75.9,76.3,70.6,73.9,80.4,0,1,0,7.0,0.0,0,0,0,95.8,1,0,0,0,17,37,3,0,0,3,0,1,34,2,18,33,4,7,1,1,0,7,9,7.0,3,2022
Jayon Brown,11910,LB,LV,1,0,0,100.0,0,0,23,61.2,55.2,73.8,,51.0,29.8,0,0,0,13.0,28.6,2,1,0,106.3,4,0,47,1,25,51,0,0,0,0,0,1,51,0,26,2,3,5,4,0,0,38,21,9.5,3,2022
Anthony Walker,11916,LB,CLV,1,2,0,66.7,0,0,8,67.1,47.9,73.4,49.4,34.7,80.4,0,3,0,20.0,0.0,0,0,0,79.9,2,0,26,1,17,31,3,0,0,3,0,0,28,2,12,1,3,4,3,3,0,16,1,8.0,3,2022
Matt Milano,11918,LB,BUF,1,0,0,50.0,0,0,4,76.3,79.2,0.0,68.8,75.3,77.7,1,0,0,6.0,0.0,0,1,1,56.3,1,0,39,0,24,43,0,0,0,0,0,0,43,1,18,4,3,4,2,1,0,6,6,6.0,3,2022
Davon Godchaux,11934,DI,NE,1,1,0,,0,0,19,60.0,65.5,76.6,47.8,74.0,31.7,0,2,0,,25.0,1,0,0,0.0,0,0,0,0,0,43,43,11,15,3,14,0,0,21,22,0,2,2,0,2,0,0,0,,3,2022
Chuck Clark,11941,S,BLT,1,1,0,100.0,0,0,3,48.2,54.5,76.6,,73.8,83.0,0,0,0,24.0,0.0,0,0,0,118.8,2,0,27,4,42,66,8,0,0,8,0,21,58,0,24,6,2,6,2,0,0,32,6,16.0,3,2022
Xavier Woods,11946,S,CAR,1,1,0,50.0,0,0,5,51.7,52.7,77.0,58.5,63.0,76.8,1,0,0,13.0,0.0,0,0,0,70.8,1,0,21,0,35,65,7,0,0,7,0,33,58,7,23,4,0,1,2,1,0,13,0,13.0,3,2022
Tanner Vallejo,11950,LB,ARZ,1,1,0,,0,0,1,64.1,73.1,72.2,55.1,72.7,74.9,0,0,0,,0.0,0,0,0,0.0,0,0,11,0,6,13,1,0,0,1,0,0,12,2,5,1,0,0,0,0,0,0,0,,3,2022
Al-Quadin Muhammad,11951,ED,CHI,1,2,0,,0,1,6,60.0,84.8,79.4,61.7,86.3,74.0,0,4,0,,0.0,0,0,0,0.0,0,0,0,0,1,37,36,0,0,36,0,0,1,17,19,0,1,2,0,4,0,0,0,,3,2022
D.J. Jones,11953,DI,DEN,1,0,1,,0,0,10,,84.1,73.6,77.7,69.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,13,13,3,10,0,0,0,0,8,5,0,0,0,0,0,0,0,0,,3,2022
Ifeadi Odenigbo,11975,ED,IND,1,1,0,,0,0,14,,81.9,74.4,82.5,60.2,69.2,1,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,8,8,0,0,8,0,0,0,6,2,0,0,0,0,3,0,0,0,,3,2022
Isaac Rochell,11980,ED,CLV,1,0,0,,0,0,8,64.3,64.2,78.1,55.4,56.2,29.5,0,0,0,,20.0,1,0,0,0.0,0,0,1,0,2,26,25,0,0,25,0,0,1,14,10,0,2,4,0,0,0,0,0,,3,2022
Patrick O'Connor,12005,ED,TB,1,0,0,,0,0,30,,60.0,65.7,60.0,,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,2022
Michael Davis,12040,CB,LAC,1,2,0,77.8,0,0,27,66.4,65.7,77.5,,59.7,82.2,0,0,0,15.0,0.0,0,0,0,129.2,7,0,10,64,41,76,0,0,0,0,0,0,76,0,35,2,1,8,9,0,1,55,9,7.9,3,2022
Josh Tupou,12093,DI,CIN,1,0,0,,0,0,7,,52.9,76.0,52.9,56.0,26.2,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,33,33,1,31,0,1,0,0,19,14,0,0,1,0,0,0,0,0,,3,2022
Arthur Maulet,12224,CB,PIT,1,1,0,,0,0,25,61.9,49.0,72.9,55.4,41.7,26.7,0,0,0,,50.0,1,0,0,0.0,0,0,0,1,3,16,1,0,0,1,0,0,15,3,10,14,0,0,0,0,0,0,0,,3,2022
Sione Takitaki,12666,LB,CLV,1,1,0,100.0,0,0,8,69.7,70.1,71.8,67.4,59.6,77.0,0,1,0,8.0,0.0,0,1,0,89.6,2,0,26,0,17,31,3,0,0,3,0,0,28,2,12,2,1,2,2,1,0,11,1,5.5,3,2022
Sam Eguavoen,15301,LB,MIA,1,0,0,,0,0,17,60.9,60.6,67.6,60.0,,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,3,2022
Dylan Cole,24304,LB,TEN,1,1,0,75.0,0,0,31,75.9,70.7,71.7,59.8,52.0,27.1,0,0,0,17.0,50.0,2,1,0,89.6,3,0,21,2,21,27,1,0,0,1,0,0,26,1,5,3,0,1,4,0,0,24,11,8.0,3,2022
Nathan Shepherd,24614,DI,NYJ,1,0,0,,0,0,22,,63.2,74.3,62.7,60.4,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,22,22,2,18,0,2,0,0,12,10,0,0,0,0,0,0,0,0,,3,2022
Foyesade Oluokun,24904,LB,JAX,1,2,0,75.0,0,0,15,49.3,52.6,73.5,67.1,58.5,80.6,1,1,0,14.0,0.0,0,0,1,100.0,3,0,58,0,43,61,2,0,0,2,0,0,59,7,11,1,1,6,4,2,0,34,31,11.3,3,2022
Levi Wallace,25445,CB,PIT,1,0,0,33.3,0,0,25,62.8,68.8,75.4,,73.2,75.8,0,0,0,8.0,0.0,0,1,0,42.4,1,0,2,22,10,26,2,0,0,2,0,0,24,0,16,0,2,3,3,0,0,8,4,8.0,3,2022
Anfernee Jennings,25449,ED,NE,1,0,0,,0,0,19,60.0,62.2,73.4,53.9,64.2,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,12,12,0,0,12,0,0,0,5,6,0,0,0,0,0,0,0,0,,3,2022
Clelin Ferrell,25955,ED,LV,1,0,0,,0,0,23,62.8,67.0,75.1,52.9,70.4,69.9,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,5,25,24,0,2,18,4,0,1,8,12,0,1,2,0,0,0,0,0,,3,2022
Dexter Lawrence,25991,DI,NYG,1,4,0,,0,0,21,,77.3,78.7,66.1,73.6,72.7,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,52,52,32,20,0,0,0,0,23,29,0,0,2,0,1,0,0,0,,3,2022
Maxx Crosby,26316,ED,LV,1,2,1,,0,1,23,,88.7,80.4,75.9,80.4,55.8,0,3,0,,0.0,0,0,0,0.0,0,1,0,0,0,52,52,0,0,47,5,0,0,27,25,0,5,4,0,4,0,0,0,,3,2022
Ben Banogu,26554,ED,IND,1,0,0,,0,0,14,,54.4,72.6,55.3,58.9,24.2,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,5,4,0,0,4,0,0,1,3,2,0,0,0,0,0,0,0,0,,3,2022
D.J. Reed Jr.,26940,CB,NYJ,1,0,0,40.0,0,0,22,63.1,65.0,77.9,,68.0,75.4,0,0,0,19.0,0.0,0,0,0,57.1,2,0,7,61,41,68,0,0,0,0,0,0,68,0,27,0,1,2,5,0,0,26,12,13.0,3,2022
Isaiah Rodgers,27069,CB,IND,1,0,0,100.0,0,0,14,76.7,76.4,89.2,60.0,60.0,75.2,0,0,0,6.0,0.0,0,0,0,91.7,1,0,0,23,19,25,1,0,0,1,0,0,24,1,5,0,1,2,1,0,0,6,0,6.0,3,2022
Montez Sweat,27271,ED,WAS,1,1,0,100.0,0,0,32,61.8,69.9,81.2,60.6,63.6,71.2,0,0,0,1.0,0.0,0,0,0,79.2,1,0,0,0,1,50,50,0,0,49,1,0,0,31,18,0,1,1,1,0,0,1,3,1.0,3,2022
Devin Bush,27375,LB,PIT,1,4,0,75.0,0,0,25,43.6,47.9,77.9,59.1,59.2,61.7,0,0,0,19.0,7.7,1,0,0,99.0,3,0,46,0,22,55,1,0,0,1,0,0,54,1,32,8,2,8,4,0,0,33,24,11.0,3,2022
Michael Dwumfour,27376,DI,HST,1,0,0,,0,0,13,,32.7,74.9,68.9,31.8,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,22,22,1,18,0,3,0,0,6,16,0,0,0,0,0,0,0,0,,3,2022
Josh Uche,27379,ED,NE,1,0,0,,0,0,19,,52.0,71.1,52.6,,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,5,5,0,0,5,0,0,0,5,0,0,0,0,0,1,0,0,0,,3,2022
Armon Watts,27844,DI,CHI,1,1,0,,0,0,6,,68.8,74.7,63.8,65.1,69.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,17,17,3,13,0,1,0,0,8,9,0,1,1,0,0,0,0,0,,3,2022
Davon Hamilton,28072,DI,JAX,1,0,0,,0,0,15,,78.6,75.0,75.2,62.3,,0,3,0,,,0,0,0,0.0,0,0,0,0,0,20,20,4,15,0,1,0,0,16,4,0,0,0,0,3,0,0,0,,3,2022
Dre'Mont Jones,28075,DI,DEN,1,1,0,,0,0,10,,37.8,0.0,56.8,39.5,70.2,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,47,47,0,3,22,22,0,0,31,16,0,1,1,0,1,0,0,0,,3,2022
Malik Harrison,28081,LB,BLT,1,0,0,100.0,0,0,3,53.1,57.6,75.2,54.0,66.3,26.3,0,0,0,7.0,50.0,1,0,0,79.2,2,0,12,0,11,28,12,0,0,12,0,0,16,3,14,4,0,1,2,0,0,3,7,1.5,3,2022
Jerome Baker,28091,LB,MIA,1,5,0,75.0,0,0,17,60.0,68.1,80.4,68.4,73.6,83.4,0,1,0,16.0,0.0,0,1,0,92.7,6,1,57,1,55,83,19,0,0,19,0,3,64,11,17,3,4,9,8,2,0,54,25,9.0,3,2022
Neville Gallimore,28094,DI,DAL,1,0,0,,0,0,9,60.0,62.4,76.3,76.4,45.6,67.3,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,27,27,5,21,1,0,0,0,18,9,0,1,1,0,2,0,0,0,,3,2022
Kevin Givens,28308,DI,SF,1,1,0,,0,0,28,,61.9,76.2,65.0,57.6,69.5,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,0,35,35,0,25,0,10,0,0,16,19,0,1,0,0,3,0,0,0,,3,2022
Myles Adams,28430,DI,SEA,1,0,0,,0,0,29,,38.0,72.1,57.0,43.8,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,10,10,0,5,0,5,0,0,3,7,0,0,0,0,0,0,0,0,,3,2022
Bilal Nichols,28451,DI,LV,1,0,0,,0,0,23,,69.6,76.6,62.9,67.7,,1,2,0,,,0,0,0,0.0,0,0,0,0,0,43,43,5,20,0,18,0,0,23,20,0,0,0,0,3,0,0,0,,3,2022
DeShon Elliott,28854,S,DET,1,3,0,50.0,0,0,11,57.4,59.9,79.4,53.5,67.7,63.9,0,0,0,11.0,16.7,1,0,0,66.7,1,0,20,0,43,72,7,0,0,7,0,40,65,4,25,5,0,2,2,0,0,11,15,11.0,3,2022
Jack Jones,29050,CB,NE,1,0,0,0.0,0,0,19,68.0,68.4,73.9,,61.9,,0,0,0,,,0,0,0,39.6,0,0,4,21,14,26,1,0,0,1,0,0,25,0,12,0,0,0,1,0,0,0,0,,3,2022
Darius Harris,29188,LB,KC,1,5,0,66.7,0,0,16,60.9,57.0,75.4,53.1,56.5,66.4,0,0,0,7.0,7.1,1,0,0,109.7,4,0,50,0,29,62,10,0,0,10,0,0,52,8,25,2,4,8,6,0,1,14,12,3.5,3,2022
David Long,29367,LB,TEN,1,2,0,100.0,0,0,31,74.7,76.7,75.3,63.5,62.1,65.4,0,1,0,3.0,12.5,1,0,0,79.2,3,0,64,2,52,70,3,0,0,3,0,0,67,1,17,1,5,5,3,1,0,4,3,1.3,3,2022
Chris Board,29456,LB,DET,1,1,0,0.0,0,0,11,76.4,80.6,72.7,54.6,72.6,76.6,0,0,0,,0.0,0,0,0,39.6,0,0,19,0,11,23,4,0,0,4,0,0,19,4,8,0,0,3,1,0,0,0,0,,3,2022
Logan Wilson,29623,LB,CIN,1,3,0,60.0,0,0,7,61.3,50.4,77.1,52.5,36.2,80.2,0,0,1,13.0,0.0,0,0,0,33.8,6,0,66,0,54,78,7,0,0,7,0,3,71,4,20,2,1,4,10,0,0,51,19,8.5,3,2022
Andrew Van Ginkel,30267,ED,MIA,1,1,0,,0,0,17,65.9,78.0,74.6,70.0,69.3,73.3,1,0,0,,0.0,0,0,0,0.0,0,0,1,0,11,20,19,0,0,19,0,0,1,7,2,0,0,0,0,1,0,0,0,,3,2022
T.J. Edwards,30737,LB,PHI,1,0,0,75.0,0,0,24,79.8,88.1,75.6,83.5,70.1,83.3,1,2,0,5.0,0.0,0,0,0,77.1,3,1,73,0,49,74,0,0,0,0,0,0,74,6,19,1,5,9,4,4,0,10,6,3.3,3,2022
George Odum,31342,S,SF,1,0,0,,0,0,28,,60.0,65.6,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,3,2022
Khalen Saunders,31534,DI,KC,1,3,0,,0,0,16,69.5,83.1,75.3,61.7,73.8,72.9,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,21,21,7,14,0,0,0,0,12,9,0,3,5,0,2,0,0,0,,3,2022
Abdullah Anderson,32708,DI,ATL,1,0,0,,0,0,2,,37.6,75.1,53.8,41.1,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,17,17,5,9,1,2,0,0,11,6,0,0,0,0,0,0,0,0,,3,2022
Robert Rochell,33693,CB,LA,1,0,0,,0,0,26,65.4,65.5,71.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,8,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,3,2022
Eric Johnson,33698,DI,IND,1,0,0,,0,0,14,,42.1,72.9,60.0,58.8,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,4,3,1,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,,3,2022
Nasir Adderley,33880,S,LAC,1,2,0,100.0,0,0,27,51.1,47.7,78.2,,50.2,50.8,0,0,0,14.0,20.0,1,0,0,158.3,1,0,20,0,41,76,0,0,0,0,0,37,76,0,35,19,0,2,1,0,1,14,0,14.0,3,2022
Mike Hughes,34057,CB,DET,1,0,0,50.0,0,0,11,27.4,26.3,76.0,72.3,27.5,75.2,1,1,0,28.0,0.0,0,0,1,130.6,3,0,2,3,27,44,0,0,0,0,0,0,44,3,14,39,0,3,6,2,1,68,15,22.7,3,2022
Darnell Savage,34247,S,GB,1,0,0,40.0,0,0,12,52.1,51.8,79.3,,61.5,70.2,0,0,0,7.0,0.0,0,0,1,87.5,2,0,4,0,50,65,1,0,0,1,0,50,64,0,15,10,0,1,5,0,1,8,1,4.0,3,2022
Johnathan Abram,34646,S,LV,1,1,0,100.0,0,0,23,33.6,33.3,76.9,66.7,47.5,40.2,0,1,0,41.0,28.6,2,0,0,158.3,5,0,17,2,25,57,13,0,0,13,0,14,44,5,27,11,1,4,5,1,1,81,51,16.2,3,2022
Akeem Davis-Gaither,34788,LB,CIN,1,5,0,71.4,0,0,7,59.9,72.6,75.4,90.5,71.3,83.6,0,1,0,18.0,0.0,0,0,0,86.0,5,0,42,1,33,54,9,0,0,9,0,0,45,2,19,2,6,10,7,1,0,41,19,8.2,3,2022
Jamel Dean,34918,CB,TB,1,0,0,80.0,0,1,30,80.5,80.1,78.2,,68.4,79.9,0,0,0,15.0,0.0,0,0,0,130.4,4,0,4,54,37,62,0,0,0,0,0,0,62,0,25,4,2,6,5,0,2,29,12,7.3,3,2022
Trevis Gipson,35241,ED,CHI,1,0,0,,0,0,6,60.0,65.7,77.5,54.3,72.8,,0,2,0,,,0,0,0,0.0,0,0,0,0,1,24,24,0,0,20,4,0,0,17,6,0,0,0,0,2,0,0,0,,3,2022
Blake Cashman,35413,LB,HST,1,0,0,,0,0,13,61.7,63.5,70.5,56.3,63.7,,0,0,0,,,0,0,0,0.0,0,0,11,0,4,15,3,0,0,3,0,0,12,2,9,1,0,0,0,0,0,0,0,,3,2022
Tae Crowder,35774,LB,NYG,1,1,0,,0,0,21,61.8,43.8,78.1,50.8,40.0,24.5,0,0,0,,50.0,5,0,0,0.0,0,0,59,0,23,64,4,0,0,4,0,0,60,8,33,1,2,4,0,0,0,0,0,,3,2022
Jonas Griffith,35858,LB,DEN,1,1,0,,0,0,10,74.6,82.4,73.2,58.3,76.5,74.9,0,0,1,,0.0,0,0,0,0.0,0,0,29,0,18,33,0,0,0,0,0,0,33,1,14,4,1,1,0,0,0,0,0,,3,2022
Darrell Taylor,36001,ED,SEA,1,0,0,,0,1,29,60.5,51.1,78.7,73.0,35.2,73.1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,1,38,38,0,0,38,0,0,0,17,20,0,1,2,0,1,0,0,0,,3,2022
Austin Bryant,36248,ED,DET,1,0,0,,0,0,11,61.0,64.6,77.1,58.0,64.7,,0,2,0,,,0,0,0,0.0,0,0,0,0,3,19,19,0,0,19,0,0,0,11,5,0,0,0,0,2,0,0,0,,3,2022
Shy Tuttle,37279,DI,NO,1,1,0,,0,0,20,,67.2,77.2,52.2,70.2,73.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,45,45,16,29,0,0,0,0,18,27,0,2,6,0,0,0,0,0,,3,2022
Darryl Johnson,37479,ED,SEA,1,1,0,,0,0,29,,62.7,74.9,51.4,69.9,72.4,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,20,20,0,1,16,3,0,0,13,7,0,1,1,0,0,0,0,0,,3,2022
Derrek Tuszka,37724,ED,TEN,1,1,0,100.0,0,0,31,50.1,33.9,73.6,,38.7,73.1,0,0,0,9.0,0.0,0,0,0,104.2,1,0,4,0,5,16,9,0,0,9,0,0,7,0,11,3,0,1,1,0,0,9,3,9.0,3,2022
Troy Reeder,38268,LB,LAC,1,0,0,,0,0,27,,60.0,65.6,60.0,,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,2022
Camryn Bynum,38408,S,MIN,1,3,0,,0,0,18,59.0,63.4,79.4,,70.2,83.5,0,0,0,,0.0,0,0,1,0.0,0,0,10,0,45,78,0,0,0,0,0,60,78,0,33,8,0,2,0,0,0,0,0,,3,2022
Bryan Mone,38461,DI,SEA,1,1,0,,0,0,29,,40.3,0.0,53.7,57.2,66.8,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,18,18,5,12,0,1,0,0,10,8,0,0,0,0,0,0,0,0,,3,2022
Marquise Copeland,38540,DI,LA,1,0,0,,0,0,26,,66.3,70.5,55.7,62.5,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,6,6,0,3,0,3,0,0,4,2,0,0,0,0,0,0,0,0,,3,2022
Jordan Kunaszyk,38548,LB,CLV,1,0,0,,0,0,8,60.0,61.8,63.6,,,,0,0,0,,,0,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,3,2022
Folorunso Fatukasi,38558,DI,JAX,1,0,0,,0,0,15,,72.7,75.8,62.9,70.8,67.3,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,22,22,3,15,2,2,0,0,16,6,0,1,1,0,1,0,0,0,,3,2022
Tershawn Wharton,40292,DI,KC,1,0,0,,0,0,16,67.8,57.7,76.7,49.1,59.0,69.2,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,2,38,37,1,28,2,6,0,1,23,13,0,2,2,0,0,0,0,0,,3,2022
L'Jarius Sneed,40588,CB,KC,1,0,0,100.0,0,1,16,58.9,69.2,78.0,91.5,67.6,64.0,0,0,0,25.0,16.7,1,0,1,112.5,3,1,6,13,41,71,7,0,0,7,0,0,64,4,26,45,2,5,3,1,0,33,23,11.0,3,2022
Alohi Gilman,41662,S,LAC,1,0,0,100.0,1,0,27,30.2,28.2,72.6,,60.0,,0,0,0,35.0,,0,0,1,118.8,1,0,2,0,8,12,0,0,0,0,0,8,12,0,4,2,0,0,1,0,0,35,18,35.0,3,2022
Trevon Diggs,41817,CB,DAL,1,0,0,50.0,0,0,9,59.8,56.4,79.0,,38.6,72.8,0,0,1,20.0,0.0,0,1,0,40.3,3,0,3,63,50,66,0,0,0,0,0,0,66,0,16,0,0,1,6,0,0,52,22,17.3,3,2022
Divine Deablo,42208,LB,LV,1,1,0,100.0,0,0,23,52.7,59.0,75.5,62.5,64.8,80.7,1,1,0,30.0,0.0,0,0,0,118.8,3,0,39,1,25,57,14,0,0,14,0,0,43,5,27,3,3,6,3,2,0,58,35,19.3,3,2022
Isaiah Simmons,42451,LB,ARZ,1,1,0,,0,0,1,46.7,48.0,72.8,55.8,61.4,71.7,0,0,0,,0.0,0,0,0,0.0,0,0,7,0,13,16,3,0,0,3,0,1,13,2,1,5,0,0,0,0,0,0,0,,3,2022
K'Von Wallace,42467,S,PHI,1,0,0,,0,0,24,60.9,61.4,67.7,,,,0,0,0,,,0,0,0,0.0,0,0,2,0,3,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,3,2022
Cameron Dantzler,42472,CB,MIN,1,0,0,100.0,0,0,18,45.8,46.4,79.1,,51.8,57.7,0,0,0,25.0,12.5,1,0,0,118.8,7,0,4,74,45,78,0,0,0,0,0,0,78,0,33,0,2,7,7,0,0,94,28,13.4,3,2022
