player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week,year
Lavonte David,7060,LB,TB,1,1,0,75.0,0,0,30,83.1,79.9,76.6,62.1,55.9,78.3,0,0,0,13.0,0.0,0,1,0,80.2,3,0,64,1,44,69,1,0,0,1,0,0,68,6,19,3,1,4,4,0,0,15,2,5.0,1,2022
Casey Hayward Jr.,7064,CB,ATL,1,1,0,50.0,0,0,2,50.3,55.0,77.9,,75.5,44.9,0,0,0,40.0,20.0,1,0,0,95.8,2,0,2,55,40,59,0,0,0,0,0,0,59,0,19,2,1,3,4,0,0,71,13,35.5,1,2022
Demario Davis,7079,LB,NO,1,2,0,33.3,0,0,20,69.4,79.3,79.2,61.0,73.9,55.1,1,0,0,10.0,14.3,1,0,0,43.8,1,0,65,1,39,75,3,0,0,3,0,0,72,0,36,6,3,4,3,1,0,10,6,10.0,1,2022
Akiem Hicks,7090,DI,TB,1,0,0,,0,0,30,,55.5,77.7,56.5,56.1,69.0,1,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,40,40,2,23,5,10,0,0,26,14,0,1,2,0,2,0,0,0,,1,2022
Rodney McLeod,7271,S,IND,1,0,0,,0,0,14,60.0,60.2,65.6,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,1,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,,1,2022
Tashaun Gipson Sr.,7288,S,SF,1,1,0,0.0,0,0,28,70.8,80.3,75.8,,77.2,83.6,0,0,0,,0.0,0,0,0,39.6,0,0,7,1,24,57,0,0,0,0,0,44,57,0,33,5,0,2,1,0,0,0,0,,1,2022
Harrison Smith,7641,S,MIN,1,1,0,80.0,0,0,18,89.3,87.5,78.2,,36.5,72.4,0,0,1,15.0,12.5,1,0,0,48.8,4,0,5,1,43,61,0,0,0,0,0,50,61,0,18,5,2,6,5,0,0,26,15,6.5,1,2022
Darius Slay,7817,CB,PHI,1,0,0,33.3,0,0,24,75.3,73.6,77.6,,60.2,63.9,0,0,0,29.0,0.0,0,0,0,92.4,3,0,3,64,41,67,0,0,0,0,0,0,67,0,26,0,2,6,9,0,1,55,12,18.3,1,2022
Johnathan Hankins,7830,DI,LV,1,1,0,,0,0,23,,48.8,76.7,52.9,51.4,69.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,32,32,2,24,0,6,0,0,16,16,0,0,1,0,0,0,0,0,,1,2022
Tyrann Mathieu,7850,S,NO,1,2,0,66.7,0,0,20,76.3,79.2,79.5,,66.2,84.9,0,0,0,5.0,0.0,0,0,0,70.1,2,0,21,0,39,75,3,0,0,3,0,43,72,0,36,8,1,5,3,0,0,6,5,3.0,1,2022
John Jenkins,7863,DI,MIA,1,1,0,,0,0,17,,47.4,72.6,54.3,52.8,68.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,10,10,4,4,0,2,0,0,6,4,0,0,0,0,0,0,0,0,,1,2022
Logan Ryan,7864,S,TB,1,1,0,100.0,0,0,30,53.4,54.0,75.7,,63.7,82.6,0,0,0,17.0,0.0,0,0,0,118.8,2,0,5,0,45,57,0,0,0,0,0,48,57,0,12,4,2,3,2,0,0,33,1,16.5,1,2022
Duron Harmon,7872,S,LV,1,1,0,100.0,0,0,23,65.4,69.5,76.5,,65.9,82.8,0,0,0,10.0,0.0,0,0,0,108.3,1,0,8,0,22,45,0,0,0,0,0,33,45,0,23,4,1,2,1,0,0,10,7,10.0,1,2022
William Gholston,7908,DI,TB,1,0,0,,0,0,30,60.0,51.2,74.9,55.7,51.5,,1,0,0,,,0,0,0,0.0,0,0,0,0,1,25,25,0,14,1,10,0,0,15,9,0,0,0,0,1,0,0,0,,1,2022
Steven Means,7929,ED,BLT,1,0,0,,0,0,3,60.0,73.2,75.6,65.1,69.7,72.4,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,28,28,0,0,27,1,0,0,18,9,0,0,1,0,1,0,0,0,,1,2022
Micah Hyde,7941,S,BUF,1,2,0,100.0,0,0,4,74.9,74.2,81.6,,49.2,56.0,0,0,0,6.0,16.7,1,0,0,81.3,2,0,5,1,49,65,0,0,0,0,0,55,65,0,16,4,1,3,2,0,0,7,6,3.5,1,2022
Jordan Poyer,8000,S,BUF,1,0,0,100.0,0,0,4,55.2,55.6,78.0,,62.5,77.3,0,0,1,23.0,0.0,0,0,0,112.5,3,0,7,1,49,65,1,0,0,1,0,52,64,0,16,4,1,1,3,0,1,33,1,11.0,1,2022
Nick Williams,8006,DI,NYG,1,0,0,,0,0,21,,37.8,76.3,51.8,39.5,,0,1,0,,100.0,1,0,0,0.0,0,0,0,0,0,32,32,2,16,2,12,0,0,17,15,0,0,0,0,1,0,0,0,,1,2022
Tony Jefferson,8361,S,NYG,1,0,0,,0,0,21,65.1,59.5,75.3,51.0,,,0,0,0,,,0,0,0,0.0,0,0,6,0,7,13,6,0,0,6,0,0,7,6,0,1,0,0,0,0,0,0,0,,1,2022
Mike Purcell,8530,DI,DEN,1,0,0,,0,0,10,,54.6,76.1,59.2,53.3,26.0,0,1,0,,50.0,1,0,0,0.0,0,0,0,0,0,25,25,11,8,0,6,0,0,14,11,0,0,1,0,1,0,0,0,,1,2022
Jadeveon Clowney,8636,ED,CLV,1,1,2,100.0,0,0,8,60.0,76.3,80.2,75.9,73.2,73.0,0,1,0,21.0,0.0,0,0,0,118.8,1,1,0,0,1,44,44,0,2,42,0,0,0,28,15,0,1,1,1,2,0,21,27,21.0,1,2022
Khalil Mack,8640,ED,LAC,1,1,0,,0,1,27,62.7,87.0,79.0,78.7,75.6,75.5,1,1,0,,0.0,0,0,0,0.0,0,3,0,0,5,49,49,0,0,49,0,0,0,35,9,0,5,2,0,5,0,0,0,,1,2022
