player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year
K'Waun Williams,9332,CB,DEN,1,18,6.0,4.5,10,0,100.0,3,4,0,34,11,1.89,3,2022
Zaire Franklin,49834,LB,IND,1,6,6.0,6.0,14,0,118.8,1,1,0,20,13,3.33,3,2022
Grant Haley,50473,CB,LA,1,30,6.0,6.0,26,0,104.2,5,5,0,45,51,1.5,3,2022
Caden Sterns,76725,S,DEN,1,6,6.0,6.0,10,0,118.8,1,1,0,20,3,3.33,3,2022
Julian Love,51081,S,NYG,1,6,6.0,6.0,21,0,118.8,1,1,0,14,5,2.33,3,2022
Marcus Epps,51391,S,PHI,1,6,6.0,6.0,24,0,87.5,1,1,0,5,3,0.83,3,2022
Kader Kohou,156070,CB,MIA,1,44,5.5,5.5,17,0,109.4,8,8,0,82,37,1.86,3,2022
Deommodore Lenoir,55686,CB,SF,1,26,5.2,3.7,28,0,80.7,5,7,0,32,18,1.23,3,2022
Rayshawn Jenkins,11868,S,JAX,1,5,5.0,5.0,15,0,95.8,1,1,0,7,3,1.4,3,2022
Jordan Hicks,9517,LB,MIN,1,5,5.0,1.7,18,0,45.1,1,3,0,11,9,2.2,3,2022
Kyle Hamilton,102684,S,BLT,1,5,5.0,5.0,3,0,108.3,1,1,0,10,2,2.0,3,2022
Jevon Holland,83873,S,MIA,1,5,5.0,5.0,17,0,91.7,1,1,0,6,7,1.2,3,2022
Keisean Nixon,56167,CB,GB,1,39,4.9,4.3,12,0,104.2,8,9,0,81,36,2.08,3,2022
John Johnson III,11847,S,CLV,1,4,4.0,4.0,8,0,118.8,1,1,0,14,0,3.5,3,2022
Eric Rowe,9480,S,MIA,1,12,4.0,4.0,17,0,101.4,3,3,0,25,17,2.08,3,2022
Johnathan Abram,34646,S,LV,1,4,4.0,4.0,23,0,118.8,1,1,0,23,28,5.75,3,2022
Azeez Al-Shaair,49792,LB,SF,1,4,4.0,4.0,28,0,118.8,1,1,0,22,19,5.5,3,2022
Talanoa Hufanga,83903,S,SF,1,4,4.0,2.0,28,0,64.6,1,2,0,10,0,2.5,3,2022
Frankie Luvu,51028,LB,CAR,1,4,4.0,4.0,5,0,104.2,1,1,0,9,0,2.25,3,2022
Nate Hobbs,55948,CB,LV,1,4,4.0,4.0,23,0,95.8,1,1,0,7,4,1.75,3,2022
P.J. Locke,51189,S,DEN,1,4,4.0,4.0,10,0,118.8,1,1,0,16,11,4.0,3,2022
Ernest Jones,81399,LB,LA,1,15,3.8,3.0,26,0,86.7,4,5,0,24,29,1.6,3,2022
Jace Whittaker,50465,CB,ARZ,1,19,3.8,3.8,1,0,115.8,5,5,0,59,35,3.11,3,2022
Myles Hartsfield,49159,CB,CAR,1,19,3.8,3.2,5,0,105.6,5,6,0,56,25,2.95,3,2022
De'Vondre Campbell,10749,LB,GB,1,18,3.6,2.6,12,0,84.2,5,7,0,38,7,2.11,3,2022
Devin Bush,27375,LB,PIT,1,7,3.5,3.5,25,0,118.8,2,2,0,25,19,3.57,3,2022
Darnell Savage,34247,S,GB,1,6,3.0,3.0,12,0,122.9,2,2,1,8,1,1.33,3,2022
Matt Milano,11918,LB,BUF,1,3,3.0,3.0,4,0,91.7,1,1,0,6,6,2.0,3,2022
Roderic Teamer,51405,S,LV,1,6,3.0,3.0,23,0,114.6,2,2,0,23,-1,3.83,3,2022
Xavien Howard,10672,CB,MIA,1,9,3.0,3.0,17,0,158.3,3,3,1,46,15,5.11,3,2022
Myles Jack,10670,LB,PIT,1,3,3.0,3.0,25,0,108.3,1,1,0,10,3,3.33,3,2022
Devin McCourty,5552,S,NE,1,3,3.0,3.0,19,0,158.3,1,1,1,16,0,5.33,3,2022
Derwin James,51368,S,LAC,1,6,3.0,3.0,27,0,118.8,2,2,0,25,19,4.17,3,2022
Shaq Thompson,9458,LB,CAR,1,6,3.0,3.0,5,0,93.8,2,2,0,13,3,2.17,3,2022
Mykal Walker,57834,LB,ATL,1,8,2.7,2.7,2,0,112.5,3,3,0,33,12,4.13,3,2022
Josh Metellus,43395,S,MIN,1,5,2.5,2.5,18,0,89.6,2,2,0,11,2,2.2,3,2022
Jeremy Chinn,43179,S,CAR,1,5,2.5,2.5,5,0,102.1,2,2,0,17,19,3.4,3,2022
Grant Delpit,60685,S,CLV,1,2,2.0,2.0,8,0,118.8,1,1,0,15,0,7.5,3,2022
Kwon Alexander,9557,LB,NYJ,1,2,2.0,2.0,22,0,83.3,1,1,0,4,2,2.0,3,2022
Josh Jones,11816,S,SEA,1,2,2.0,2.0,29,0,158.3,1,1,1,14,8,7.0,3,2022
Ahkello Witherspoon,11821,CB,PIT,1,2,2.0,1.0,25,0,95.8,1,2,0,28,19,14.0,3,2022
Cameron Sutton,11850,CB,PIT,1,6,2.0,2.0,25,0,88.9,3,3,0,16,9,2.67,3,2022
Rasul Douglas,11854,CB,GB,1,4,2.0,2.0,12,0,118.8,2,2,0,28,3,7.0,3,2022
Jerome Baker,28091,LB,MIA,1,2,2.0,2.0,17,0,91.7,1,1,0,6,3,3.0,3,2022
Darius Harris,29188,LB,KC,1,2,2.0,2.0,16,0,83.3,1,1,0,4,2,2.0,3,2022
Akeem Davis-Gaither,34788,LB,CIN,1,2,2.0,2.0,7,0,83.3,1,1,0,4,1,2.0,3,2022
Divine Deablo,42208,LB,LV,1,2,2.0,2.0,23,0,118.8,1,1,0,13,5,6.5,3,2022
Brandon Stephens,45644,CB,BLT,1,2,2.0,2.0,3,0,79.2,1,1,0,0,0,0.0,3,2022
Justin Reid,49048,S,KC,1,2,2.0,2.0,16,0,87.5,1,1,0,5,0,2.5,3,2022
Jaquan Johnson,51433,S,BUF,1,2,2.0,2.0,4,0,100.0,1,1,0,8,0,4.0,3,2022
Troy Andersen,57317,LB,ATL,1,3,1.5,1.5,2,0,158.3,2,2,1,26,2,8.67,3,2022
Quincy Williams,49779,LB,NYJ,1,3,1.5,1.5,22,0,85.4,2,2,0,9,4,3.0,3,2022
Jamel Dean,34918,CB,TB,1,3,1.5,1.5,30,0,129.2,2,2,2,11,6,3.67,3,2022
Drue Tranquill,51276,LB,LAC,1,3,1.5,1.5,27,0,100.0,2,2,0,16,26,5.33,3,2022
Juan Thornhill,50426,S,KC,1,4,1.3,1.3,16,0,125.7,3,3,1,14,1,3.5,3,2022
Anthony Nelson,48405,ED,TB,1,1,1.0,1.0,30,0,104.2,1,1,0,9,5,9.0,3,2022
Alohi Gilman,41662,S,LAC,1,1,1.0,1.0,27,0,118.8,1,1,0,35,18,35.0,3,2022
Elandon Roberts,10848,LB,MIA,1,1,1.0,1.0,17,0,104.2,1,1,0,9,5,9.0,3,2022
Kendall Fuller,10718,CB,WAS,1,1,1.0,1.0,32,0,118.8,1,1,0,31,28,31.0,3,2022
Danielle Hunter,9521,ED,MIN,1,1,1.0,1.0,18,0,79.2,1,1,0,3,1,3.0,3,2022
Eric Kendricks,9478,LB,MIN,1,1,1.0,1.0,18,0,118.8,1,1,0,16,10,16.0,3,2022
Kyle Van Noy,8675,LB,LAC,1,1,1.0,1.0,27,0,91.7,1,1,0,6,8,6.0,3,2022
Jacob Phillips,57942,LB,CLV,1,1,1.0,1.0,8,0,118.8,1,1,0,26,4,26.0,3,2022
Casey Hayward Jr.,7064,CB,ATL,1,1,1.0,1.0,2,0,118.8,1,1,0,23,5,23.0,3,2022
Boye Mafe,55220,ED,SEA,1,1,1.0,1.0,29,0,108.3,1,1,0,10,11,10.0,3,2022
Leighton Vander Esch,50950,LB,DAL,1,2,1.0,1.0,9,0,100.0,2,2,0,16,18,8.0,3,2022
Rashad Fenton,49329,CB,KC,1,1,1.0,1.0,16,0,100.0,1,1,0,8,2,8.0,3,2022
Bradley Chubb,48526,ED,DEN,1,1,1.0,1.0,10,0,118.8,1,1,0,24,1,24.0,3,2022
