player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year
Graham Gano,5443,K,NYG,1,0,2,2,100.0,2,1,50.0,21,74.8,0,0,,1,1,100.0,0,0,0,,4,3,75.0,0,0,,3,2022
Randy Bullock,7154,K,TEN,1,0,0,0,,1,1,100.0,31,67.7,0,0,,3,3,100.0,0,0,0,,1,1,100.0,0,0,,3,2022
Greg Zuerlein,7163,K,NYJ,1,0,2,2,100.0,2,2,100.0,22,76.1,0,0,,0,0,,0,0,0,,4,4,100.0,0,0,,3,2022
Justin Tucker,7604,K,BLT,1,0,1,1,100.0,0,0,,3,59.4,0,0,,5,4,80.0,0,0,0,,1,1,100.0,0,0,,3,2022
Dustin Hopkins,7958,K,LAC,1,0,0,0,,0,0,,27,61.8,0,0,,1,1,100.0,0,0,0,,1,1,100.0,1,1,100.0,3,2022
Brandon McManus,8437,K,DEN,1,0,2,1,50.0,0,0,,10,57.1,0,0,,0,0,,0,0,0,,2,1,50.0,0,0,,3,2022
Brett Maher,8585,K,DAL,1,0,1,0,0.0,1,1,100.0,9,59.1,0,0,,2,2,100.0,0,0,0,,4,3,75.0,2,2,100.0,3,2022
Cairo Santos,8932,K,CHI,1,0,1,1,100.0,1,1,100.0,6,79.9,0,0,,2,2,100.0,0,1,1,100.0,3,3,100.0,0,0,,3,2022
Chris Boswell,8990,K,PIT,1,0,0,0,,1,0,0.0,25,59.4,0,0,,2,2,100.0,0,1,1,100.0,2,1,50.0,0,0,,3,2022
Jason Myers,10207,K,SEA,1,0,0,0,,0,0,,29,64.6,0,0,,2,2,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0,3,2022
Wil Lutz,11096,K,NO,1,0,0,0,,1,0,0.0,20,33.0,0,0,,2,2,100.0,0,1,0,0.0,2,0,0.0,0,0,,3,2022
Ka'imi Fairbairn,11161,K,HST,1,0,0,0,,0,0,,13,64.2,0,0,,2,2,100.0,0,1,1,100.0,2,2,100.0,1,1,100.0,3,2022
Jake Elliott,11908,K,PHI,1,0,0,0,,0,0,,24,64.4,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,,3,2022
Younghoe Koo,12042,K,ATL,1,0,1,1,100.0,1,1,100.0,2,70.9,0,0,,3,3,100.0,0,0,0,,2,2,100.0,0,0,,3,2022
Austin Seibert,13701,K,DET,1,0,1,0,0.0,2,1,50.0,11,43.4,0,0,,3,3,100.0,0,0,0,,3,1,33.3,0,0,,3,2022
Greg Joseph,22842,K,MIN,1,0,2,0,0.0,0,0,,18,37.8,0,0,,4,4,100.0,0,0,0,,2,0,0.0,0,0,,3,2022
Daniel Carlson,28121,K,LV,1,0,0,0,,0,0,,23,63.8,0,0,,1,1,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0,3,2022
Jason Sanders,29578,K,MIA,1,0,0,0,,0,0,,17,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,,3,2022
Tyler Bass,33010,K,BUF,1,0,0,0,,0,0,,4,47.4,0,0,,2,2,100.0,0,2,1,50.0,2,1,50.0,0,0,,3,2022
Chase McLaughlin,33285,K,IND,1,0,1,1,100.0,1,1,100.0,14,70.7,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,,3,2022
Matt Ammendola,34039,K,KC,1,0,0,0,,0,0,,16,29.4,0,0,,1,0,0.0,0,1,0,0.0,2,1,50.0,1,1,100.0,3,2022
Eddy Pineiro,44140,K,CAR,1,0,0,0,,2,2,100.0,5,70.1,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,0,0,,3,2022
Riley Patterson,57556,K,JAX,1,0,0,0,,0,0,,15,64.1,0,0,,3,3,100.0,0,0,0,,3,3,100.0,3,3,100.0,3,2022
Matt Gay,57643,K,LA,1,0,0,0,,1,1,100.0,26,64.7,0,0,,2,2,100.0,0,0,0,,2,2,100.0,1,1,100.0,3,2022
Evan McPherson,82583,K,CIN,1,0,0,0,,2,1,50.0,7,52.8,0,0,,3,3,100.0,0,0,0,,3,2,66.7,1,1,100.0,3,2022
Cade York,98975,K,CLV,1,0,0,0,,0,0,,8,55.9,0,0,,3,2,66.7,0,1,1,100.0,1,1,100.0,0,0,,3,2022
Robbie Gould,2607,K,SF,1,0,0,0,,1,0,0.0,28,50.0,0,0,,3,3,100.0,0,0,0,,2,1,50.0,1,1,100.0,4,2022
Matt Prater,3471,K,ARZ,1,0,0,0,,0,0,,1,64.9,0,0,,2,2,100.0,0,2,2,100.0,2,2,100.0,0,0,,4,2022
Nick Folk,3794,K,NE,1,0,0,0,,0,0,,19,64.7,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,,4,2022
Mason Crosby,3809,K,GB,1,0,0,0,,0,0,,12,73.5,0,0,,3,3,100.0,0,2,2,100.0,2,2,100.0,0,0,,4,2022
Ryan Succop,5180,K,TB,1,0,0,0,,1,1,100.0,30,67.5,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,,4,2022
Graham Gano,5443,K,NYG,1,0,0,0,,2,2,100.0,21,53.0,0,0,,2,2,100.0,0,1,0,0.0,3,2,66.7,0,0,,4,2022
Randy Bullock,7154,K,TEN,1,0,0,0,,1,1,100.0,31,66.6,0,0,,3,3,100.0,0,0,0,,1,1,100.0,0,0,,4,2022
Greg Zuerlein,7163,K,NYJ,1,0,0,0,,0,0,,22,64.8,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,,4,2022
Justin Tucker,7604,K,BLT,1,0,1,1,100.0,1,1,100.0,3,70.4,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,,4,2022
Dustin Hopkins,7958,K,LAC,1,0,0,0,,0,0,,27,65.6,0,0,,4,4,100.0,0,1,1,100.0,2,2,100.0,1,1,100.0,4,2022
Brandon McManus,8437,K,DEN,1,0,0,0,,0,0,,10,64.2,0,0,,3,2,66.7,0,0,0,,1,1,100.0,1,1,100.0,4,2022
Brett Maher,8585,K,DAL,1,0,1,1,100.0,1,1,100.0,9,71.3,0,0,,2,1,50.0,0,0,0,,4,4,100.0,2,2,100.0,4,2022
Chris Boswell,8990,K,PIT,1,0,2,2,100.0,0,0,,25,85.7,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,,4,2022
Jason Myers,10207,K,SEA,1,0,1,1,100.0,0,0,,29,61.9,0,0,,6,6,100.0,0,1,0,0.0,3,2,66.7,1,1,100.0,4,2022
Wil Lutz,11096,K,NO,1,0,2,1,50.0,0,0,,20,87.7,0,0,,2,2,100.0,0,0,0,,2,1,50.0,0,0,,4,2022
Ka'imi Fairbairn,11161,K,HST,1,0,0,0,,2,1,50.0,13,52.5,0,0,,3,3,100.0,0,0,0,,2,1,50.0,0,0,,4,2022
Jake Elliott,11908,K,PHI,1,0,0,0,,0,0,,24,50.5,0,0,,3,2,66.7,0,0,0,,1,1,100.0,1,1,100.0,4,2022
Younghoe Koo,12042,K,ATL,1,0,0,0,,1,1,100.0,2,74.6,0,0,,2,2,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0,4,2022
Greg Joseph,22842,K,MIN,1,0,0,0,,2,2,100.0,18,63.4,0,0,,2,1,50.0,0,1,1,100.0,5,5,100.0,2,2,100.0,4,2022
Daniel Carlson,28121,K,LV,1,0,0,0,,0,0,,23,51.4,0,0,,3,2,66.7,0,2,2,100.0,4,4,100.0,2,2,100.0,4,2022
Jason Sanders,29578,K,MIA,1,0,1,0,0.0,1,1,100.0,17,49.0,0,0,,1,0,0.0,0,0,0,,4,3,75.0,2,2,100.0,4,2022
Tyler Bass,33010,K,BUF,1,0,0,0,,0,0,,4,65.2,0,0,,2,2,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0,4,2022
Chase McLaughlin,33285,K,IND,1,0,1,0,0.0,0,0,,14,51.3,0,0,,2,2,100.0,0,0,0,,2,1,50.0,1,1,100.0,4,2022
Dominik Eberle,33789,K,DET,1,0,0,0,,1,1,100.0,11,36.2,0,0,,4,2,50.0,0,0,0,,1,1,100.0,0,0,,4,2022
Joey Slye,39235,K,WAS,1,0,0,0,,1,1,100.0,32,64.8,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,,4,2022
Michael Badgley,39417,K,CHI,1,0,0,0,,1,1,100.0,6,64.6,0,0,,0,0,,0,1,1,100.0,4,4,100.0,2,2,100.0,4,2022
Matthew Wright,39675,K,KC,1,0,0,0,,1,1,100.0,16,68.2,0,0,,5,5,100.0,0,1,1,100.0,2,2,100.0,0,0,,4,2022
Eddy Pineiro,44140,K,CAR,1,0,1,1,100.0,0,0,,5,67.2,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,,4,2022
Riley Patterson,57556,K,JAX,1,0,0,0,,0,0,,15,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,,4,2022
Matt Gay,57643,K,LA,1,0,0,0,,0,0,,26,63.2,0,0,,0,0,,0,1,1,100.0,3,3,100.0,2,2,100.0,4,2022
Evan McPherson,82583,K,CIN,1,0,1,1,100.0,0,0,,7,75.9,1,1,100.0,3,3,100.0,0,0,0,,2,2,100.0,0,0,,4,2022
Cade York,98975,K,CLV,1,0,0,0,,1,1,100.0,8,66.6,0,0,,2,2,100.0,0,0,0,,2,2,100.0,1,1,100.0,4,2022
Robbie Gould,2607,K,SF,1,0,0,0,,2,1,50.0,28,67.9,0,0,,3,3,100.0,0,0,0,,2,1,50.0,0,0,,5,2022
Nick Folk,3794,K,NE,1,0,0,0,,1,1,100.0,19,68.4,0,0,,2,2,100.0,0,3,3,100.0,5,5,100.0,1,1,100.0,5,2022
Mason Crosby,3809,K,GB,1,0,0,0,,2,2,100.0,12,70.3,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,,5,2022
Ryan Succop,5180,K,TB,1,0,0,0,,1,1,100.0,30,64.9,0,0,,1,1,100.0,0,0,0,,2,2,100.0,1,1,100.0,5,2022
Graham Gano,5443,K,NYG,1,0,0,0,,1,1,100.0,21,68.5,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,,5,2022
Randy Bullock,7154,K,TEN,1,0,0,0,,0,0,,31,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,,5,2022
Greg Zuerlein,7163,K,NYJ,1,0,0,0,,0,0,,22,66.0,0,0,,5,5,100.0,0,1,1,100.0,1,1,100.0,0,0,,5,2022
Justin Tucker,7604,K,BLT,1,0,1,1,100.0,1,1,100.0,3,88.4,0,0,,1,1,100.0,0,1,1,100.0,4,4,100.0,1,1,100.0,5,2022
Brandon McManus,8437,K,DEN,1,0,0,0,,2,2,100.0,10,51.8,0,0,,0,0,,0,2,1,50.0,4,3,75.0,0,0,,5,2022
Brett Maher,8585,K,DAL,1,1,0,0,,1,1,100.0,9,65.7,0,0,,1,1,100.0,1,2,2,100.0,3,3,100.0,0,0,,5,2022
Cairo Santos,8932,K,CHI,1,0,2,2,100.0,1,1,100.0,6,75.0,0,0,,1,1,100.0,0,0,0,,3,3,100.0,0,0,,5,2022
Chris Boswell,8990,K,PIT,1,0,0,0,,1,0,0.0,25,29.9,0,0,,0,0,,0,1,0,0.0,3,1,33.3,1,1,100.0,5,2022
Jason Myers,10207,K,SEA,1,0,1,1,100.0,0,0,,29,58.2,0,0,,3,2,66.7,0,1,1,100.0,2,2,100.0,0,0,,5,2022
Wil Lutz,11096,K,NO,1,0,1,1,100.0,0,0,,20,74.5,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,,5,2022
Ka'imi Fairbairn,11161,K,HST,1,0,2,2,100.0,0,0,,13,72.7,0,0,,1,1,100.0,0,0,0,,2,2,100.0,0,0,,5,2022
Taylor Bertolet,11182,K,LAC,1,0,0,0,,0,0,,27,64.8,0,0,,3,3,100.0,0,0,0,,3,3,100.0,3,3,100.0,5,2022
Younghoe Koo,12042,K,ATL,1,0,1,0,0.0,0,0,,2,49.2,0,0,,1,1,100.0,0,0,0,,1,0,0.0,0,0,,5,2022
Greg Joseph,22842,K,MIN,1,0,2,0,0.0,0,0,,18,51.9,0,0,,3,3,100.0,0,0,0,,2,0,0.0,0,0,,5,2022
Daniel Carlson,28121,K,LV,1,0,2,2,100.0,1,1,100.0,23,76.4,0,0,,2,2,100.0,0,0,0,,3,3,100.0,0,0,,5,2022
Jason Sanders,29578,K,MIA,1,0,1,0,0.0,1,1,100.0,17,54.6,0,0,,2,2,100.0,0,0,0,,2,1,50.0,0,0,,5,2022
Tyler Bass,33010,K,BUF,1,0,0,0,,1,0,0.0,4,55.2,0,0,,5,5,100.0,0,1,1,100.0,2,1,50.0,0,0,,5,2022
Chase McLaughlin,33285,K,IND,1,0,2,2,100.0,1,1,100.0,14,90.7,0,0,,0,0,,0,1,1,100.0,4,4,100.0,0,0,,5,2022
Matt Ammendola,34039,K,ARZ,1,0,0,0,,1,0,0.0,1,39.6,0,0,,2,2,100.0,0,0,0,,2,1,50.0,1,1,100.0,5,2022
Joey Slye,39235,K,WAS,1,0,1,1,100.0,0,0,,32,68.1,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,,5,2022
Matthew Wright,39675,K,KC,1,0,1,1,100.0,1,0,0.0,16,51.7,0,0,,3,3,100.0,0,0,0,,2,1,50.0,0,0,,5,2022
Eddy Pineiro,44140,K,CAR,1,0,0,0,,2,1,50.0,5,50.6,0,0,,0,0,,0,2,2,100.0,4,3,75.0,0,0,,5,2022
Mitch Wishnowsky,44663,P,SF,1,0,0,0,,0,0,,28,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,,5,2022
Riley Patterson,57556,K,JAX,1,0,0,0,,1,1,100.0,15,64.3,0,0,,0,0,,0,0,0,,2,2,100.0,1,1,100.0,5,2022
Matt Gay,57643,K,LA,1,0,1,0,0.0,0,0,,26,49.7,0,0,,1,1,100.0,0,0,0,,2,1,50.0,1,1,100.0,5,2022
Cameron Dicker,77069,K,PHI,1,0,0,0,,1,1,100.0,24,65.3,0,0,,2,2,100.0,0,0,0,,2,2,100.0,1,1,100.0,5,2022
Evan McPherson,82583,K,CIN,1,0,0,0,,1,1,100.0,7,64.6,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,,5,2022
Cade York,98975,K,CLV,1,0,1,0,0.0,1,0,0.0,8,34.3,0,0,,4,4,100.0,0,0,0,,2,0,0.0,0,0,,5,2022
Robbie Gould,2607,K,SF,1,0,0,0,,0,0,,28,62.3,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,,6,2022
Nick Folk,3794,K,NE,1,0,0,0,,1,0,0.0,19,53.5,1,1,100.0,5,5,100.0,0,0,0,,2,1,50.0,0,0,,6,2022
Mason Crosby,3809,K,GB,1,0,0,0,,1,0,0.0,12,62.0,0,0,,1,1,100.0,0,0,0,,2,1,50.0,1,1,100.0,6,2022
Ryan Succop,5180,K,TB,1,0,1,1,100.0,0,0,,30,68.1,0,0,,0,0,,0,1,1,100.0,4,4,100.0,2,2,100.0,6,2022
Graham Gano,5443,K,NYG,1,0,0,0,,0,0,,21,64.5,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,,6,2022
Greg Zuerlein,7163,K,NYJ,1,0,1,0,0.0,0,0,,22,54.2,0,0,,3,3,100.0,0,1,1,100.0,3,2,66.7,1,1,100.0,6,2022
Justin Tucker,7604,K,BLT,1,0,1,0,0.0,0,0,,3,49.7,0,0,,2,2,100.0,0,1,1,100.0,3,2,66.7,1,1,100.0,6,2022
Dustin Hopkins,7958,K,LAC,1,0,0,0,,0,0,,27,74.0,0,0,,1,1,100.0,0,4,4,100.0,4,4,100.0,0,0,,6,2022
Brandon McManus,8437,K,DEN,1,0,1,1,100.0,1,1,100.0,10,71.7,0,0,,1,1,100.0,0,0,0,,3,3,100.0,1,1,100.0,6,2022
Brett Maher,8585,K,DAL,1,0,1,0,0.0,0,0,,9,55.2,0,0,,2,2,100.0,0,1,1,100.0,2,1,50.0,0,0,,6,2022
Cairo Santos,8932,K,CHI,1,0,0,0,,0,0,,6,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,6,2022
Chris Boswell,8990,K,PIT,1,0,1,1,100.0,0,0,,25,71.5,0,0,,2,2,100.0,0,0,0,,2,2,100.0,1,1,100.0,6,2022
Jason Myers,10207,K,SEA,1,0,0,0,,0,0,,29,65.3,0,0,,1,1,100.0,0,3,3,100.0,4,4,100.0,1,1,100.0,6,2022
