player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year
Cooper Rush,12324,QB,DAL,1,4,0.0,0,9,0,0,50.0,0.0,50.0,25.0,0,1,0,2,0,4,2,1,0,0,1,0,0.0,0.0,1,25.0,0.0,1,2022
Mac Jones,60323,QB,NE,1,4,25.0,0,19,0,0,0.0,75.0,100.0,0.0,0,0,1,0,3,4,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,2022
Marcus Mariota,9435,QB,ATL,1,3,0.0,0,2,0,1,0.0,33.3,66.7,0.0,0,1,0,0,1,3,2,0,0,1,1,0,0.0,33.3,0,33.3,0.0,1,2022
Trace McSorley,32819,QB,ARZ,1,3,33.3,0,1,0,0,33.3,0.0,100.0,0.0,0,0,1,1,0,3,3,0,1,2,0,0,33.3,66.7,0,0.0,0.0,1,2022
Davante Adams,8688,WR,LV,1,1,0.0,0,23,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,2022
Jordan Love,40306,QB,GB,1,1,0.0,0,12,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,100.0,0.0,0,0.0,0.0,1,2022
Daniel Jones,39395,QB,NYG,1,15,6.7,0,21,1,1,13.3,20.0,80.0,6.7,0,2,1,2,3,15,12,1,4,3,2,1,26.7,20.0,0,13.3,6.7,2,2022
Carson Wentz,10636,QB,WAS,1,15,13.3,0,32,0,1,20.0,33.3,86.7,6.7,0,2,2,3,5,15,13,1,1,2,2,1,6.7,13.3,1,13.3,6.7,2,2022
Joe Burrow,28022,QB,CIN,1,14,21.4,0,7,0,0,0.0,21.4,92.9,7.1,0,1,3,0,3,14,13,1,1,5,1,1,7.1,35.7,1,7.1,7.1,2,2022
Joe Flacco,4332,QB,NYJ,1,14,7.1,0,22,1,1,14.3,35.7,92.9,0.0,0,2,1,2,5,14,13,0,3,4,2,0,21.4,28.6,0,14.3,0.0,2,2022
Matt Ryan,4317,QB,IND,1,13,7.7,0,14,1,1,15.4,30.8,69.2,7.7,0,3,1,2,4,13,9,1,2,1,3,0,15.4,7.7,1,23.1,0.0,2,2022
Justin Herbert,28237,QB,LAC,1,13,7.7,0,27,0,2,38.5,7.7,76.9,7.7,0,3,1,5,1,13,10,1,2,2,3,1,15.4,15.4,1,23.1,7.7,2,2022
Jameis Winston,9434,QB,NO,1,13,0.0,0,20,1,0,23.1,0.0,61.5,15.4,0,3,0,3,0,13,8,2,0,5,3,0,0.0,38.5,2,23.1,0.0,2,2022
Jared Goff,10635,QB,DET,1,13,0.0,0,11,1,0,23.1,7.7,84.6,0.0,0,2,0,3,1,13,11,0,6,1,2,1,46.2,7.7,1,15.4,7.7,2,2022
Geno Smith,7820,QB,SEA,1,12,8.3,0,29,0,0,16.7,8.3,91.7,8.3,0,0,1,2,1,12,11,1,6,2,0,2,50.0,16.7,0,0.0,16.7,2,2022
Baker Mayfield,46518,QB,CAR,1,12,16.7,0,5,1,1,16.7,25.0,83.3,8.3,0,2,2,2,3,12,10,1,1,2,2,0,8.3,16.7,0,16.7,0.0,2,2022
Derek Carr,8671,QB,LV,1,11,18.2,0,23,1,0,9.1,18.2,90.9,0.0,0,1,2,1,2,11,10,0,2,4,1,0,18.2,36.4,0,9.1,0.0,2,2022
Patrick Mahomes,11765,QB,KC,1,11,9.1,0,16,0,1,27.3,18.2,72.7,18.2,0,1,1,3,2,11,8,2,1,1,1,1,9.1,9.1,0,9.1,9.1,2,2022
Kirk Cousins,7102,QB,MIN,1,11,18.2,0,18,0,0,54.5,18.2,81.8,18.2,0,0,2,6,2,11,9,2,2,1,0,0,18.2,9.1,0,0.0,0.0,2,2022
Davis Mills,52269,QB,HST,1,10,20.0,0,13,1,0,10.0,20.0,80.0,0.0,0,2,2,1,2,10,8,0,1,1,2,1,10.0,10.0,1,20.0,10.0,2,2022
Ryan Tannehill,7014,QB,TEN,1,10,0.0,0,31,0,0,30.0,40.0,100.0,0.0,0,0,0,3,4,10,10,0,1,2,0,1,10.0,20.0,0,0.0,10.0,2,2022
Marcus Mariota,9435,QB,ATL,1,10,20.0,0,2,1,2,10.0,20.0,70.0,0.0,0,4,2,1,2,10,7,0,1,2,4,0,10.0,20.0,1,40.0,0.0,2,2022
Mac Jones,60323,QB,NE,1,10,10.0,0,19,0,0,20.0,20.0,100.0,0.0,0,0,1,2,2,10,10,0,2,4,0,0,20.0,40.0,0,0.0,0.0,2,2022
Russell Wilson,7077,QB,DEN,1,9,0.0,0,10,0,0,33.3,11.1,100.0,0.0,0,1,0,3,1,9,9,0,1,2,1,2,11.1,22.2,1,11.1,22.2,2,2022
Justin Fields,82118,QB,CHI,1,9,11.1,0,6,0,2,11.1,22.2,77.8,0.0,0,3,1,1,2,9,7,0,3,2,3,1,33.3,22.2,1,33.3,11.1,2,2022
Tua Tagovailoa,60326,QB,MIA,1,8,25.0,0,17,0,0,25.0,25.0,100.0,0.0,0,0,2,2,2,8,8,0,1,1,0,1,12.5,12.5,0,0.0,12.5,2,2022
Jacoby Brissett,10725,QB,CLV,1,8,12.5,0,8,0,0,12.5,37.5,100.0,0.0,0,0,1,1,3,8,8,0,1,3,0,0,12.5,37.5,0,0.0,0.0,2,2022
Cooper Rush,12324,QB,DAL,1,8,0.0,0,9,0,0,75.0,12.5,100.0,0.0,0,0,0,6,1,8,8,0,1,1,0,0,12.5,12.5,0,0.0,0.0,2,2022
Josh Allen,46601,QB,BUF,1,8,12.5,0,4,0,0,50.0,12.5,87.5,12.5,0,0,1,4,1,8,7,1,1,2,0,0,12.5,25.0,0,0.0,0.0,2,2022
Jalen Hurts,40291,QB,PHI,1,7,14.3,0,24,0,1,0.0,28.6,71.4,0.0,0,2,1,0,2,7,5,0,1,2,2,0,14.3,28.6,1,28.6,0.0,2,2022
Aaron Rodgers,2241,QB,GB,1,7,0.0,0,12,0,0,0.0,28.6,85.7,0.0,0,1,0,0,2,7,6,0,1,3,1,0,14.3,42.9,1,14.3,0.0,2,2022
Mitchell Trubisky,11757,QB,PIT,1,7,28.6,0,25,0,2,0.0,0.0,42.9,14.3,0,5,2,0,0,7,3,1,0,1,5,0,0.0,14.3,3,71.4,0.0,2,2022
Lamar Jackson,46416,QB,BLT,1,6,16.7,0,3,0,2,16.7,33.3,66.7,0.0,0,2,1,1,2,6,4,0,0,0,2,1,0.0,0.0,0,33.3,16.7,2,2022
Kyler Murray,38334,QB,ARZ,1,6,16.7,0,1,0,0,0.0,16.7,83.3,16.7,0,0,1,0,1,6,5,1,0,4,0,0,0.0,66.7,0,0.0,0.0,2,2022
Tom Brady,698,QB,TB,1,4,50.0,0,30,0,0,50.0,50.0,100.0,0.0,0,0,2,2,2,4,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2,2022
Malik Willis,60341,QB,TEN,1,4,0.0,0,31,0,1,0.0,50.0,75.0,0.0,0,1,0,0,2,4,3,0,0,2,1,0,0.0,50.0,0,25.0,0.0,2,2022
Trevor Lawrence,77632,QB,JAX,1,3,66.7,0,15,0,0,0.0,33.3,100.0,0.0,0,0,2,0,1,3,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2,2022
