player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year
Markus Bailey,49681,LB,CIN,1,0,5.0,0,0,7,,66.0,68.4,,62.4,71.4,0.0,0,0,2,2,0.0,0,1,2,2022
Cole Holcomb,49753,LB,WAS,1,6,4.0,0,0,32,54.8,56.9,75.2,55.0,62.5,81.0,0.0,0,0,24,24,0.0,0,1,2,2022
Quincy Williams,49779,LB,NYJ,1,1,5.5,0,0,22,29.7,29.2,74.1,,41.5,62.5,0.0,0,1,33,34,3.0,1,2,2,2022
Azeez Al-Shaair,49792,LB,SF,1,1,,0,0,28,66.7,68.2,67.8,,63.7,76.6,0.0,0,0,8,8,0.0,0,0,2,2022
Zaire Franklin,49834,LB,IND,1,1,2.4,1,0,14,60.8,55.7,0.0,53.3,61.2,62.1,14.3,1,1,36,38,8.3,3,5,2,2022
B.J. Hill,49894,DI,CIN,1,1,3.5,0,0,7,60.0,33.2,77.8,52.3,41.2,71.4,0.0,0,0,20,20,15.0,3,4,2,2022
Sebastian Joseph-Day,49935,DI,LAC,1,1,3.0,0,0,27,63.6,49.0,76.7,50.1,44.1,71.3,0.0,0,0,14,14,0.0,0,2,2,2022
Jerry Tillery,49949,DI,LAC,1,1,3.0,0,0,27,,56.5,74.7,53.1,60.4,69.1,0.0,0,0,8,8,12.5,1,1,2,2022
Derrick Nnadi,49970,DI,KC,1,3,,0,0,16,,67.1,76.8,52.5,72.9,69.8,0.0,0,0,13,13,0.0,0,0,2,2022
Broderick Washington Jr.,50049,DI,BLT,1,0,-0.5,0,0,3,59.5,64.4,76.7,68.8,57.8,25.4,50.0,2,0,8,8,25.0,2,2,2,2022
Uchenna Nwosu,50084,ED,SEA,1,2,2.5,0,0,29,63.2,67.6,1.3,72.0,65.2,40.9,20.0,1,1,30,32,3.3,1,2,2,2022
John Franklin-Myers,50088,ED,NYJ,1,0,,0,0,22,,76.6,78.3,84.2,54.7,,100.0,1,0,14,15,0.0,0,0,2,2022
Josh Sweat,50120,ED,PHI,1,0,-1.0,0,0,24,70.4,78.1,0.0,70.5,75.3,72.6,0.0,0,1,5,5,20.0,1,1,2,2022
Lorenzo Carter,50126,ED,ATL,1,0,1.0,0,0,2,27.2,56.4,80.1,67.1,74.1,72.8,0.0,0,0,20,20,5.0,1,2,2,2022
Ogbonnia Okoronkwo,50130,ED,HST,1,1,5.0,0,0,13,,50.3,0.0,52.2,64.4,27.9,40.0,2,1,13,13,7.7,1,2,2,2022
Jacob Martin,50152,ED,NYJ,1,0,4.0,0,0,22,62.5,43.6,77.7,34.5,61.3,26.9,0.0,0,0,9,9,11.1,1,1,2,2022
Olasunkanmi Adeniyi,50154,ED,TEN,1,1,,0,0,31,61.0,48.2,0.0,48.4,68.4,28.6,50.0,1,1,8,8,0.0,0,0,2,2022
Tashawn Bower,50170,ED,LV,1,0,,0,0,23,,61.1,71.6,53.5,61.2,,,0,0,2,2,0.0,0,0,2,2022
Delontae Scott,50185,ED,PIT,1,0,,0,0,25,,54.6,71.7,54.0,59.9,,,0,0,3,3,0.0,0,0,2,2022
Rashaan Evans,50213,LB,ATL,1,3,6.0,0,0,2,60.2,70.7,75.3,71.0,72.1,51.8,20.0,1,0,21,21,0.0,0,1,2,2022
Josh Allen,50235,ED,JAX,1,0,0.0,0,0,15,64.8,91.4,77.9,90.4,78.7,73.9,0.0,0,0,9,10,11.1,1,1,2,2022
Marquis Haynes,50244,ED,CAR,1,0,3.0,0,0,5,68.1,76.5,78.0,65.2,71.4,78.9,0.0,0,0,10,10,0.0,0,1,2,2022
Marcus Davenport,50291,ED,NO,1,0,4.0,0,0,20,,59.4,78.8,71.8,42.3,71.2,0.0,0,0,14,14,7.1,1,2,2,2022
Christian Wilkins,50293,DI,MIA,1,2,1.2,0,0,17,58.6,67.6,77.5,50.8,76.4,73.9,0.0,0,0,21,22,23.8,5,6,2,2022
Nik Needham,50356,CB,MIA,1,1,,1,0,17,38.2,42.4,72.6,,65.8,74.4,0.0,0,1,9,10,0.0,0,0,2,2022
Jeremy Reaves,50406,S,WAS,1,0,,0,0,32,60.0,62.2,68.0,,60.0,,,0,0,2,2,0.0,0,0,2,2022
Juan Thornhill,50426,S,KC,1,0,7.0,0,0,16,62.7,66.8,79.4,,70.3,84.4,0.0,0,0,23,23,0.0,0,2,2,2022
Emmanuel Moseley,50430,CB,SF,1,0,,0,0,28,65.7,66.1,78.0,,62.8,76.9,,0,1,14,14,0.0,0,0,2,2022
Michael Jackson,50437,CB,SEA,1,1,3.7,0,0,29,45.2,54.4,78.3,,78.9,53.8,0.0,0,2,42,44,4.8,2,3,2,2022
Jace Whittaker,50465,CB,ARZ,1,0,,0,0,1,57.7,53.9,76.4,60.0,41.2,31.4,100.0,1,0,9,11,0.0,0,0,2,2022
Mike Ford,50535,CB,ATL,1,0,,0,0,2,78.1,71.9,69.2,56.3,60.1,,,0,0,11,11,0.0,0,0,2,2022
Avonte Maddox,50543,CB,PHI,1,1,,0,0,24,85.7,81.8,75.8,56.8,54.0,82.4,0.0,0,0,6,6,0.0,0,0,2,2022
Brandon Facyson,50564,CB,IND,1,0,,0,0,14,72.5,72.2,77.0,,63.5,77.9,,0,0,21,23,0.0,0,0,2,2022
Byron Cowart,50588,DI,IND,1,0,-2.0,0,0,14,,80.3,72.5,57.0,77.0,67.3,0.0,0,0,5,6,20.0,1,1,2,2022
Charles Omenihu,50612,ED,SF,1,0,,0,0,28,,80.4,77.3,77.5,64.6,23.6,100.0,1,0,8,8,0.0,0,0,2,2022
Austin Calitro,50640,LB,NYG,1,1,8.0,0,0,21,45.2,47.4,68.3,,66.1,76.0,0.0,0,0,3,3,0.0,0,1,2,2022
Cody Barton,50727,LB,SEA,1,3,1.5,0,0,29,58.1,60.7,75.8,53.6,63.4,82.1,0.0,0,0,42,44,4.8,2,2,2,2022
Jordyn Brooks,50851,LB,SEA,1,0,2.7,0,0,29,33.9,51.3,73.9,56.3,70.3,68.0,0.0,0,0,45,47,11.1,5,6,2,2022
Roquan Smith,50892,LB,CHI,1,4,4.2,0,0,6,29.5,36.0,78.3,,57.1,57.9,18.2,2,1,37,38,2.7,1,5,2,2022
Tremaine Edmunds,50905,LB,BUF,1,0,-1.0,0,0,4,68.8,66.4,75.2,68.9,53.4,76.1,0.0,0,0,18,18,5.6,1,1,2,2022
Robert Spillane,50918,LB,PIT,1,0,7.5,0,0,25,48.1,45.3,71.6,66.6,48.6,78.1,0.0,0,0,5,5,0.0,0,2,2,2022
Leighton Vander Esch,50950,LB,DAL,1,0,7.0,0,0,9,62.2,75.0,77.4,66.6,79.9,79.2,0.0,0,0,22,23,4.5,1,2,2,2022
Bobby Okereke,50954,LB,IND,1,2,2.6,0,0,14,65.2,79.1,75.5,53.8,82.9,83.0,0.0,0,0,34,35,8.8,3,5,2,2022
Ja'Whaun Bentley,50966,LB,NE,1,3,5.5,0,0,19,75.6,79.8,73.7,55.5,73.1,78.8,0.0,0,0,15,15,0.0,0,2,2,2022
Frankie Luvu,51028,LB,CAR,1,0,-2.0,0,0,5,69.9,80.0,78.2,85.2,71.4,69.9,16.7,1,0,25,25,20.0,5,5,2,2022
Tyrel Dodson,51045,LB,BUF,1,0,,0,0,4,63.2,66.1,70.0,,62.1,29.9,100.0,1,0,7,8,0.0,0,0,2,2022
Jahlani Tavai,51055,LB,NE,1,1,3.0,0,0,19,62.1,77.1,69.3,72.1,71.0,79.0,0.0,0,0,5,5,20.0,1,1,2,2022
Julian Love,51081,S,NYG,1,0,3.0,0,0,21,45.0,50.9,75.3,72.9,58.5,79.4,0.0,0,1,18,18,5.6,1,2,2,2022
Ben Niemann,51099,LB,ARZ,1,0,7.0,0,0,1,63.9,53.7,70.0,,51.2,74.9,0.0,0,0,2,2,0.0,0,1,2,2022
Taylor Rapp,51172,S,LA,1,0,6.5,0,0,26,57.1,60.0,77.8,60.0,65.3,79.2,0.0,0,0,19,21,5.3,1,2,2,2022
P.J. Locke,51189,S,DEN,1,0,,0,0,10,72.5,67.2,0.0,65.3,60.0,71.4,,0,1,1,1,0.0,0,0,2,2022
Joshua Kalu,51203,S,TEN,1,0,2.0,0,0,31,54.7,65.4,71.3,60.0,75.5,76.0,0.0,0,0,14,14,14.3,2,2,2,2022
Minkah Fitzpatrick,51206,S,PIT,1,3,,0,0,25,75.9,79.7,76.0,,66.2,82.9,0.0,0,0,28,28,0.0,0,0,2,2022
Fred Warner,51222,LB,SF,1,1,,0,0,28,69.4,66.6,75.0,58.9,54.3,81.0,0.0,0,0,14,14,0.0,0,0,2,2022
Tracy Walker,51266,S,DET,1,1,,0,0,11,72.7,71.2,77.1,55.8,50.3,54.7,50.0,1,0,19,19,0.0,0,0,2,2022
Drue Tranquill,51276,LB,LAC,1,1,2.5,0,0,27,29.9,40.4,74.5,38.2,80.6,28.1,0.0,0,0,15,15,20.0,3,4,2,2022
Mike Edwards,51282,S,TB,1,1,,0,0,30,91.8,93.2,77.2,65.9,69.8,78.3,0.0,0,0,19,19,0.0,0,0,2,2022
Terrell Edmunds,51334,S,PIT,1,1,,0,0,25,82.0,86.5,78.3,58.0,68.8,79.2,0.0,0,0,28,28,0.0,0,0,2,2022
Will Harris,51336,CB,DET,1,1,-1.0,0,0,11,73.2,76.5,79.0,,78.5,81.7,0.0,0,0,19,19,5.3,1,1,2,2022
Derwin James,51368,S,LAC,1,2,5.0,0,0,27,66.3,69.9,0.0,66.0,77.2,64.6,0.0,0,1,18,18,0.0,0,1,2,2022
Amani Hooker,51378,S,TEN,1,0,16.5,0,0,31,66.5,70.6,77.0,57.1,69.2,78.0,0.0,0,0,10,10,0.0,0,2,2,2022
Marcus Epps,51391,S,PHI,1,0,6.0,0,0,24,62.9,64.9,74.9,,63.3,47.4,0.0,0,0,9,9,0.0,0,1,2,2022
Roderic Teamer,51405,S,LV,1,0,,0,0,23,48.8,45.7,76.9,,57.4,77.2,,0,1,8,9,0.0,0,0,2,2022
Jaylinn Hawkins,51423,S,ATL,1,0,3.0,0,0,2,52.1,50.0,73.6,,56.3,23.9,0.0,0,0,13,13,0.0,0,1,2,2022
Jaquan Johnson,51433,S,BUF,1,1,5.0,0,0,4,63.2,68.1,73.3,,66.3,78.1,0.0,0,0,11,12,0.0,0,1,2,2022
Kaden Elliss,51485,LB,NO,1,1,,0,0,20,90.5,77.1,76.3,51.4,54.2,28.0,50.0,1,0,10,10,0.0,0,0,2,2022
Dre Greenlaw,51503,LB,SF,1,2,,0,0,28,77.8,70.3,74.9,56.7,49.5,59.3,33.3,1,0,14,14,0.0,0,0,2,2022
Kenny Moore II,51596,CB,IND,1,0,3.0,0,0,14,54.7,62.9,76.8,55.7,78.6,82.6,0.0,0,0,36,38,2.8,1,2,2,2022
Nicholas Morrow,51674,LB,CHI,1,0,3.7,1,0,6,51.0,61.7,76.4,,70.7,62.6,14.3,1,1,37,38,10.8,4,6,2,2022
C.J. Brewer,54409,DI,BUF,1,1,,0,0,4,60.0,24.9,0.0,53.9,25.9,68.4,0.0,0,1,11,12,0.0,0,0,2,2022
Darrick Forrest,55087,S,WAS,1,0,9.3,0,0,32,50.1,44.1,74.2,58.3,44.6,83.4,0.0,0,0,24,24,4.2,1,3,2,2022
Coby Bryant,55088,CB,SEA,1,0,2.0,0,0,29,54.3,52.9,75.8,59.0,52.8,28.5,66.7,2,2,25,25,4.0,1,1,2,2022
Boye Mafe,55220,ED,SEA,1,0,1.7,0,0,29,,75.4,74.5,62.3,73.2,74.9,0.0,0,0,15,15,20.0,3,3,2,2022
A.J. Terrell,55586,CB,ATL,1,0,2.3,0,0,2,65.5,67.7,76.9,,70.2,81.4,0.0,0,1,24,24,12.5,3,4,2,2022
Marco Wilson,55592,CB,ARZ,1,2,,1,0,1,39.1,37.8,0.0,,58.9,79.5,0.0,0,2,19,22,0.0,0,0,2,2022
C.J. Henderson,55593,CB,CAR,1,1,,0,0,5,64.3,67.7,75.9,,71.7,76.7,0.0,0,0,19,19,0.0,0,0,2,2022
Lonnie Johnson Jr.,55615,S,TEN,1,0,,0,0,31,70.3,61.5,71.5,,56.0,73.0,,0,0,14,14,0.0,0,0,2,2022
Amik Robertson,55619,CB,LV,1,0,8.0,1,0,23,79.0,70.4,77.2,49.9,38.0,51.0,50.0,1,1,20,20,0.0,0,1,2,2022
Josiah Scott,55634,CB,PHI,1,0,,0,0,24,64.9,65.2,71.3,,60.0,,,0,0,2,2,0.0,0,0,2,2022
Jeffrey Okudah,55674,CB,DET,1,0,,0,0,11,72.1,67.6,78.4,,39.3,50.4,100.0,1,0,17,17,0.0,0,0,2,2022
Tre Norwood,55675,S,PIT,1,0,,0,0,25,64.3,46.0,69.7,,60.0,26.2,100.0,1,0,1,1,0.0,0,0,2,2022
Darious Williams,55724,CB,JAX,1,0,,0,0,15,62.0,63.1,75.7,,63.4,72.8,,0,0,7,7,0.0,0,0,2,2022
Xavier McKinney,55775,S,NYG,1,2,,0,0,21,57.8,60.0,76.0,66.1,59.6,58.9,0.0,0,0,18,18,0.0,0,0,2,2022
Eric Stokes,55912,CB,GB,1,0,4.0,0,0,12,75.5,60.0,74.5,,33.0,27.5,66.7,2,0,24,24,4.2,1,1,2,2022
Nate Hobbs,55948,CB,LV,1,0,5.5,0,0,23,69.6,71.8,78.7,,77.2,73.9,0.0,0,1,26,27,3.8,1,2,2,2022
Geno Stone,55967,S,BLT,1,0,,0,0,3,64.1,65.8,70.1,,60.0,77.3,,0,0,3,3,0.0,0,0,2,2022
Benjamin St-Juste,56061,CB,WAS,1,1,31.0,0,0,32,78.6,73.8,75.2,,51.0,81.3,0.0,0,0,12,12,8.3,1,2,2,2022
Damarri Mathis,56143,CB,DEN,1,0,3.0,0,0,10,77.8,77.9,76.6,60.0,68.7,79.7,0.0,0,0,10,11,10.0,1,1,2,2022
Tre Avery,56146,CB,TEN,1,0,2.0,0,0,31,26.4,26.6,71.8,,54.6,77.0,0.0,0,1,10,10,0.0,0,1,2,2022
Darnay Holmes,56247,CB,NYG,1,0,,0,0,21,88.9,77.2,76.0,62.6,29.7,27.0,100.0,1,1,12,12,0.0,0,0,2,2022
Jaylon Johnson,56259,CB,CHI,1,0,,0,0,6,66.4,67.8,78.9,,67.3,26.6,,0,0,37,38,0.0,0,0,2,2022
Chris Rumph II,56345,ED,LAC,1,0,,0,0,27,60.0,57.1,71.7,54.9,60.0,,,0,0,2,2,0.0,0,0,2,2022
Victor Dimukeje,56347,ED,ARZ,1,0,,0,0,1,61.3,58.1,74.3,52.6,61.2,70.5,,0,0,7,10,0.0,0,0,2,2022
Zachary Carter,56349,DI,CIN,1,0,,0,0,7,,34.9,72.6,58.2,40.6,,,0,0,9,9,0.0,0,0,2,2022
A.J. Epenesa,56369,ED,BUF,1,0,3.0,0,0,4,,78.0,77.8,79.8,63.7,71.2,0.0,0,0,11,12,18.2,2,2,2,2022
Yetur Gross-Matos,56444,ED,CAR,1,2,0.0,0,0,5,60.0,51.3,79.7,58.4,44.2,73.3,0.0,0,0,13,13,7.7,1,1,2,2022
Patrick Johnson,56460,ED,PHI,1,0,,0,0,24,60.0,41.9,72.6,60.5,60.0,,,0,0,2,2,0.0,0,0,2,2022
Cameron Sample,56462,ED,CIN,1,0,4.0,0,0,7,,52.4,74.1,50.3,60.3,69.6,0.0,0,0,7,7,14.3,1,1,2,2022
Matt Henningsen,56484,DI,DEN,1,0,-2.0,0,0,10,,62.4,73.7,58.5,63.0,66.8,0.0,0,0,6,7,16.7,1,1,2,2022
Isaiah Buggs,56503,DI,DET,1,2,4.0,0,0,11,,57.7,77.0,50.9,64.0,69.6,0.0,0,0,14,14,0.0,0,1,2,2022
D.J. Davidson,56523,DI,NYG,1,1,,0,0,21,,48.8,71.8,55.3,53.5,25.7,50.0,1,0,4,4,0.0,0,0,2,2022
Tedarrell Slaton,56597,DI,GB,1,0,,0,0,12,,38.7,75.1,58.4,42.1,,,0,0,9,9,0.0,0,0,2,2022
Quinton Bohanna,56673,DI,DAL,1,1,3.5,0,0,9,,55.7,75.3,63.0,53.3,71.1,0.0,0,0,15,15,6.7,1,2,2,2022
Milton Williams,56682,DI,PHI,1,0,,0,0,24,,63.3,74.4,61.6,60.0,,,0,0,1,1,0.0,0,0,2,2022
Jonathan Garvin,56703,ED,GB,1,0,,0,0,12,,29.4,68.1,60.0,60.0,,,0,0,2,2,0.0,0,0,2,2022
Kwity Paye,56713,ED,IND,1,0,0.0,0,0,14,60.0,65.9,81.2,55.3,69.4,71.4,0.0,0,0,25,26,8.0,2,2,2,2022
Donovan Jeter,56718,DI,WAS,1,0,2.0,0,0,32,,57.8,74.1,54.3,61.2,68.6,0.0,0,0,8,8,12.5,1,1,2,2022
Jordan Elliott,56734,DI,CLV,1,1,1.0,0,0,8,57.1,40.9,0.0,55.1,61.2,69.2,0.0,0,1,12,14,8.3,1,1,2,2022
Kurt Hinish,56787,DI,HST,1,1,-1.0,1,0,13,,69.6,0.0,78.9,68.5,70.1,0.0,0,1,15,15,6.7,1,1,2,2022
Isaiah Thomas,56798,ED,CLV,1,0,,0,0,8,,52.6,75.3,52.5,60.0,,,0,0,2,2,0.0,0,0,2,2022
Javon Kinlaw,56834,DI,SF,1,0,6.0,0,0,28,,58.7,74.2,62.8,54.7,66.8,0.0,0,0,7,7,0.0,0,1,2,2022
Kingsley Jonathan,56856,ED,CHI,1,0,2.0,0,0,6,,68.6,72.9,56.5,66.8,71.7,0.0,0,0,3,3,66.7,2,2,2,2022
Arnold Ebiketie,56862,ED,ATL,1,1,4.5,0,0,2,68.4,64.8,76.9,53.1,63.1,74.2,0.0,0,0,12,12,0.0,0,2,2,2022
Ta'Quon Graham,56868,DI,ATL,1,2,3.0,0,0,2,60.0,75.4,77.5,64.3,73.5,70.2,0.0,0,0,14,14,7.1,1,1,2,2022
Micheal Clemons,56872,ED,NYJ,1,1,,0,0,22,,66.1,0.0,65.3,72.6,66.8,0.0,0,1,16,16,0.0,0,0,2,2022
Anthony Rush,56895,DI,ATL,1,1,,0,0,2,,57.9,73.8,56.7,59.3,67.3,0.0,0,0,6,6,0.0,0,0,2,2022
Jaelan Phillips,56902,ED,MIA,1,0,1.0,0,0,17,60.0,74.9,77.8,71.6,64.7,69.9,0.0,0,0,15,15,6.7,1,1,2,2022
Dayo Odeyingbo,56923,ED,IND,1,0,,0,0,14,,46.9,0.0,54.4,62.5,69.6,,0,1,10,11,0.0,0,0,2,2022
Deangelo Malone,56941,ED,ATL,1,0,6.0,0,0,2,60.0,71.8,81.0,66.1,66.1,72.8,0.0,0,0,7,7,14.3,1,2,2,2022
James Lynch,56962,DI,MIN,1,0,,0,0,18,,63.0,74.2,55.9,64.1,,,0,0,9,9,0.0,0,0,2,2022
Marlon Tuipulotu,57035,DI,PHI,1,0,,0,0,24,60.0,53.3,73.9,51.7,60.0,66.8,,0,0,1,1,0.0,0,0,2,2022
Troy Andersen,57317,LB,ATL,1,0,,0,0,2,65.0,41.7,68.8,59.1,44.6,73.2,,0,0,5,5,0.0,0,0,2,2022
Jalen Pitre,57737,S,HST,1,2,7.0,0,0,13,68.0,57.2,76.8,56.8,40.9,29.0,42.9,3,0,30,31,3.3,1,2,2,2022
Terrel Bernard,57739,LB,BUF,1,0,6.0,0,0,4,49.2,47.3,71.3,,55.5,76.9,0.0,0,0,10,11,10.0,1,2,2,2022
Mykal Walker,57834,LB,ATL,1,0,5.0,0,0,2,88.4,82.3,76.4,57.3,60.8,52.8,25.0,1,0,25,25,4.0,1,3,2,2022
Jamin Davis,57905,LB,WAS,1,1,0.0,0,0,32,44.2,55.5,72.2,66.8,64.8,79.0,0.0,0,0,12,12,16.7,2,2,2,2022
Patrick Queen,57941,LB,BLT,1,0,7.0,0,0,3,35.1,38.8,77.0,51.5,66.4,29.0,0.0,0,0,18,18,0.0,0,1,2,2022
Jacob Phillips,57942,LB,CLV,1,0,6.0,0,0,8,45.9,53.2,75.5,,70.1,75.0,0.0,0,0,8,10,0.0,0,1,2,2022
K'Lavon Chaisson,57945,ED,JAX,1,0,0.0,0,0,15,60.8,52.5,74.7,52.2,55.3,27.9,50.0,1,0,6,7,16.7,1,1,2,2022
Willie Gay Jr.,57987,LB,KC,1,1,7.0,0,0,16,75.0,65.2,75.6,89.8,29.9,43.6,0.0,0,0,23,23,0.0,0,1,2,2022
Jeremiah Owusu-Koramoah,58089,LB,CLV,1,0,2.8,0,0,8,90.8,90.9,73.8,56.1,72.5,82.5,0.0,0,0,16,16,31.3,5,6,2,2022
Pete Werner,58093,LB,NO,1,2,0.0,0,0,20,90.7,88.4,74.1,59.1,66.7,57.5,16.7,1,0,30,30,10.0,3,3,2,2022
Baron Browning,58095,ED,DEN,1,1,,0,0,10,45.4,51.0,75.5,62.4,52.5,72.4,0.0,0,0,7,8,0.0,0,0,2,2022
Kenneth Murray,58099,LB,LAC,1,1,6.0,0,0,27,55.8,48.6,72.1,54.3,50.5,77.6,0.0,0,0,8,8,12.5,1,1,2,2022
Devin Lloyd,58238,LB,JAX,1,3,,0,0,15,75.3,87.1,75.2,64.8,86.5,55.5,0.0,0,0,13,14,0.0,0,0,2,2022
Joe Tryon-Shoyinka,58272,ED,TB,1,1,0.0,0,0,30,66.4,66.2,79.9,58.3,65.9,74.2,0.0,0,0,14,14,7.1,1,1,2,2022
Michael Carter II,60644,CB,NYJ,1,0,8.0,0,0,22,69.4,72.6,74.4,59.5,74.0,76.8,0.0,0,0,18,19,5.6,1,2,2,2022
Grant Delpit,60685,S,CLV,1,0,6.3,0,0,8,42.9,43.0,0.0,,74.0,84.6,0.0,0,1,19,21,5.3,1,3,2,2022
Malcolm Rodriguez,60731,LB,DET,1,3,1.3,0,0,11,49.3,74.2,76.3,83.9,88.2,60.4,0.0,0,0,19,19,15.8,3,4,2,2022
Darren Hall,60742,CB,ATL,1,1,,0,0,2,71.3,71.5,75.4,,64.5,78.5,0.0,0,0,9,9,0.0,0,0,2,2022
Dominique Robinson,61436,ED,CHI,1,0,,0,0,6,,53.3,77.3,59.1,51.9,,,0,0,10,10,0.0,0,0,2,2022
Tariq Woolen,61790,CB,SEA,1,0,51.0,0,0,29,49.0,52.3,79.1,,61.2,76.9,0.0,0,0,42,44,0.0,0,1,2,2022
Caleb Farley,61803,CB,TEN,1,0,16.5,0,0,31,44.8,53.3,75.9,,78.9,52.8,0.0,0,0,21,21,4.8,1,2,2,2022
Akayleb Evans,65033,CB,MIN,1,0,,0,0,18,65.3,66.0,74.1,,61.8,75.4,,0,0,11,11,0.0,0,0,2,2022
Samuel Womack,65771,CB,SF,1,0,3.0,0,0,28,69.6,73.0,73.5,,69.7,76.7,0.0,0,0,6,6,16.7,1,1,2,2022
Zach Sieler,66917,DI,MIA,1,0,1.7,0,0,17,60.0,78.3,76.2,60.2,82.3,71.0,0.0,0,0,19,20,10.5,2,3,2,2022
Dennis Gardeck,66928,ED,ARZ,1,2,,0,0,1,90.4,77.9,77.2,54.7,66.5,57.6,33.3,1,0,11,11,0.0,0,0,2,2022
Jonathan Owens,66930,S,HST,1,2,14.3,0,0,13,53.4,51.8,76.4,,56.3,53.5,16.7,1,0,30,31,0.0,0,3,2,2022
Drake Jackson,70839,ED,SF,1,0,,0,0,28,,57.4,76.6,56.6,60.0,69.6,,0,0,1,1,0.0,0,0,2,2022
Asante Samuel Jr.,76625,CB,LAC,1,0,,0,0,27,89.0,87.7,77.4,,63.2,76.8,,0,0,18,18,0.0,0,0,2,2022
Andre Cisco,76641,S,JAX,1,0,14.3,0,0,15,63.2,64.6,77.9,59.1,62.4,46.9,25.0,1,0,13,14,7.7,1,3,2,2022
Caden Sterns,76725,S,DEN,1,2,2.0,0,0,10,54.4,48.2,73.6,58.8,45.5,47.4,40.0,2,0,18,19,5.6,1,1,2,2022
Gregory Rousseau,76889,ED,BUF,1,1,-1.0,0,0,4,,90.5,0.0,91.0,78.1,72.3,0.0,0,1,12,12,8.3,1,1,2,2022
Logan Hall,76919,DI,TB,1,0,,0,0,30,,30.5,0.0,51.2,54.4,,,0,1,2,2,0.0,0,0,2,2022
Alim McNeill,76996,DI,DET,1,0,4.0,0,0,11,,58.7,77.4,50.3,66.1,28.4,33.3,1,0,15,15,6.7,1,2,2,2022
Zaven Collins,77190,LB,ARZ,1,0,2.0,0,0,1,56.0,47.8,76.7,62.6,41.6,28.7,50.0,2,0,20,23,5.0,1,2,2,2022
Joseph Ossai,77205,ED,CIN,1,0,2.0,0,0,7,,72.1,71.5,63.1,63.1,69.9,0.0,0,0,2,2,50.0,1,1,2,2022
Cobie Durant,79126,S,LA,1,0,,0,0,26,42.2,52.1,72.6,84.0,61.2,29.8,,0,0,5,6,0.0,0,0,2,2022
Christian Benford,79181,CB,BUF,1,0,0.5,1,0,4,56.4,56.9,0.0,,75.9,76.8,0.0,0,1,23,24,4.3,1,2,2,2022
Micah McFadden,81246,LB,NYG,1,0,,0,0,21,63.4,82.6,71.0,60.0,70.4,71.4,,0,0,4,4,0.0,0,0,2,2022
Nick Bolton,81322,LB,KC,1,1,2.8,0,0,16,68.3,65.0,75.8,56.3,55.7,81.8,0.0,0,0,21,21,4.8,1,4,2,2022
Micah Parsons,81360,ED,DAL,1,1,5.0,0,0,9,62.0,92.6,79.0,91.8,78.2,75.4,0.0,0,0,18,19,0.0,0,1,2,2022
Ernest Jones,81399,LB,LA,1,4,2.0,0,0,26,53.6,61.6,74.1,,68.1,81.5,0.0,0,0,24,26,8.3,2,2,2,2022
Odafe Oweh,82161,ED,BLT,1,0,0.0,1,0,3,45.3,48.9,6.4,64.4,49.8,72.4,0.0,0,1,14,14,14.3,2,2,2,2022
Thomas Booker,82168,DI,HST,1,0,5.0,0,0,13,60.0,52.3,74.1,59.8,49.8,67.4,0.0,0,0,11,11,0.0,0,1,2,2022
Christian Barmore,82198,DI,NE,1,0,6.0,0,0,19,,66.3,76.9,79.7,38.7,68.8,0.0,0,0,6,6,0.0,0,1,2,2022
Teair Tart,82261,DI,TEN,1,0,-5.0,0,0,31,,60.3,0.0,64.0,69.8,26.1,50.0,1,1,5,5,20.0,1,1,2,2022
Devonte Wyatt,82268,DI,GB,1,0,,0,0,12,,43.8,69.8,59.3,54.2,,,0,0,2,2,0.0,0,0,2,2022
Marquan McCall,82301,DI,CAR,1,1,-0.5,0,0,5,,72.1,74.4,57.0,70.4,70.3,0.0,0,0,10,10,10.0,1,2,2,2022
Aidan Hutchinson,82330,ED,DET,1,1,3.5,0,0,11,,60.8,81.6,57.3,63.3,74.6,0.0,0,0,14,14,14.3,2,2,2,2022
Kingsley Enagbare,82409,ED,GB,1,0,,0,0,12,,69.5,70.6,,63.7,,,0,0,4,4,0.0,0,0,2,2022
Otito Ogbonnia,82450,DI,LAC,1,0,,0,0,27,60.0,71.2,73.4,55.9,57.9,,,0,0,3,3,0.0,0,0,2,2022
Tommy Togiai,82501,DI,CLV,1,0,4.0,0,0,8,,53.3,75.6,52.1,57.1,68.7,0.0,0,0,13,14,7.7,1,1,2,2022
Quay Walker,82547,LB,GB,1,2,9.0,0,0,12,87.3,76.2,72.6,,55.0,77.5,0.0,0,0,18,18,0.0,0,1,2,2022
Patrick Surtain II,83119,CB,DEN,1,0,,0,0,10,61.2,62.0,73.3,,61.2,75.2,,0,0,8,8,0.0,0,0,2,2022
Jalyn Armour-Davis,83120,CB,BLT,1,0,,0,0,3,29.4,30.4,76.3,60.0,63.4,28.4,,0,0,13,13,0.0,0,0,2,2022
Roger McCreary,83176,CB,TEN,1,0,0.0,0,0,31,67.0,69.4,77.3,,73.6,82.4,0.0,0,0,22,22,4.5,1,1,2,2022
