player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year
Germaine Pratt,29407,LB,CIN,1,1,4.0,1,0,7,39.1,47.3,0.0,57.6,68.3,79.2,0.0,0,1,25,25,8.0,2,4,2,2022
Logan Wilson,29623,LB,CIN,1,0,7.0,0,0,7,66.1,61.6,76.0,53.0,56.5,76.9,0.0,0,0,25,25,0.0,0,1,2,2022
T.J. Edwards,30737,LB,PHI,1,0,4.0,0,0,24,76.9,84.6,74.2,90.0,64.7,49.0,33.3,1,0,9,9,11.1,1,2,2,2022
Khalen Saunders,31534,DI,KC,1,0,2.5,0,0,16,62.3,53.0,75.1,53.9,47.8,30.0,33.3,1,0,10,10,10.0,1,2,2,2022
Abdullah Anderson,32708,DI,ATL,1,0,1.0,0,0,2,,90.2,74.5,74.0,79.7,68.9,0.0,0,0,4,4,50.0,2,2,2,2022
Dane Jackson,32989,CB,BUF,1,1,,0,0,4,62.1,46.7,75.2,,29.0,78.1,0.0,0,0,10,10,0.0,0,0,2,2022
Robert Rochell,33693,CB,LA,1,0,,0,0,26,46.0,41.8,68.0,,60.0,,,0,0,1,1,0.0,0,0,2,2022
Eric Johnson,33698,DI,IND,1,0,,0,0,14,,30.2,72.9,55.7,36.6,,,0,0,5,6,0.0,0,0,2,2022
Nasir Adderley,33880,S,LAC,1,0,52.0,1,0,27,56.4,55.8,79.4,,57.9,78.2,0.0,0,1,18,18,0.0,0,1,2,2022
Mike Hughes,34057,CB,DET,1,1,1.0,0,0,11,52.6,58.9,77.9,65.2,79.7,61.7,0.0,0,0,17,17,0.0,0,1,2,2022
Darnell Savage,34247,S,GB,1,0,17.0,0,0,12,63.6,62.7,78.1,,58.3,53.2,16.7,1,0,24,24,0.0,0,5,2,2022
Johnathan Abram,34646,S,LV,1,1,17.0,0,0,23,62.2,63.6,79.8,52.6,66.5,40.4,0.0,0,0,26,27,3.8,1,2,2,2022
Akeem Davis-Gaither,34788,LB,CIN,1,0,,0,0,7,35.5,30.2,73.8,55.1,60.0,,,0,0,1,1,0.0,0,0,2,2022
Jamel Dean,34918,CB,TB,1,1,3.0,0,0,30,86.0,84.6,79.0,56.2,69.6,79.6,0.0,0,0,19,19,0.0,0,1,2,2022
Trevis Gipson,35241,ED,CHI,1,0,5.0,0,0,6,,73.4,77.9,80.1,54.8,73.0,0.0,0,0,10,10,10.0,1,1,2,2022
Blake Cashman,35413,LB,HST,1,0,-1.0,0,0,13,64.8,78.2,67.1,60.0,69.5,73.3,0.0,0,0,8,8,12.5,1,1,2,2022
Tae Crowder,35774,LB,NYG,1,2,,0,0,21,57.9,30.2,76.4,52.4,28.1,28.8,33.3,1,0,18,18,0.0,0,0,2,2022
Jonas Griffith,35858,LB,DEN,1,0,,0,0,10,69.8,63.5,71.7,,48.0,76.9,,0,0,8,8,0.0,0,0,2,2022
Darrell Taylor,36001,ED,SEA,1,0,-2.0,1,0,29,60.0,29.3,0.0,48.0,39.4,24.0,50.0,2,2,29,31,6.9,2,2,2,2022
Shy Tuttle,37279,DI,NO,1,2,1.0,0,0,20,,72.3,0.0,74.6,71.0,32.1,14.3,1,1,22,22,18.2,4,4,2,2022
Darryl Johnson,37479,ED,SEA,1,1,-4.0,0,0,29,,52.4,75.3,53.8,55.4,71.6,0.0,0,0,13,13,7.7,1,1,2,2022
Camryn Bynum,38408,S,MIN,1,1,,0,0,18,59.8,55.3,80.3,,46.5,54.9,50.0,1,0,30,30,0.0,0,0,2,2022
Bryan Mone,38461,DI,SEA,1,2,1.0,0,0,29,60.0,61.1,76.0,55.1,61.4,44.9,16.7,1,0,23,24,13.0,3,3,2,2022
Casey Toohill,38472,ED,WAS,1,0,,0,0,32,,61.6,75.6,53.0,65.3,,,0,0,6,6,0.0,0,0,2,2022
Matthew Adams,38526,LB,CHI,1,3,,0,0,6,63.7,63.1,72.8,,60.4,32.1,25.0,1,0,16,16,0.0,0,0,2,2022
Marquise Copeland,38540,DI,LA,1,0,2.0,0,0,26,,59.7,72.8,57.2,60.5,68.1,0.0,0,0,7,8,14.3,1,1,2,2022
Folorunso Fatukasi,38558,DI,JAX,1,1,0.0,0,0,15,,64.2,75.9,69.0,54.9,69.1,0.0,0,0,8,9,12.5,1,1,2,2022
Tershawn Wharton,40292,DI,KC,1,2,,0,0,16,,53.4,76.3,50.7,59.6,68.4,0.0,0,0,9,9,0.0,0,0,2,2022
L'Jarius Sneed,40588,CB,KC,1,0,3.5,0,0,16,44.9,56.4,77.7,77.8,82.4,60.9,0.0,0,0,23,23,4.3,1,2,2,2022
Trevon Diggs,41817,CB,DAL,1,0,,0,0,9,56.5,58.2,79.3,,64.8,78.7,,0,0,22,23,0.0,0,0,2,2022
Divine Deablo,42208,LB,LV,1,3,4.8,0,0,23,60.7,59.0,76.9,51.4,58.2,56.2,11.1,1,0,26,27,3.8,1,5,2,2022
Cameron Dantzler,42472,CB,MIN,1,1,6.0,0,0,18,56.6,61.8,77.5,,75.7,79.4,0.0,0,1,19,19,5.3,1,2,2,2022
Antoine Winfield Jr.,42475,S,TB,1,2,10.7,0,0,30,71.5,78.9,77.0,68.8,83.0,84.6,0.0,0,0,19,19,0.0,0,3,2,2022
Tomon Fox,42486,ED,NYG,1,0,,0,0,21,42.5,43.7,74.9,55.5,65.5,70.5,,0,0,6,6,0.0,0,0,2,2022
